# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:42:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/yvy7vqyh.json
# init = 2 (Default)
# random
#   seed = 45430
# output
#   file = /home/lab5/output/code2-20230416104223_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00366402
# Diagonal elements of inverse mass matrix:
# 1.08426e-05, 9.90111e-06
503.722,0.998599,0.00366402,7,151,0,-500.827,1.90014,0.000203974,14.7035,16.0743,18.6438,20.4527,21.8902,22.8902,22.1733,23.7948,30.4557,28.4964,12,12,25,18,30,26,21,24,35,24
503.71,0.887994,0.00366402,7,167,0,-501.968,1.89978,0.000205993,14.8134,16.2087,18.8273,20.673,22.1408,23.1625,22.43,24.0871,30.9053,28.898,18,12,21,25,28,28,23,17,35,30
503.706,0.956327,0.00366402,7,175,0,-503.048,1.90016,0.000203166,14.6581,16.019,18.5687,20.3629,21.7883,22.7796,22.0689,23.6761,30.2742,28.3341,16,17,17,25,23,13,28,23,31,28
502.636,0.736912,0.00366402,2,3,0,-502.296,1.90016,0.000221532,15.7358,17.3354,20.3647,22.5194,24.2435,25.4487,24.5842,26.5427,34.7024,32.2846,19,19,20,21,21,18,14,25,33,26
503.502,0.999997,0.00366402,6,119,0,-502.329,1.89989,0.000198005,14.3649,15.6632,18.0883,19.7896,21.1385,22.0752,21.4038,22.9216,29.1269,27.3062,15,21,15,26,15,21,23,22,24,29
503.495,0.999394,0.00366402,2,3,0,-503.426,1.8999,0.00019789,14.3585,15.6555,18.0779,19.7772,21.1244,22.06,21.3894,22.9052,29.1021,27.284,16,20,16,32,18,19,21,25,40,40
503.201,0.975932,0.00366402,7,179,0,-502.677,1.90021,0.000216597,15.4394,16.9722,19.8666,21.9195,23.5589,24.7033,23.8826,25.7412,33.4541,31.1733,12,12,20,26,21,24,17,28,37,21
503.321,0.935247,0.00366402,2,3,0,-502.562,1.90019,0.000195494,14.2305,15.4996,17.8667,19.525,20.8383,21.7499,21.0966,22.5729,28.5969,26.8313,14,15,27,23,23,19,21,22,41,18
503.654,1,0.00366402,1,3,0,-503.404,1.90019,0.000201362,14.5567,15.8957,18.4016,20.1632,21.5615,22.5336,21.8368,23.4124,29.8718,27.9739,14,18,24,22,24,25,18,13,30,25
503.482,0.993969,0.00366402,6,111,0,-503.267,1.90063,0.000209526,15.0297,16.4708,19.1809,21.0951,22.6195,23.6816,22.92,24.6434,31.7545,29.6579,10,17,16,11,21,20,37,33,25,20
503.482,0.82876,0.00366402,1,3,0,-502.826,1.90063,0.000209526,15.0297,16.4708,19.1809,21.0951,22.6195,23.6816,22.92,24.6434,31.7545,29.6579,19,18,17,24,29,27,34,26,28,17
503.66,0.994332,0.00366402,7,159,0,-503.21,1.89977,0.000202057,14.5898,15.9366,18.4583,20.2317,21.6398,22.6189,21.917,23.5041,30.014,28.1007,12,11,15,17,14,18,32,27,23,27
503.077,0.818976,0.00366402,2,3,0,-502.698,1.89977,0.000217797,15.5043,17.0525,19.978,22.0544,23.7134,24.8719,24.041,25.9227,33.7389,31.4265,21,18,22,24,18,27,18,31,32,34
501.871,0.609141,0.00366402,2,3,0,-499.524,1.89977,0.000183939,13.6035,14.7421,16.8514,18.319,19.4762,20.2767,19.7032,20.9979,26.2322,24.7055,10,14,19,17,20,22,20,23,33,38
501.101,0.944447,0.00366402,2,3,0,-500.531,1.89978,0.000179686,13.382,14.4751,16.4951,17.8971,19.0007,19.7633,19.217,20.4497,25.4162,23.9702,10,14,17,14,10,30,17,26,21,24
502.491,1,0.00366402,1,1,0,-501.33,1.89978,0.00018802,13.8198,15.0032,17.2008,18.7336,19.944,20.7823,20.1816,21.5382,27.0404,25.4328,8,18,19,16,22,23,23,15,31,41
503.708,0.986735,0.00366402,2,3,0,-502.443,1.89977,0.00020585,14.8051,16.1986,18.8136,20.6566,22.1222,23.1423,22.411,24.0654,30.8721,28.8684,17,12,23,15,30,32,29,23,33,43
