# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/x9k19esu.json
# init = 2 (Default)
# random
#   seed = 68384
# output
#   file = /home/lab5/output/code4-20230416113455_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.0031983
# Diagonal elements of inverse mass matrix:
# 1.08518e-05, 1.09967e-05, 1.09065e-05, 1.08914e-05, 1.08793e-05, 1.08545e-05, 1.08562e-05, 1.071e-05, 1.07518e-05, 1.09509e-05, 9.90113e-06
510.313,0.995735,0.0031983,8,255,0,-503.78,2.49989,2.49933,2.50072,2.50018,2.49918,2.49956,2.50016,2.49953,2.50062,2.50024,0.000105706,18.3243,19.1799,20.7409,21.7486,22.5053,23.0411,22.6779,23.5079,26.7446,25.8287,27,15,14,36,26,22,22,27,26,10
507.282,0.96721,0.0031983,8,511,0,-505.573,2.50012,2.50071,2.49946,2.49947,2.50113,2.49926,2.50032,2.4998,2.50077,2.50212,0.000100443,17.9597,18.7766,20.1737,21.1152,21.8697,22.3144,21.9908,22.7567,25.7224,24.9273,23,15,15,19,22,19,20,22,31,23
507.847,0.998547,0.0031983,9,511,0,-502.302,2.50062,2.50135,2.5003,2.49884,2.50035,2.50095,2.49913,2.50016,2.49928,2.49874,0.000106551,18.3978,19.2888,20.8204,21.8205,22.6428,23.1912,22.7675,23.6468,26.8771,25.9456,17,18,16,22,29,24,18,20,27,28
506.331,0.84046,0.0031983,8,511,0,-502.626,2.49959,2.49896,2.49899,2.50183,2.49929,2.49913,2.49995,2.49969,2.49914,2.50165,0.000104249,18.2161,19.0531,20.5539,21.6114,22.318,22.8298,22.48,23.2997,26.4174,25.599,15,23,29,28,20,25,17,19,29,33
507.069,0.94328,0.0031983,9,511,0,-501.2,2.5006,2.50163,2.50049,2.49874,2.50037,2.50104,2.49913,2.50052,2.50066,2.49931,9.6777e-05,17.7157,18.5,19.8259,20.6802,21.3924,21.8653,21.4964,22.2595,25.0281,24.2183,12,19,22,24,21,24,24,18,27,30
507.401,0.992074,0.0031983,9,511,0,-502.84,2.4993,2.49839,2.49925,2.50132,2.49966,2.49872,2.50067,2.49921,2.4998,2.50043,0.00010824,18.4938,19.3718,20.9757,22.078,22.8502,23.3764,23.03,23.8739,27.2308,26.3033,21,24,18,20,30,28,17,27,21,32
509.161,0.992335,0.0031983,8,511,0,-505.091,2.50123,2.50091,2.50024,2.49971,2.50049,2.49998,2.49936,2.50012,2.50027,2.49868,0.000108112,18.5203,19.4101,20.9832,22.0271,22.8523,23.3878,22.9826,23.8768,27.2177,26.2334,18,27,10,19,24,28,28,22,25,18
507.756,0.970056,0.0031983,8,511,0,-504.973,2.49994,2.49979,2.5007,2.49924,2.49814,2.50092,2.50004,2.49931,2.49977,2.49885,0.000116058,19.0729,20.0623,21.8483,22.9968,23.8767,24.5594,24.0978,25.0666,28.8591,27.7623,22,17,19,23,24,27,21,17,41,31
508.524,0.99904,0.0031983,9,511,0,-505.223,2.5008,2.50081,2.49903,2.49966,2.50126,2.50021,2.49941,2.50048,2.50066,2.50105,0.000105787,18.3468,19.2151,20.7142,21.7471,22.563,23.0675,22.6719,23.5422,26.7619,25.8648,12,20,19,20,20,25,25,23,28,28
502.834,0.999982,0.0031983,8,511,0,-497.089,2.49894,2.49853,2.49774,2.50016,2.49971,2.5003,2.49754,2.50072,2.50041,2.50145,0.00010591,18.3214,19.1814,20.7003,21.7726,22.5439,23.0867,22.6457,23.5658,26.7794,25.8975,18,23,17,22,26,27,20,22,16,23
506.157,0.982396,0.0031983,8,255,0,-496.022,2.49932,2.50005,2.49919,2.49853,2.49948,2.50071,2.49754,2.49996,2.50023,2.49916,0.000107061,18.4101,19.306,20.8507,21.8748,22.6903,23.2571,22.7995,23.7172,27.0048,26.0507,24,16,18,29,26,32,20,19,30,26
505.267,0.913955,0.0031983,8,255,0,-502.377,2.49912,2.50061,2.4991,2.49835,2.49983,2.50028,2.49743,2.50059,2.50019,2.49907,0.000109097,18.5518,19.4866,21.0632,22.1162,22.9683,23.5344,23.0714,24.0347,27.4154,26.4279,17,19,22,25,19,29,25,20,30,32
509.568,0.999998,0.0031983,8,511,0,-503.338,2.5007,2.49942,2.50048,2.49985,2.49893,2.49922,2.50047,2.49913,2.50043,2.49961,0.000108403,18.5312,19.4055,21.0189,22.0652,22.8553,23.4112,23.0473,23.8962,27.2808,26.312,21,22,21,19,17,21,19,24,36,36
