# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:06:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/8walc1ce.json
# init = 2 (Default)
# random
#   seed = 44886
# output
#   file = /home/lab5/output/code2-20230416100655_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00332191
# Diagonal elements of inverse mass matrix:
# 1.07474e-05, 9.90111e-06
503.008,0.999999,0.00332191,6,79,0,-502.951,1.90122,0.0002048,14.7666,16.1491,18.7417,20.5679,22.0195,23.0296,22.3055,23.9434,30.6766,28.6954,22,16,20,21,21,15,19,25,33,32
503.589,0.872573,0.00332191,6,107,0,-500.332,1.90052,0.000207719,14.9236,16.3416,19.0055,20.885,22.3808,23.4224,22.6756,24.3653,31.3276,29.2765,11,20,22,21,25,20,21,25,37,35
502.105,0.993293,0.00332191,7,159,0,-501.353,1.90181,0.000202931,14.669,16.0293,18.5774,20.3703,21.7944,22.7849,22.0749,23.6805,30.2713,28.3335,3,11,18,18,27,30,19,18,33,34
501.957,0.999164,0.00332191,5,59,0,-501.56,1.90189,0.000202295,14.6341,15.9867,18.5195,20.3009,21.7156,22.6992,21.9941,23.5887,30.1307,28.2077,13,11,17,19,32,18,21,27,29,26
503.157,0.943841,0.00332191,7,143,0,-501.098,1.90004,0.000193471,14.1175,15.363,17.6832,19.3067,20.5915,21.4827,20.844,22.2871,28.1657,26.4441,14,11,22,14,24,21,18,25,29,30
503.058,0.981503,0.00332191,7,211,0,-502.093,1.89942,0.000194441,14.1617,15.4176,17.7586,19.3976,20.6951,21.5954,20.9502,22.4081,28.3519,26.6106,20,18,14,21,17,28,28,21,28,16
503.135,0.996346,0.00332191,6,119,0,-501.955,1.8992,0.00019746,14.3247,15.6157,18.0263,19.7169,21.057,21.9875,21.3205,22.8281,28.989,27.1818,9,12,25,16,20,22,20,28,38,26
503.227,0.984084,0.00332191,6,111,0,-502.258,1.8996,0.000215637,15.3728,16.8919,19.7589,21.7911,23.4135,24.5457,23.7337,25.5722,33.1959,30.9425,19,18,23,17,25,20,24,27,38,28
503.19,0.980351,0.00332191,7,155,0,-502.332,1.90044,0.000215898,15.4014,16.9252,19.8016,21.8408,23.4688,24.6051,23.7902,25.6354,33.2885,31.0261,17,32,19,28,23,21,33,20,31,20
502.989,0.991472,0.00332191,7,187,0,-501.952,1.8995,0.000217674,15.4927,17.0388,19.9602,22.0335,23.69,24.8466,24.0171,25.8958,33.6989,31.3904,12,8,21,32,25,35,18,28,30,32
502.27,0.961837,0.00332191,7,151,0,-500.683,1.9008,0.000221915,15.7692,17.375,20.417,22.5812,24.3131,25.5239,24.6554,26.623,34.8236,32.3932,10,17,20,23,24,30,28,28,40,35
