# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:32:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/hjl2_xu3.json
# init = 2 (Default)
# random
#   seed = 86277
# output
#   file = /home/lab5/output/code4-20230416113233_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00326162
# Diagonal elements of inverse mass matrix:
# 1.09042e-05, 1.08371e-05, 1.0895e-05, 1.08785e-05, 1.08941e-05, 1.09094e-05, 1.09234e-05, 1.08539e-05, 1.08024e-05, 1.09471e-05, 9.9011e-06
503.304,0.995973,0.00326162,8,255,0,-499.507,2.49924,2.49855,2.50228,2.49982,2.4997,2.50128,2.50067,2.50135,2.498,2.49933,0.000114904,18.9749,19.9382,21.7562,22.8651,23.754,24.3979,23.9499,24.9381,28.5621,27.5487,17,17,20,21,24,16,27,31,23,30
506.842,0.900006,0.00326162,8,255,0,-497.456,2.50072,2.5004,2.50004,2.50077,2.49919,2.49854,2.50044,2.50167,2.49933,2.50139,0.000103819,18.2063,19.0454,20.531,21.5376,22.2601,22.7571,22.434,23.2833,26.3379,25.5142,18,15,18,23,17,22,20,29,27,33
509.845,0.90999,0.00326162,8,255,0,-502.834,2.50009,2.50064,2.4996,2.50062,2.49934,2.50085,2.5,2.50042,2.50111,2.50013,0.000109885,18.6264,19.5534,21.1575,22.2624,23.0627,23.66,23.2382,24.1488,27.6019,26.6045,24,16,30,16,17,18,26,26,31,46
508.305,0.939651,0.00326162,8,255,0,-506.428,2.50048,2.4999,2.50065,2.49995,2.49924,2.49866,2.49875,2.50002,2.49887,2.49994,9.84722e-05,17.8299,18.6031,19.9987,20.8984,21.5798,22.0373,21.7035,22.4842,25.3003,24.5271,14,17,20,21,27,23,25,17,21,22
506.859,0.891009,0.00326162,8,511,0,-503.6,2.49915,2.50177,2.49934,2.49926,2.5007,2.50043,2.49956,2.49975,2.50051,2.49979,0.000128272,19.9788,21.186,23.2004,24.5895,25.6997,26.4246,25.8787,27.0581,31.6252,30.3083,16,26,16,18,27,24,21,26,33,37
509.106,0.985335,0.00326162,8,255,0,-501.308,2.49914,2.50161,2.49958,2.49941,2.50073,2.50047,2.49975,2.49984,2.50045,2.4999,0.000111921,18.7555,19.7445,21.3747,22.485,23.3696,23.9434,23.5121,24.4427,28.0043,26.9862,18,16,28,22,16,30,31,14,30,24
503.581,0.99942,0.00326162,8,255,0,-501.058,2.50188,2.50031,2.49956,2.50198,2.5014,2.50186,2.50155,2.4996,2.49965,2.49944,0.000109018,18.5973,19.4741,21.0646,22.1871,22.9938,23.5603,23.1558,23.999,27.3844,26.423,17,11,17,32,26,20,19,22,32,23
508.525,0.902965,0.00326162,8,511,0,-500.233,2.50075,2.50048,2.49949,2.49975,2.49986,2.49999,2.50149,2.49945,2.49946,2.50075,9.38179e-05,17.5169,18.2451,19.5136,20.3681,21.0166,21.4559,21.1757,21.8298,24.4543,23.7483,16,19,22,27,22,30,26,19,23,26
506.696,0.998505,0.00326162,8,255,0,-503.508,2.50153,2.49866,2.50004,2.49851,2.49952,2.50072,2.50126,2.49963,2.49945,2.50084,0.000107205,18.4611,19.2911,20.8835,21.8916,22.7101,23.2775,22.9038,23.7305,27.0125,26.1212,16,14,19,21,16,24,24,19,21,31
510.03,0.977571,0.00326162,8,255,0,-505.255,2.49935,2.50073,2.49998,2.50007,2.49956,2.50059,2.4996,2.501,2.49968,2.50002,0.000101204,17.9987,18.8387,20.2617,21.2164,21.9324,22.4471,22.0735,22.8922,25.8402,25.0101,13,16,24,19,19,27,24,33,21,28
510.248,0.998071,0.00326162,8,511,0,-505.485,2.49908,2.50083,2.50007,2.50008,2.49964,2.50008,2.50005,2.50086,2.49994,2.50029,0.000102727,18.1002,18.9643,20.4193,21.3943,22.1292,22.6427,22.2821,23.1068,26.1413,25.2891,18,24,21,19,21,30,28,28,25,30
505.657,0.999895,0.00326162,8,255,0,-504.368,2.50071,2.50139,2.50156,2.49805,2.50097,2.49887,2.49952,2.50069,2.50012,2.50039,0.000103403,18.1769,19.0302,20.5193,21.4303,22.2458,22.7076,22.3587,23.2003,26.2776,25.4134,12,18,26,16,19,21,23,26,26,24
500.721,0.99857,0.00326162,8,255,0,-497.279,2.49733,2.49851,2.49715,2.50106,2.49914,2.50099,2.50081,2.49937,2.49955,2.49992,0.000112585,18.7697,19.7397,21.3941,22.6043,23.4227,24.0519,23.6291,24.5323,28.1175,27.1144,26,15,21,25,35,22,31,28,28,25
503.576,0.987308,0.00326162,8,255,0,-496.429,2.49724,2.49915,2.49832,2.50022,2.49918,2.5012,2.50147,2.49983,2.50031,2.50006,0.000115363,18.9705,19.9896,21.7203,22.9317,23.8049,24.4636,24.0338,24.9714,28.726,27.6587,20,18,27,28,19,22,23,23,31,20
503.25,0.999999,0.00326162,9,511,0,-498.507,2.5028,2.50109,2.50161,2.49951,2.50064,2.49916,2.49815,2.50012,2.49999,2.49941,0.000111106,18.7651,19.6651,21.3306,22.3869,23.257,23.7947,23.3621,24.3256,27.8222,26.8171,18,15,20,16,21,21,25,28,36,26
505.826,0.996633,0.00326162,8,255,0,-501.015,2.50215,2.50091,2.50076,2.49927,2.49983,2.49935,2.49797,2.50028,2.49982,2.49946,0.000104915,18.3098,19.1451,20.6595,21.635,22.4168,22.9267,22.5234,23.4101,26.5667,25.6641,13,21,13,25,20,22,20,22,25,26
507.424,0.999679,0.00326162,8,255,0,-501.322,2.5009,2.50013,2.50146,2.5005,2.50089,2.49946,2.49889,2.49985,2.49836,2.4996,0.000112149,18.8052,19.7346,21.4394,22.5377,23.4044,23.9521,23.5234,24.4775,27.9933,27.0217,17,17,22,20,13,12,13,20,30,26
507.053,0.732985,0.00326162,8,255,0,-501.427,2.49955,2.50024,2.49839,2.49984,2.49955,2.49877,2.50019,2.49921,2.50192,2.50035,0.000107324,18.4331,19.3315,20.8615,21.935,22.7264,23.2488,22.8953,23.7382,27.1034,26.1304,25,15,28,16,34,20,22,28,28,22
507.235,0.940983,0.00326162,9,511,0,-504.409,2.49936,2.49969,2.49818,2.50008,2.49906,2.4988,2.50028,2.49913,2.50131,2.50012,0.000109888,18.613,19.5351,21.1277,22.2507,23.0565,23.6121,23.2451,24.1183,27.6081,26.605,19,20,15,30,23,24,19,33,30,29
500.284,0.994543,0.00326162,8,255,0,-497.767,2.4999,2.50101,2.49718,2.50074,2.5008,2.49809,2.50032,2.49928,2.50266,2.49896,0.000105687,18.3233,19.2107,20.6656,21.7588,22.5395,23.0048,22.6791,23.4994,26.7954,25.7923,24,26,18,20,18,16,20,20,32,24
503.255,0.960505,0.00326162,8,255,0,-493.65,2.49856,2.50018,2.49762,2.49952,2.50148,2.49922,2.50087,2.49868,2.49956,2.49845,9.83062e-05,17.7844,18.595,19.9216,20.8705,21.6073,22.0276,21.7282,22.4308,25.2865,24.4619,20,28,23,16,25,13,32,26,18,27
501.114,0.932463,0.00326162,8,255,0,-493.057,2.5019,2.49954,2.5012,2.5015,2.49788,2.49798,2.49907,2.50139,2.50023,2.49852,0.000108393,18.5527,19.4069,21.033,22.1005,22.8301,23.3809,23.0138,23.9489,27.2734,26.2815,17,19,19,20,21,18,23,24,19,22
