# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00299996
# Diagonal elements of inverse mass matrix:
# 1.10486e-05, 1.08573e-05, 1.09601e-05, 1.09035e-05, 1.07803e-05, 1.08182e-05, 1.11398e-05, 1.08495e-05, 1.09126e-05, 1.10042e-05, 9.90112e-06
508.909,0.999641,0.00299996,8,255,0,-502.3,2.49926,2.49949,2.50063,2.49943,2.49996,2.49992,2.49939,2.50106,2.49965,2.5015,0.000108542,18.5145,19.4185,21.0368,22.0728,22.8974,23.4474,23.0415,23.9632,27.2879,26.388,23,16,23,24,23,23,27,24,18,24
508.506,0.999581,0.00299996,9,511,0,-506.557,2.49947,2.5005,2.49938,2.5004,2.5006,2.49965,2.50111,2.49856,2.50029,2.49886,0.000107339,18.4327,19.3377,20.8837,21.949,22.7525,23.2714,22.9185,23.725,27.0622,26.0943,15,14,25,27,23,22,25,28,35,31
506.989,0.999814,0.00299996,8,511,0,-504.607,2.50011,2.49985,2.4997,2.49891,2.50094,2.50051,2.49825,2.50065,2.49978,2.50179,0.000108975,18.5612,19.4615,21.0629,22.1137,22.9776,23.5225,23.0737,24.0179,27.3792,26.477,25,23,19,14,28,33,23,22,24,22
506.448,0.989284,0.00299996,9,511,0,-502.639,2.50008,2.5012,2.50033,2.50106,2.49912,2.49968,2.50196,2.49955,2.50048,2.49846,0.000103148,18.1477,19.0056,20.4679,21.4648,22.1718,22.6911,22.3798,23.1372,26.2373,25.3184,21,19,22,21,31,16,26,19,32,22
509.276,0.99999,0.00299996,8,511,0,-501.96,2.50078,2.50121,2.4999,2.50049,2.49955,2.49983,2.50127,2.50028,2.49944,2.49969,0.000104588,18.2616,19.1238,20.6076,21.6225,22.3678,22.8925,22.5545,23.3624,26.492,25.6103,19,19,17,26,16,23,19,23,27,27
506.785,0.911788,0.00299996,9,511,0,-504.79,2.49871,2.49959,2.49994,2.49942,2.50094,2.50073,2.49954,2.49932,2.50165,2.5006,9.16604e-05,17.3361,18.0605,19.3118,20.1219,20.7772,21.1939,20.8683,21.5359,24.1181,23.3836,26,17,25,25,20,19,15,22,21,18
502.79,0.928924,0.00299996,8,511,0,-496.442,2.49937,2.49925,2.49788,2.49866,2.5016,2.49988,2.49893,2.49937,2.50112,2.50045,8.42226e-05,16.8562,17.4861,18.5647,19.3034,19.9111,20.2467,19.9635,20.5629,22.8088,22.1762,26,21,20,15,21,18,24,22,21,14
506.887,0.91451,0.00299996,8,255,0,-499.168,2.49957,2.49895,2.49823,2.49892,2.50017,2.49959,2.49961,2.49889,2.50074,2.50073,9.67089e-05,17.6928,18.445,19.7743,20.6762,21.3796,21.8246,21.4982,22.2137,25.0176,24.241,16,26,26,22,19,17,23,14,32,25
506.038,0.994615,0.00299996,9,511,0,-501.603,2.50038,2.49966,2.50095,2.49989,2.50075,2.50184,2.50017,2.49812,2.50086,2.50105,9.93643e-05,17.8898,18.6703,20.0946,20.9996,21.7248,22.2269,21.8486,22.5664,25.5193,24.7106,16,18,22,24,22,33,16,25,22,22
507.025,0.998754,0.00299996,9,511,0,-501.14,2.50024,2.49987,2.5004,2.4989,2.49893,2.49998,2.49842,2.50142,2.49859,2.50023,0.000111523,18.7475,19.6765,21.3496,22.4247,23.2738,23.8742,23.4258,24.4207,27.8698,26.9189,17,17,27,26,20,18,26,20,30,29
509.228,0.966624,0.00299996,8,255,0,-503.501,2.50053,2.50025,2.5003,2.49985,2.50018,2.50042,2.49893,2.50077,2.49857,2.50063,0.000107768,18.4827,19.3687,20.9482,21.9886,22.7996,23.3496,22.9263,23.841,27.1021,26.2204,21,22,16,17,18,25,15,23,29,18
508.859,0.862465,0.00299996,8,255,0,-506.344,2.49928,2.4996,2.50009,2.49986,2.50077,2.49943,2.49983,2.50084,2.49998,2.49981,0.000127306,19.9069,21.0525,23.1052,24.4742,25.5576,26.2449,25.7392,26.9254,31.3825,30.1015,12,7,19,22,28,30,24,30,41,31
509.783,0.999973,0.00299996,9,511,0,-508.102,2.49927,2.49957,2.50012,2.49978,2.50067,2.49944,2.49992,2.5009,2.49997,2.49979,0.000120508,19.3907,20.4452,22.3296,23.5773,24.5644,25.1903,24.7332,25.8116,29.8356,28.6809,18,20,25,22,25,27,26,27,17,37
504.16,0.973552,0.00299996,8,255,0,-502.187,2.50054,2.50109,2.50027,2.49886,2.49816,2.49873,2.49815,2.49824,2.50013,2.50031,0.000100875,17.9972,18.8187,20.234,21.1525,21.8597,22.3608,21.9988,22.7823,25.7886,24.9588,12,24,23,12,29,22,25,29,27,35
503.796,0.941088,0.00299996,9,511,0,-496.374,2.49955,2.49868,2.49981,2.5011,2.50182,2.50135,2.50185,2.50172,2.4998,2.49959,9.88585e-05,17.84,18.6114,20.0208,20.9668,21.6841,22.1484,21.8204,22.5767,25.3965,24.586,15,22,14,17,27,30,19,21,19,18
503.436,0.995439,0.00299996,9,511,0,-497.105,2.49872,2.50071,2.5008,2.50005,2.50265,2.50109,2.50057,2.50193,2.4992,2.50073,0.000103764,18.1662,19.0467,20.5411,21.5157,22.3301,22.8078,22.4299,23.2815,26.324,25.4874,19,26,24,12,26,27,19,24,23,24
507.914,0.999822,0.00299996,8,255,0,-501.03,2.50089,2.49903,2.49915,2.49958,2.49915,2.50004,2.50106,2.49856,2.50092,2.49999,0.000108686,18.5551,19.4215,21.0208,22.0937,22.898,23.4706,23.0994,23.9247,27.3519,26.3751,16,16,27,24,18,16,13,26,32,27
503.898,0.92622,0.00299996,8,255,0,-500.066,2.49789,2.49978,2.4973,2.49997,2.50108,2.49981,2.49937,2.49983,2.49965,2.50056,0.00012182,19.4624,20.5653,22.414,23.752,24.7627,25.4,24.911,25.9954,30.1184,28.9722,22,16,21,25,29,20,20,26,30,32
506.819,0.987487,0.00299996,9,511,0,-499.379,2.49881,2.49962,2.49995,2.50115,2.50035,2.50099,2.50009,2.49779,2.49943,2.4998,0.000101525,18.0113,18.8437,20.2938,21.2766,21.9906,22.4995,22.126,22.8644,25.8955,25.0616,19,18,22,23,27,17,26,20,33,24
509.056,0.983375,0.00299996,8,511,0,-504.289,2.49975,2.4999,2.49878,2.49921,2.49891,2.501,2.49975,2.49956,2.49978,2.49991,0.000115515,19.0294,20.0176,21.747,22.9278,23.8199,24.4811,24.0139,24.9884,28.7433,27.6846,21,22,29,36,25,26,21,26,25,38
507.135,0.952592,0.00299996,8,255,0,-505.803,2.5004,2.49937,2.49938,2.49856,2.49897,2.50168,2.49954,2.49994,2.49954,2.4999,9.42658e-05,17.5411,18.2599,19.5554,20.3939,21.0527,21.5501,21.1903,21.9015,24.5379,23.8039,22,22,18,16,24,21,19,25,17,27
508.365,0.993632,0.00299996,9,511,0,-503.201,2.50008,2.49875,2.49994,2.50015,2.49941,2.5006,2.50034,2.50002,2.49965,2.49837,9.57572e-05,17.6368,18.366,19.7136,20.5939,21.2454,21.7215,21.3939,22.1074,24.8141,24.0206,20,16,24,17,23,27,25,22,21,23
502.645,0.99891,0.00299996,8,511,0,-499.008,2.50338,2.49951,2.49966,2.49989,2.49948,2.4987,2.49976,2.49849,2.4992,2.49886,0.000106271,18.4286,19.2301,20.7779,21.8099,22.5862,23.1,22.7444,23.5663,26.8192,25.8971,17,17,18,22,20,14,21,23,25,34
507.922,0.983625,0.00299996,8,255,0,-499.589,2.50194,2.50104,2.50023,2.49894,2.50024,2.49955,2.50022,2.50002,2.49898,2.49997,0.000111688,18.7912,19.7133,21.3636,22.4458,23.3267,23.8876,23.4909,24.4115,27.9147,26.9433,13,27,17,18,25,29,27,16,28,18
508.57,0.968695,0.00299996,9,511,0,-503.788,2.50059,2.50078,2.50121,2.50044,2.49974,2.49911,2.50074,2.4993,2.5002,2.5011,0.000101216,18.0219,18.8406,20.2879,21.2256,21.9377,22.4154,22.1002,22.8551,25.856,25.0392,18,15,13,18,24,30,24,19,30,27
508.148,0.999958,0.00299996,8,511,0,-505.005,2.49932,2.49987,2.50015,2.50083,2.4997,2.50071,2.50091,2.49811,2.49925,2.50037,0.000112223,18.7809,19.7356,21.4193,22.5543,23.3866,23.9927,23.581,24.4462,28.0335,27.0568,12,23,20,25,29,23,30,23,31,24
507.041,0.888564,0.00299996,9,511,0,-500.62,2.5014,2.50042,2.49992,2.49974,2.5001,2.49977,2.49882,2.502,2.50048,2.49947,9.7245e-05,17.7619,18.5149,19.8612,20.754,21.4448,21.8991,21.549,22.3573,25.1109,24.3028,17,23,26,21,17,20,22,20,25,31
507.367,0.738061,0.00299996,9,511,0,-498.671,2.49856,2.50009,2.50001,2.49966,2.5,2.50079,2.50158,2.49862,2.49922,2.50021,0.000117201,19.131,20.1671,21.959,23.1509,24.0806,24.7262,24.2973,25.2281,29.0893,28.0267,22,21,23,24,29,30,27,32,32,37
509.022,0.999437,0.00299996,9,511,0,-505.03,2.49904,2.49932,2.49988,2.50021,2.49938,2.50097,2.4989,2.50022,2.49936,2.50028,9.92838e-05,17.8601,18.6574,20.0651,20.997,21.6849,22.1968,21.8104,22.6026,25.4659,24.6775,10,19,21,17,24,25,19,16,28,20
509.265,0.99966,0.00299996,9,511,0,-505.83,2.50095,2.5009,2.50006,2.50012,2.50066,2.49887,2.50104,2.50013,2.50021,2.49965,0.00011046,18.6838,19.6068,21.2285,22.3214,23.1704,23.6952,23.3411,24.2283,27.6952,26.7006,12,18,21,17,16,23,23,32,29,26
503.501,0.927645,0.00299996,8,255,0,-501.597,2.4986,2.49906,2.49986,2.49908,2.50016,2.50269,2.49833,2.50062,2.49991,2.50073,9.46778e-05,17.5375,18.2868,19.6054,20.4505,21.1284,21.6256,21.216,21.9726,24.6222,23.8934,17,16,24,18,32,24,19,28,32,19
