# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:04:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/17toygqy.json
# init = 2 (Default)
# random
#   seed = 78303
# output
#   file = /home/lab5/output/code2-20230416100439_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 5.53709e-06
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.08369e-05
-96966.2,0.999999,5.53709e-06,9,511,0,96971,1.4585,0.000287465,13.0525,14.7996,18.2395,20.7822,22.8699,24.356,23.2879,25.7233,36.424,33.1656,16,13,25,20,24,28,24,25,37,33
-96962.3,1,5.53709e-06,9,511,0,96966.6,1.45851,0.000287646,13.0617,14.8113,18.2562,20.803,22.8942,24.3828,23.3129,25.7525,36.4734,33.2086,18,14,23,26,28,22,17,20,38,35
-96961.5,0.999999,5.53709e-06,9,511,0,96962.8,1.45851,0.000291116,13.238,15.034,18.5775,21.2025,23.3608,24.8987,23.7932,26.3147,37.4265,34.0379,12,19,23,26,19,19,22,28,33,29
-96954.7,0.999997,5.53709e-06,10,1023,0,96964.8,1.45853,0.000252169,11.3891,12.7159,15.2745,17.1272,18.6275,19.6852,18.9258,20.6513,28.0195,25.8083,11,8,17,18,17,17,12,24,14,31
-96936.7,1,5.53709e-06,10,1023,0,96955.2,1.45857,0.000284319,12.8956,14.6017,17.9544,20.4282,22.4568,23.8996,22.8627,25.2261,35.5844,32.4344,8,11,8,13,26,24,26,27,35,40
-96925.9,0.999999,5.53709e-06,10,1023,0,96937.1,1.45859,0.000262807,11.8676,13.3119,16.1145,18.1566,19.8172,20.9912,20.148,22.066,30.3268,27.8368,11,17,13,27,20,23,22,34,25,35
-96925.6,1,5.53709e-06,9,511,0,96926.9,1.45859,0.000262883,11.8711,13.3163,16.1207,18.1642,19.826,21.0009,20.1571,22.0765,30.3441,27.8519,10,13,14,16,18,24,23,21,36,36
-96920,1,5.53709e-06,9,511,0,96926.2,1.4586,0.000284344,12.8974,14.6038,17.9574,20.4318,22.461,23.9041,22.867,25.2311,35.5924,32.4414,7,22,19,19,22,26,21,28,33,26
-96919.4,1,5.53709e-06,8,255,0,96920.1,1.45861,0.000284676,12.9139,14.6247,17.9874,20.469,22.5044,23.952,22.9116,25.2832,35.6803,32.518,8,23,21,26,17,16,32,14,27,31
-96919.5,1,5.53709e-06,7,127,0,96919.6,1.45861,0.000284166,12.8885,14.5927,17.9413,20.4119,22.4378,23.8785,22.8431,25.2032,35.5454,32.4004,10,18,20,21,18,24,27,22,40,35
-96919.2,1,5.53709e-06,8,255,0,96919.6,1.45861,0.000285119,12.9361,14.6526,18.0275,20.5188,22.5625,24.0162,22.9714,25.3531,35.7981,32.6207,12,12,14,30,15,24,33,36,41,34
-96903.1,0.999999,5.53709e-06,10,1023,0,96920.3,1.45864,0.000275819,12.48,14.0787,17.2047,19.4998,21.3757,22.7067,21.7504,23.9283,33.4083,30.5354,17,13,9,24,20,25,25,19,27,28
-96897,0.999999,5.53709e-06,10,1023,0,96903.8,1.45866,0.00028735,13.0487,14.7946,18.2318,20.7723,22.8582,24.3429,23.2758,25.7089,36.3986,33.1437,10,15,14,26,23,21,18,40,36,33
-96884.8,0.999998,5.53709e-06,10,1023,0,96898.6,1.45869,0.000256287,11.5736,12.9452,15.5964,17.5209,19.0819,20.1835,19.3925,21.1907,28.895,26.579,10,12,15,12,17,24,14,14,29,21
-96885.7,1,5.53709e-06,9,511,0,96886.2,1.45868,0.000257996,11.6502,13.0406,15.7309,17.6857,19.2723,20.3926,19.5882,21.4171,29.2642,26.9036,11,13,18,22,19,17,23,20,35,21
-96883.5,0.999999,5.53709e-06,8,415,0,96887.9,1.45869,0.000263957,11.9216,13.3792,16.2095,18.2732,19.952,21.1394,20.2866,22.2266,30.5901,28.0679,11,11,17,18,19,20,16,21,30,26
-96885.4,0.999995,5.53709e-06,10,1023,0,96887.9,1.45869,0.000304684,13.9529,15.94,19.8924,22.8435,25.2828,27.0274,25.7728,28.6382,41.4053,37.4903,15,17,13,21,21,33,25,31,43,32
-96878.9,0.999999,5.53709e-06,9,511,0,96886.1,1.4587,0.000296598,13.5239,15.3955,19.1002,21.8534,24.1219,25.7408,24.5769,27.233,38.9904,35.3969,17,10,19,24,26,26,21,25,38,41
-96875.5,0.999999,5.53709e-06,9,511,0,96879.4,1.45871,0.000294084,13.3933,15.23,18.8605,21.5545,23.7721,25.3535,24.2166,26.8105,38.2688,34.7703,19,11,13,23,24,32,24,31,46,33
-96871.4,1,5.53709e-06,10,1023,0,96876.4,1.45872,0.000262411,11.851,13.2909,16.0845,18.1195,19.7741,20.9438,20.1037,22.0144,30.2415,27.7621,15,16,18,11,22,18,17,19,40,18
-96870.5,0.999999,5.53709e-06,9,511,0,96872.9,1.45872,0.000267022,12.064,13.5571,16.4617,18.5833,20.3114,21.5346,20.656,22.6553,31.296,28.6869,5,21,12,22,24,11,16,23,35,31
-96870.1,1,5.53709e-06,9,511,0,96871.1,1.45872,0.000276337,12.506,14.1112,17.2509,19.5567,21.4417,22.7794,21.8183,24.0074,33.5397,30.6503,9,13,12,14,25,22,25,21,45,28
-96869,1,5.53709e-06,9,511,0,96870.6,1.45872,0.000280835,12.7252,14.3868,17.6454,20.0449,22.0099,23.4061,22.4028,24.6889,34.68,31.646,14,9,18,20,15,22,27,25,46,27
-96869.2,0.999999,5.53709e-06,9,511,0,96869.8,1.45872,0.000287724,13.0684,14.8193,18.2672,20.8163,22.9094,24.3994,23.3285,25.7704,36.5022,33.234,14,15,24,25,22,29,23,26,40,37
-96865.6,1,5.53709e-06,9,511,0,96869.4,1.45873,0.000285455,12.9545,14.6756,18.0602,20.5592,22.6094,24.0679,23.0197,25.4093,35.8921,32.7028,17,12,25,16,30,24,22,19,34,36
-96864.7,1,5.53709e-06,8,255,0,96865.7,1.45873,0.00028029,12.6986,14.3533,17.5973,19.9853,21.9405,23.3295,22.3314,24.6056,34.5403,31.5241,20,14,20,29,28,19,25,30,40,42
-96865.9,1,5.53709e-06,8,511,0,96866.9,1.45873,0.000281038,12.7353,14.3994,17.6636,20.0674,22.0361,23.4349,22.4297,24.7203,34.7327,31.6919,5,12,21,24,19,21,30,28,31,26
-96863.9,1,5.53709e-06,9,511,0,96866.3,1.45873,0.000270402,12.2227,13.7558,16.744,18.9311,20.7148,21.9785,21.0707,23.1372,32.0927,29.3848,8,15,17,15,23,24,21,27,28,28
-96862.5,1,5.53709e-06,8,511,0,96864.4,1.45873,0.000269856,12.197,13.7236,16.6982,18.8746,20.6493,21.9064,21.0033,23.0589,31.9629,29.2712,17,12,20,21,21,27,33,20,29,32
-96851.5,0.999999,5.53709e-06,10,1023,0,96863.5,1.45876,0.00028982,13.1752,14.9541,18.4615,21.0576,23.1912,24.7109,23.6185,26.1098,37.0768,33.7341,17,19,19,14,31,22,20,24,34,27
-96852.7,0.999997,5.53709e-06,10,1023,0,96855.2,1.45876,0.000268601,12.1383,13.65,16.5936,18.7456,20.4996,21.7416,20.8494,22.88,31.6668,29.0119,14,13,19,19,22,20,22,22,38,31
-96852.9,1,5.53709e-06,7,127,0,96852.9,1.45876,0.000267971,12.1087,13.6131,16.5411,18.6809,20.4246,21.6591,20.7723,22.7904,31.5188,28.8822,17,23,12,16,20,26,24,17,30,38
-96838.8,1,5.53709e-06,10,1023,0,96853.6,1.45879,0.000281532,12.7604,14.4309,17.7086,20.123,22.1008,23.5063,22.4963,24.7979,34.8625,31.8053,12,14,13,19,22,26,22,18,53,30
