# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:23:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/lked0s8o.json
# init = 2 (Default)
# random
#   seed = 63975
# output
#   file = /home/lab5/output/code2-20230416112305_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00098827
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.04018e-05
-212670,0.999201,0.00098827,6,63,0,213012,1.24707,0.000313663,11.6901,13.4075,16.8416,19.419,21.557,23.0899,21.9873,24.5078,35.8206,32.3388,9,14,16,21,24,15,18,24,39,22
-212664,0.991959,0.00098827,3,7,0,212671,1.24708,0.000316903,11.8375,13.5958,17.1183,19.7671,21.9671,23.5459,22.4101,25.0071,36.694,33.0924,12,11,16,17,17,18,25,34,40,39
-212652,1,0.00098827,4,15,0,212664,1.24709,0.000306603,11.3759,13.007,16.2548,18.6824,20.6907,22.1276,21.0942,23.455,33.9902,30.757,13,12,22,21,18,29,15,21,46,29
-212641,0.931514,0.00098827,2,3,0,212653,1.24711,0.000295569,10.9015,12.4045,15.378,17.5864,19.4054,20.7031,19.7701,21.899,31.3144,28.4379,10,6,14,16,13,32,19,20,37,22
-212622,0.764749,0.00098827,3,7,0,212646,1.24715,0.00034492,13.1915,15.3376,19.7087,23.0498,25.8552,27.8839,26.4232,29.7725,45.1928,40.3865,18,19,19,22,23,21,25,34,40,48
-212601,1,0.00098827,2,3,0,212623,1.24717,0.000316375,11.8145,13.5662,17.0745,19.7119,21.9019,23.4732,22.3428,24.9275,36.5538,32.9716,14,14,16,22,29,24,28,17,36,28
-212317,0.998431,0.00098827,6,63,0,212601,1.24761,0.000314095,11.716,13.4398,16.8873,19.4756,21.623,23.1627,22.0551,24.5871,35.9553,32.4559,10,10,22,13,18,21,20,25,37,34
-212317,0.992239,0.00098827,1,1,0,212317,1.24761,0.000315653,11.7867,13.5301,17.0201,19.6426,21.8197,23.3814,22.258,24.8266,36.374,32.8172,8,12,14,13,25,25,28,25,32,37
-212268,1,0.00098827,5,31,0,212317,1.24768,0.000302737,11.2139,12.8001,15.9513,18.3015,20.2427,21.6303,20.6325,22.9109,33.0468,29.9411,11,7,19,25,21,21,17,30,29,25
-212255,0.958198,0.00098827,2,3,0,212269,1.2477,0.000324733,12.2087,14.0701,17.8167,20.6469,23.0047,24.7003,23.4802,26.2723,38.9174,35.0081,8,10,19,16,21,27,24,24,46,30
-212246,1,0.00098827,2,3,0,212255,1.24772,0.000311684,11.6087,13.3026,16.6857,19.222,21.3243,22.8307,21.7472,24.2236,35.3206,31.908,18,13,15,19,11,24,20,20,38,32
-212241,0.938206,0.00098827,2,3,0,212247,1.24773,0.000323458,12.149,13.9936,17.7033,20.5036,22.8354,24.5117,23.3055,26.0654,38.5514,34.6932,15,15,16,14,31,17,19,26,42,32
