# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:06:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/8walc1ce.json
# init = 2 (Default)
# random
#   seed = 44886
# output
#   file = /home/lab5/output/code2-20230416100655_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00324595
# Diagonal elements of inverse mass matrix:
# 1.12257e-05, 9.90109e-06
500.457,1,0.00324595,4,19,0,-500.45,1.90257,0.000202999,14.684,16.0461,18.5979,20.3933,21.8195,22.8115,22.1004,23.7085,30.3095,28.3686,14,17,18,21,14,22,21,38,31,25
500.377,0.877923,0.00324595,3,11,0,-499.351,1.90259,0.000201831,14.6182,15.966,18.4894,20.2636,21.6723,22.6517,21.9497,23.5373,30.0481,28.1347,13,14,17,31,27,27,22,21,36,23
499.729,0.999733,0.00324595,5,55,0,-499.358,1.90284,0.000202583,14.6643,16.0217,18.564,20.3524,21.7727,22.7604,22.0524,23.6536,30.2241,28.2925,17,9,15,12,26,18,21,18,24,24
499.875,0.925218,0.00324595,4,19,0,-499.002,1.90277,0.000209389,15.0539,16.4964,19.2087,21.1244,22.6499,23.7127,22.9506,24.6751,31.7901,29.6925,11,16,16,16,16,22,28,18,39,31
499.513,0.965982,0.00324595,3,15,0,-499.313,1.90279,0.000195536,14.2699,15.5429,17.9171,19.5804,20.8978,21.8121,21.1568,22.6377,28.6805,26.9093,15,12,19,28,23,19,13,25,24,25
499.513,0.988572,0.00324595,3,15,0,-499.201,1.90278,0.000214849,15.375,16.8885,19.7436,21.7665,23.3808,24.5072,23.6994,25.5283,33.1074,30.8678,22,18,19,21,20,18,31,23,35,25
501.232,0.978465,0.00324595,6,75,0,-498.588,1.90218,0.000211317,15.1576,16.624,19.3845,21.3363,22.8918,23.9761,23.1986,24.9583,32.2301,30.0846,20,13,19,17,24,24,25,21,23,40
501.232,0.591404,0.00324595,1,3,0,-498.276,1.90218,0.000211317,15.1576,16.624,19.3845,21.3363,22.8918,23.9761,23.1986,24.9583,32.2301,30.0846,22,18,32,21,23,24,30,30,35,39
501.175,0.921821,0.00324595,2,7,0,-500.488,1.90219,0.000198147,14.4058,15.7088,18.1428,19.8506,21.2046,22.145,21.4709,22.9946,29.2248,27.3967,12,12,21,21,28,22,20,17,31,25
501.637,0.899429,0.00324595,6,71,0,-499.758,1.90143,0.000188624,13.8749,15.0671,17.2816,18.8267,20.0472,20.8926,20.2868,21.655,27.2068,25.5843,15,9,19,25,18,25,20,21,26,18
503.239,0.999047,0.00324595,6,91,0,-501.259,1.90072,0.000213206,15.2462,16.735,19.5408,21.5268,23.1107,24.2154,23.4232,25.2165,32.6379,30.4465,12,26,16,25,24,24,22,19,38,27
503.245,1,0.00324595,2,3,0,-503.167,1.90072,0.000213125,15.2414,16.7291,19.5328,21.5172,23.0998,24.2035,23.412,25.2037,32.6182,30.4289,13,15,9,28,26,19,27,22,38,25
503.399,0.931584,0.00324595,2,3,0,-502.584,1.90071,0.000200405,14.5105,15.8386,18.3228,20.068,21.453,22.4155,21.7255,23.2854,29.6754,27.7986,17,17,29,25,15,28,19,27,39,25
502.863,0.959615,0.00324595,5,43,0,-502.704,1.90085,0.000193897,14.1522,15.4037,17.7355,19.3675,20.6593,21.5555,20.9132,22.3644,28.2781,26.5459,7,17,13,22,24,22,18,16,23,25
502.954,0.971494,0.00324595,6,99,0,-501.573,1.90065,0.000193348,14.1194,15.3643,17.6831,19.3055,20.5894,21.4799,20.8417,22.2837,28.1572,26.4372,16,9,12,13,19,28,23,17,19,27
503.39,0.998739,0.00324595,2,7,0,-503.011,1.90066,0.000211318,15.1345,16.5987,19.355,21.3039,22.857,23.9396,23.1633,24.9204,32.1811,30.0388,13,15,22,18,21,27,23,19,32,26
502.948,0.976977,0.00324595,7,243,0,-501.561,1.90125,0.000208051,14.9536,16.3768,19.051,20.9382,22.4402,23.4863,22.7363,24.4333,31.4277,29.3668,15,11,17,27,18,23,21,28,32,27
503.104,0.997928,0.00324595,5,47,0,-502.833,1.90111,0.000202196,14.6171,15.9674,18.4959,20.2741,21.6862,22.6681,21.9642,23.5558,30.0851,28.166,18,11,24,20,19,28,27,26,31,25
503.643,0.987807,0.00324595,7,151,0,-502.369,1.90021,0.00020981,15.0399,16.4841,19.2003,21.1191,22.6474,23.7123,22.9488,24.6767,31.8084,29.7055,24,7,28,13,29,20,36,18,24,28
503.457,0.985827,0.00324595,2,3,0,-503.452,1.90021,0.000213431,15.2517,16.7427,19.553,21.5424,23.1293,24.236,23.4424,25.239,32.6761,30.4798,13,11,24,28,24,19,23,26,37,37
503.565,0.999952,0.00324595,7,191,0,-503.09,1.9,0.000198982,14.4207,15.7308,18.1792,19.898,21.2611,22.2081,21.5293,23.0637,29.3423,27.4993,15,14,15,22,17,20,23,22,35,35
503.565,0.684563,0.00324595,1,3,0,-501.453,1.9,0.000198982,14.4207,15.7308,18.1792,19.898,21.2611,22.2081,21.5293,23.0637,29.3423,27.4993,20,18,22,11,24,20,19,16,31,31
503.655,0.991399,0.00324595,6,123,0,-503.194,1.9004,0.000203784,14.6965,16.0654,18.6308,20.4367,21.8717,22.8699,22.1543,23.7728,30.4206,28.4653,13,12,12,27,23,21,22,20,28,31
502.814,0.999429,0.00324595,6,123,0,-502.267,1.90136,0.000207461,14.9212,16.3372,18.9968,20.873,22.366,23.4056,22.6603,24.3466,31.2939,29.2474,12,12,22,19,12,27,20,23,31,26
502.541,0.930426,0.00324595,3,15,0,-502.057,1.90141,0.000212707,15.2274,16.7107,19.5053,21.4829,23.0597,24.1593,23.3708,25.1557,32.5397,30.3598,19,21,32,19,17,23,18,31,33,31
502.975,0.997211,0.00324595,6,67,0,-502.274,1.90114,0.000199568,14.4699,15.7884,18.2536,19.9847,21.3579,22.3121,21.6282,23.1744,29.5039,27.6455,9,19,19,22,17,30,32,20,32,30
502.76,0.836038,0.00324595,2,3,0,-501.397,1.90114,0.000214406,15.3236,16.8288,19.6674,21.6781,23.2825,24.4018,23.5991,25.4164,32.9445,30.7205,14,23,20,18,26,27,22,22,27,27
503.078,1,0.00324595,2,3,0,-502.794,1.90115,0.000203089,14.6682,16.0295,18.5799,20.3744,21.8,22.7915,22.0807,23.6881,30.2868,28.3465,8,14,20,19,15,23,21,22,31,32
