# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:50:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/cy5gjyf_.json
# init = 2 (Default)
# random
#   seed = 59305
# output
#   file = /home/lab5/output/code4-20230416105019_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00075661
# Diagonal elements of inverse mass matrix:
# 1.44401, 0.336769, 0.208072, 1.27092, 0.544507, 1.22573, 0.275858, 1.0435, 0.171876, 0.191662, 2.91325e-05
508.35,0.948072,0.00075661,3,7,0,-501.979,2.50041,2.50131,2.50088,2.50028,2.5002,2.50101,2.49954,2.49986,2.50017,2.50111,0.000120592,19.419,20.4884,22.3559,23.5998,24.565,25.2428,24.7359,25.7981,29.8605,28.7362,21,12,19,28,26,27,13,26,23,36
505.911,0.803305,0.00075661,3,7,0,-501.205,2.50035,2.49803,2.50119,2.50063,2.49984,2.50124,2.49889,2.49938,2.49987,2.50098,0.000121417,19.48,20.4939,22.456,23.7152,24.6742,25.3747,24.8401,25.9187,30.0351,28.9015,11,22,31,25,26,21,26,14,28,31
506.852,0.949156,0.00075661,4,31,0,-500.711,2.49995,2.50025,2.50142,2.49998,2.49934,2.49883,2.50004,2.50058,2.50038,2.50043,8.33606e-05,16.81,17.4388,18.5502,19.2379,19.7666,20.1206,19.8848,20.4776,22.6464,22.0403,15,18,22,21,23,18,19,12,25,19
501.957,0.819126,0.00075661,3,7,0,-497.637,2.50086,2.50063,2.50314,2.49909,2.50159,2.50119,2.49974,2.49959,2.49999,2.49978,8.79214e-05,17.1243,17.7909,19.013,19.7072,20.3435,20.7308,20.4189,21.0463,23.4182,22.7516,14,15,19,20,18,17,22,23,30,23
507.794,0.900144,0.00075661,3,7,0,-497.589,2.49808,2.49926,2.50003,2.49941,2.49905,2.49874,2.49958,2.50046,2.49972,2.50032,0.000107616,18.4267,19.3368,20.9266,21.9606,22.7539,23.2893,22.9208,23.8112,27.1027,26.1841,21,24,18,21,24,20,25,25,27,21
498.877,0.764765,0.00075661,3,7,0,-494.641,2.50244,2.50102,2.49892,2.50095,2.49885,2.50168,2.50195,2.49956,2.50155,2.49781,0.000119795,19.3988,20.4124,22.223,23.5129,24.4184,25.1385,24.6798,25.663,29.725,28.4799,18,10,21,28,22,25,21,23,38,26
501.763,1,0.00075661,3,7,0,-497.035,2.50134,2.50085,2.49943,2.50143,2.4989,2.50099,2.50178,2.4996,2.50142,2.4977,0.000123908,19.6876,20.7729,22.6988,24.0604,25.0105,25.7522,25.2793,26.3292,30.6436,29.3213,21,19,12,21,19,19,23,20,35,28
502.47,0.956427,0.00075661,3,7,0,-494.986,2.49911,2.50204,2.49891,2.49882,2.49809,2.49913,2.4991,2.50031,2.50025,2.49784,0.000117592,19.1704,20.2405,21.9781,23.1812,24.0895,24.7434,24.2929,25.3324,29.2041,28.0381,13,22,12,23,26,22,18,17,26,33
502.11,0.597572,0.00075661,4,31,0,-491.236,2.49949,2.49802,2.5009,2.49896,2.50094,2.49826,2.50098,2.50129,2.50042,2.50177,8.88504e-05,17.1623,17.8157,19.0593,19.8053,20.4405,20.7864,20.5561,21.2043,23.5905,22.948,18,15,16,13,24,29,20,12,23,23
504.994,1,0.00075661,4,15,0,-496.87,2.49999,2.50247,2.5003,2.49835,2.49887,2.49968,2.50057,2.49995,2.5012,2.49944,0.00011872,19.2711,20.3476,22.1338,23.314,24.2668,24.9261,24.4905,25.5016,29.4779,28.3092,12,16,21,17,27,27,17,25,28,37
506.362,0.801783,0.00075661,3,15,0,-496.512,2.50066,2.50026,2.50149,2.50067,2.50028,2.49981,2.49947,2.50014,2.5001,2.49736,0.000111219,18.7332,19.6582,21.34,22.4269,23.2641,23.8263,23.4087,24.3432,27.8489,26.7837,23,11,20,21,23,21,24,15,30,24
506.043,0.918435,0.00075661,4,15,0,-502.023,2.5007,2.49992,2.49854,2.49922,2.49939,2.49973,2.50012,2.50056,2.50049,2.50262,0.000107851,18.4918,19.3691,20.9201,21.9848,22.7925,23.3452,22.9648,23.8484,27.1708,26.2881,24,16,20,22,28,17,20,22,27,31
508.863,0.984549,0.00075661,3,7,0,-503.332,2.49933,2.50154,2.50021,2.50106,2.4995,2.50011,2.49977,2.49946,2.50025,2.50085,0.000103588,18.1649,19.0481,20.5107,21.5166,22.2371,22.7612,22.3886,23.1985,26.3172,25.4584,13,26,18,20,28,21,26,30,20,29
504.762,0.941046,0.00075661,3,7,0,-502.724,2.50118,2.49914,2.49797,2.49931,2.50038,2.49978,2.50183,2.5,2.50015,2.49832,0.000116748,19.1475,20.1088,21.8644,23.0854,24.0264,24.6339,24.2388,25.1919,29.0186,27.8838,8,23,17,14,20,28,28,26,29,34
507.173,0.986799,0.00075661,3,7,0,-501.048,2.49851,2.50187,2.49885,2.50042,2.49962,2.49998,2.5006,2.49995,2.50084,2.49971,0.000115226,18.9847,20.0321,21.7168,22.9193,23.7967,24.4136,23.9935,24.9532,28.7119,27.6223,21,14,17,22,21,18,24,33,26,43
510.579,0.978147,0.00075661,3,7,0,-504.256,2.49994,2.49974,2.50072,2.49964,2.49979,2.49994,2.49985,2.49935,2.49919,2.49986,0.000113902,18.9147,19.8762,21.6132,22.7357,23.6182,24.2184,23.7898,24.7336,28.384,27.3678,14,22,27,18,15,31,26,32,24,34
506.236,0.635006,0.00075661,3,7,0,-504.952,2.4975,2.50018,2.49938,2.49884,2.49999,2.50018,2.50035,2.50015,2.49883,2.49915,0.000100968,17.949,18.8091,20.2256,21.1628,21.9116,22.4059,22.0593,22.8391,25.7728,24.9463,19,25,20,26,17,21,15,27,22,28
504.8,0.887368,0.00075661,2,7,0,-499.59,2.4973,2.50099,2.49941,2.49847,2.49951,2.49919,2.50057,2.50066,2.49914,2.49951,0.00010717,18.3806,19.3331,20.8667,21.8863,22.7052,23.2369,22.8833,23.75,26.9972,26.0799,13,25,23,19,29,25,30,19,29,30
506.299,0.766316,0.00075661,3,7,0,-496.53,2.50044,2.49893,2.49903,2.50193,2.50096,2.50147,2.49933,2.49936,2.50073,2.5003,0.000111124,18.7223,19.6243,21.2776,22.4436,23.267,23.8524,23.3923,24.31,27.8468,26.8445,13,17,15,14,23,23,29,35,33,26
507.364,0.963816,0.00075661,3,7,0,-501.061,2.50029,2.5004,2.5,2.50042,2.49885,2.50172,2.49912,2.49876,2.4997,2.49961,9.58356e-05,17.6459,18.4026,19.7227,20.6084,21.2433,21.7562,21.3777,22.0904,24.8299,24.0638,14,15,20,24,16,27,24,17,26,22
504.507,0.990111,0.00075661,3,7,0,-501.071,2.50027,2.4993,2.49976,2.50113,2.5012,2.50069,2.5004,2.50045,2.49905,2.49881,0.000137901,20.759,22.027,24.361,25.9706,27.1929,28.0123,27.4084,28.749,33.922,32.4231,27,27,24,24,23,24,17,44,42,29
508.511,0.882419,0.00075661,3,7,0,-500.556,2.49958,2.50019,2.5003,2.50005,2.49906,2.49891,2.49914,2.49945,2.49911,2.50022,0.000123694,19.637,20.7402,22.6944,23.9992,24.9836,25.6658,25.181,26.2903,30.5245,29.3507,21,18,19,21,23,28,24,23,31,36
507.503,0.789347,0.00075661,4,15,0,-502.684,2.50006,2.49839,2.49994,2.4996,2.4991,2.50124,2.49897,2.50018,2.5006,2.50032,9.45763e-05,17.5563,18.2665,19.5969,20.4499,21.0936,21.5811,21.2169,21.9492,24.6206,23.8664,16,22,26,17,18,15,12,23,19,33
506.537,0.986654,0.00075661,3,7,0,-503.988,2.4995,2.49813,2.50007,2.50033,2.49864,2.50037,2.49894,2.50067,2.5013,2.50093,0.000103965,18.1945,19.0141,20.5468,21.5454,22.2667,22.819,22.4198,23.2811,26.4186,25.529,17,16,17,22,16,25,27,30,43,25
503.536,0.664408,0.00075661,4,15,0,-494.299,2.50052,2.49974,2.50055,2.5005,2.49757,2.50072,2.50133,2.49787,2.49867,2.4994,0.000115927,19.0744,20.05,21.8306,23.0092,23.8447,24.5351,24.1101,25.01,28.7993,27.7516,17,16,18,19,24,28,20,18,27,33
506.119,0.860515,0.00075661,3,7,0,-498.076,2.49866,2.5012,2.50078,2.4998,2.50032,2.4991,2.49949,2.50219,2.49892,2.49984,0.000107898,18.4574,19.3978,20.9719,22.0033,22.8201,23.3372,22.9566,23.8943,27.1378,26.2238,10,16,23,18,19,18,25,30,34,27
506.932,0.867035,0.00075661,4,31,0,-500.448,2.49939,2.49871,2.49928,2.49838,2.49987,2.50132,2.49969,2.50007,2.50009,2.49892,0.000119924,19.3493,20.3765,22.2454,23.4692,24.4616,25.149,24.6428,25.6965,29.7102,28.5376,22,24,27,30,39,26,37,25,28,33
507.084,0.933655,0.00075661,4,15,0,-503.151,2.50129,2.50139,2.5007,2.49955,2.50153,2.50092,2.50036,2.50008,2.50047,2.50051,9.70675e-05,17.7477,18.5187,19.859,20.7299,21.4533,21.9009,21.5598,22.2899,25.0776,24.2974,15,18,16,12,29,17,23,22,31,25
506.645,0.942763,0.00075661,3,15,0,-503.128,2.50158,2.49883,2.49912,2.49976,2.49878,2.49976,2.49934,2.50016,2.50037,2.49965,8.92115e-05,17.2222,17.8578,19.0599,19.8604,20.4391,20.863,20.5659,21.2281,23.6527,22.9581,14,15,23,21,18,18,25,22,29,23
508.875,0.940949,0.00075661,3,7,0,-504.714,2.49811,2.49976,2.49909,2.49968,2.49961,2.5003,2.49946,2.49986,2.50015,2.50042,0.000104156,18.1826,19.0608,20.5464,21.5539,22.3131,22.8437,22.4566,23.2899,26.4259,25.5506,19,21,20,19,24,20,19,19,28,24
503.654,0.652648,0.00075661,3,7,0,-497.313,2.50213,2.49973,2.49911,2.50027,2.50217,2.49949,2.49861,2.50003,2.50157,2.49913,0.000101792,18.0898,18.8673,20.304,21.289,22.0648,22.5019,22.1279,22.9537,26.0023,25.0924,18,25,16,17,22,25,24,24,32,24
500.392,0.8376,0.00075661,3,7,0,-496.885,2.50258,2.50068,2.50045,2.50163,2.49777,2.49889,2.50183,2.49956,2.50112,2.49941,0.000120191,19.4312,20.4401,22.3014,23.5799,24.4483,25.1285,24.7344,25.7261,29.7996,28.6058,15,21,26,22,25,32,24,25,31,28
498.841,0.934731,0.00075661,3,7,0,-491.765,2.49739,2.49803,2.49868,2.49802,2.50158,2.50171,2.49833,2.50038,2.49941,2.49939,0.000109275,18.5323,19.4512,21.0732,22.1303,23.0323,23.5932,23.1163,24.0564,27.4303,26.4698,22,18,17,21,26,23,25,32,25,26
509.494,1,0.00075661,3,7,0,-497.954,2.49962,2.50088,2.49913,2.50023,2.49876,2.50042,2.49998,2.49985,2.50081,2.50037,0.000108145,18.4928,19.4122,20.9634,22.0426,22.8173,23.4028,23.0012,23.8751,27.2392,26.2839,16,17,22,23,33,26,21,32,14,29
508.039,0.877155,0.00075661,4,15,0,-504.608,2.49876,2.50003,2.50059,2.49877,2.49907,2.4993,2.50022,2.50015,2.50002,2.5013,0.000117022,19.1216,20.1505,21.9521,23.1077,24.0332,24.6628,24.2388,25.2387,29.0741,28.0216,21,16,15,24,28,21,19,21,25,24
508.091,0.987361,0.00075661,3,15,0,-505.703,2.50157,2.50013,2.50108,2.50091,2.49997,2.50098,2.49981,2.49984,2.49987,2.50116,0.000102902,18.1575,18.9651,20.4579,21.4327,22.159,22.6868,22.2996,23.1084,26.1732,25.3424,32,16,26,12,23,25,28,24,21,24
504.715,0.745312,0.00075661,3,7,0,-501.83,2.49843,2.50102,2.49986,2.49784,2.50005,2.49894,2.49955,2.4999,2.49946,2.50139,9.25097e-05,17.3883,18.1525,19.3929,20.184,20.8614,21.2649,20.9729,21.6625,24.2178,23.5437,19,18,24,26,22,13,19,19,25,29
507.152,0.977064,0.00075661,4,15,0,-500.956,2.50078,2.49923,2.50175,2.4999,2.49997,2.50059,2.50106,2.50145,2.50067,2.50006,0.000117156,19.1701,20.146,21.9923,23.1508,24.0736,24.7144,24.2784,25.2925,29.1219,28.0134,16,20,29,22,26,29,24,26,35,34
504.459,0.96677,0.00075661,3,7,0,-501.335,2.49905,2.49799,2.50206,2.49946,2.499,2.49972,2.5008,2.50069,2.5016,2.4998,0.000107247,18.4183,19.2816,20.9302,21.9174,22.7039,23.2603,22.8989,23.7619,27.0794,26.1018,19,15,19,19,18,23,19,22,25,26
504.734,0.960445,0.00075661,2,3,0,-502.252,2.4993,2.49764,2.50165,2.50022,2.49909,2.50065,2.50032,2.49996,2.50183,2.49955,0.000108336,18.5006,19.3652,21.0363,22.0655,22.8501,23.4353,23.0348,23.9061,27.3057,26.298,17,20,29,24,13,23,16,26,23,28
504.779,0.611143,0.00075661,4,23,0,-494.404,2.50089,2.50207,2.50193,2.50108,2.49928,2.49971,2.50006,2.50001,2.50159,2.4992,0.000106812,18.4213,19.3243,20.8816,21.9006,22.6529,23.1989,22.8235,23.6816,26.9914,26.0055,23,21,22,23,15,27,20,25,30,25
500.825,0.932243,0.00075661,3,7,0,-495.663,2.50078,2.49761,2.49754,2.49983,2.50036,2.50016,2.50142,2.50075,2.5015,2.49978,0.000129896,20.1372,21.246,23.3483,24.8235,25.9345,26.6775,26.1754,27.3604,32.041,30.6597,17,19,23,21,19,26,22,31,31,31
507.273,0.844121,0.00075661,3,7,0,-495.55,2.50049,2.50131,2.50095,2.50008,2.49953,2.49828,2.50083,2.50101,2.49903,2.49978,0.000106589,18.398,19.2912,20.8378,21.852,22.6291,23.1346,22.8113,23.6725,26.8779,25.9794,25,17,26,24,19,15,40,26,30,34
504.865,0.889012,0.00075661,3,7,0,-501.863,2.50014,2.50057,2.50108,2.50017,2.49887,2.50117,2.50084,2.49776,2.49813,2.50027,0.000103816,18.1957,19.0483,20.552,21.5243,22.2526,22.8166,22.4426,23.192,26.3059,25.4849,25,25,21,27,19,26,11,28,35,26
506.335,0.819395,0.00075661,4,15,0,-497.619,2.50065,2.49945,2.49762,2.50012,2.5014,2.50073,2.49928,2.49917,2.49989,2.5,0.000115705,19.0605,20.0249,21.7426,22.9726,23.9054,24.5025,24.0293,25.0081,28.7869,27.7245,16,11,17,27,28,25,25,27,32,31
507.02,0.984573,0.00075661,3,7,0,-502.031,2.49941,2.49938,2.49886,2.50076,2.49836,2.50033,2.50157,2.50077,2.49915,2.50012,0.000109681,18.599,19.5116,21.1201,22.2407,23.0127,23.6186,23.2468,24.1265,27.5062,26.5656,15,17,30,12,31,24,25,30,26,33
508.738,0.992217,0.00075661,3,15,0,-503.791,2.49934,2.5007,2.50077,2.50083,2.50093,2.5004,2.49897,2.50074,2.50051,2.49978,9.93193e-05,17.8681,18.6859,20.0865,21.0142,21.7229,22.1889,21.8166,22.6192,25.5018,24.6714,21,20,25,22,22,24,22,27,24,28
507.93,0.976288,0.00075661,3,7,0,-505.324,2.50005,2.49953,2.50089,2.4994,2.49865,2.49946,2.50025,2.49923,2.49931,2.50121,0.000120897,19.4349,20.4787,22.3906,23.6187,24.5705,25.2501,24.7978,25.8309,29.9023,28.8014,19,22,27,28,24,22,23,28,37,34
505.58,0.559629,0.00075661,4,15,0,-496.206,2.49773,2.4996,2.49913,2.50005,2.49995,2.49856,2.49941,2.50098,2.49984,2.49867,9.8534e-05,17.7853,18.6025,19.9745,20.9077,21.603,22.0434,21.7257,22.5145,25.3364,24.5067,21,23,18,23,17,21,20,30,27,15
507.489,0.972814,0.00075661,4,15,0,-501.464,2.49948,2.49945,2.49984,2.49922,2.49989,2.5004,2.49994,2.49881,2.50064,2.50219,0.000113352,18.8659,19.8234,21.5347,22.6576,23.545,24.1492,23.7151,24.6356,28.3092,27.3244,16,20,27,19,18,17,20,23,35,28
509.094,0.758586,0.00075661,3,7,0,-498.756,2.49883,2.50053,2.49986,2.4992,2.50104,2.50038,2.50093,2.49999,2.50053,2.49939,0.000108596,18.5105,19.4431,21.0262,22.0742,22.9293,23.4656,23.0841,23.9455,27.3227,26.3424,24,16,17,25,26,17,32,21,30,21
505.87,0.946239,0.00075661,3,7,0,-504.556,2.50153,2.49973,2.49918,2.50053,2.49815,2.49961,2.49894,2.50001,2.49976,2.50041,8.84081e-05,17.168,17.8122,18.9842,19.7883,20.3312,20.7589,20.4608,21.119,23.4976,22.8449,11,18,19,33,20,25,21,24,31,25
507.498,0.998807,0.00075661,4,15,0,-502.725,2.49861,2.49927,2.50085,2.50027,2.49929,2.49978,2.50115,2.50033,2.49985,2.49935,0.00012571,19.7713,20.9016,22.938,24.2711,25.284,26.0024,25.5323,26.6456,31.008,29.7481,24,14,25,28,23,26,30,19,31,34
503.657,0.895435,0.00075661,3,7,0,-500.279,2.50106,2.4969,2.4994,2.50018,2.49892,2.50043,2.50108,2.49936,2.49973,2.49982,0.000122751,19.5946,20.5885,22.5666,23.8786,24.8436,25.5589,25.0904,26.134,30.3301,29.1429,22,23,30,25,42,20,29,23,30,24
506.479,0.879507,0.00075661,3,15,0,-497.172,2.50029,2.50068,2.50143,2.50017,2.50021,2.49955,2.5004,2.50065,2.4982,2.50119,0.000124478,19.7105,20.8205,22.8097,24.1055,25.1267,25.8038,25.3291,26.4505,30.675,29.5433,16,27,21,23,30,28,24,28,34,28
505.417,0.728491,0.00075661,3,7,0,-500.492,2.50101,2.50094,2.50032,2.49876,2.49836,2.50173,2.49982,2.50064,2.49878,2.50072,0.00011795,19.2335,20.2495,22.0487,23.2254,24.1462,24.8616,24.3618,25.3973,29.2389,28.1906,29,22,29,29,26,27,24,15,27,28
505.785,0.919843,0.00075661,3,15,0,-499.191,2.49775,2.50009,2.49941,2.49972,2.50118,2.49905,2.49849,2.50008,2.50072,2.50077,0.000115409,18.9835,20.0123,21.7491,22.9261,23.8591,24.4177,23.9686,24.9849,28.7475,27.6875,21,23,22,13,19,28,23,19,23,19
507.237,0.978885,0.00075661,3,15,0,-502.823,2.50156,2.49975,2.50062,2.50049,2.49867,2.50155,2.5001,2.4999,2.50095,2.50018,0.000116071,19.1049,20.0625,21.848,23.0272,23.891,24.5769,24.1008,25.0835,28.896,27.8015,20,17,19,26,26,24,24,22,27,32
