# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000724231
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07533e-05
-6.95671e+06,1,0.000724231,1,1,0,6.95674e+06,-1.83017,0.000776848,3.22455,4.52798,7.96491,11.3332,14.6791,17.4015,15.4154,20.1692,51.6321,40.0805,5,8,7,8,16,24,13,21,51,41
-6.95317e+06,0.992556,0.000724231,5,31,0,6.95671e+06,-1.82922,0.000788583,3.37729,4.76684,8.45691,12.0975,15.7304,18.6958,16.5317,21.7177,56.3912,43.6078,3,5,12,15,16,24,15,22,54,41
-6.95314e+06,0.996219,0.000724231,1,1,0,6.95317e+06,-1.82921,0.000789341,3.38722,4.78244,8.48926,12.148,15.8,18.7816,16.6056,21.8206,56.7103,43.8437,5,5,7,12,16,14,12,16,55,42
-6.95311e+06,0.995721,0.000724231,2,3,0,6.95314e+06,-1.82921,0.00079104,3.40956,4.81756,8.56218,12.2618,15.9571,18.9754,16.7725,22.0528,57.4318,44.3769,1,6,10,14,24,22,24,25,50,45
-6.95296e+06,0.977712,0.000724231,2,3,0,6.95311e+06,-1.82917,0.000795844,3.47356,4.91831,8.77181,12.5894,16.4097,19.5341,17.2534,22.7229,59.5219,45.9199,5,11,8,13,11,22,26,16,65,40
-6.95283e+06,0.989387,0.000724231,2,3,0,6.95296e+06,-1.82913,0.000779313,3.25878,4.58098,8.07259,11.4993,14.9064,17.6805,15.6566,20.5022,52.6413,40.8311,8,7,9,11,19,16,13,24,58,38
-6.95281e+06,0.976881,0.000724231,1,1,0,6.95284e+06,-1.82913,0.000769444,3.1369,4.39068,7.68192,10.8938,14.0753,16.6587,14.7744,19.2811,48.9183,38.0657,4,3,14,11,12,15,15,16,43,35
-6.95278e+06,0.999339,0.000724231,3,7,0,6.95281e+06,-1.82912,0.000772596,3.17536,4.45063,7.80468,11.0838,14.3358,16.9786,15.0508,19.6632,50.0784,38.9284,3,5,7,10,10,15,20,25,51,41
-6.95264e+06,0.999977,0.000724231,3,7,0,6.95278e+06,-1.82908,0.00077382,3.19053,4.47428,7.85314,11.1588,14.4387,17.1051,15.16,19.8143,50.5379,39.2699,1,7,5,15,11,17,18,23,35,43
-6.9525e+06,0.994766,0.000724231,2,3,0,6.95264e+06,-1.82904,0.000784996,3.33142,4.69473,8.30729,11.8642,15.4086,18.2989,16.1898,21.2422,54.9176,42.5179,5,8,11,9,13,16,13,25,53,58
