# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000690729
# Diagonal elements of inverse mass matrix:
# 0.121631, 1.52322, 0.0687716, 0.984585, 0.539419, 0.15416, 1.74767, 1.36247, 0.437356, 1.42726, 4.26534e-05
508.213,0.898792,0.000690729,3,15,0,-504.659,2.49898,2.50039,2.49967,2.4996,2.49958,2.49927,2.49854,2.49984,2.50144,2.4998,0.000114808,18.9629,19.9668,21.6892,22.848,23.738,24.3349,23.8854,24.8856,28.6401,27.5428,15,28,27,22,35,27,20,20,23,24
506.213,0.983529,0.000690729,4,15,0,-503.917,2.49935,2.50085,2.49805,2.50024,2.50048,2.50069,2.49897,2.49919,2.49878,2.49892,9.88849e-05,17.8382,18.6538,19.9882,20.952,21.6585,22.1373,21.761,22.5233,25.3758,24.5742,21,18,23,20,29,13,24,29,30,26
506.989,0.972834,0.000690729,4,15,0,-501.464,2.49978,2.50082,2.50152,2.50158,2.49927,2.50017,2.49979,2.49934,2.49901,2.49898,9.86562e-05,17.8302,18.635,20.0346,20.9538,21.6035,22.0953,21.7496,22.4946,25.3384,24.5356,19,20,17,30,24,23,17,21,23,27
504.203,0.842519,0.000690729,3,7,0,-499.814,2.49987,2.49878,2.50166,2.50107,2.49819,2.50085,2.49897,2.50102,2.49884,2.49882,0.000117412,19.1717,20.1591,22.0185,23.2106,24.0665,24.7592,24.2642,25.3221,29.124,28.0299,19,17,24,31,18,30,26,35,35,26
507.106,1,0.000690729,4,31,0,-501.824,2.4992,2.5004,2.49878,2.50107,2.5007,2.4996,2.50049,2.50083,2.50084,2.4987,9.41901e-05,17.5151,18.2729,19.5363,20.4366,21.0799,21.4957,21.201,21.9106,24.556,23.7626,14,21,19,21,19,26,26,26,23,26
507.072,0.950454,0.000690729,4,31,0,-503.597,2.50109,2.50145,2.50091,2.50005,2.50076,2.50049,2.49941,2.49915,2.50089,2.50124,9.8487e-05,17.8419,18.6332,20.0055,20.9023,21.6145,22.0797,21.7197,22.4667,25.3541,24.5616,18,17,17,18,22,13,21,26,20,22
502.963,0.892444,0.000690729,3,15,0,-500.859,2.50036,2.49832,2.50074,2.49977,2.49826,2.50049,2.50058,2.50178,2.49957,2.49865,8.34759e-05,16.8243,17.4138,18.5483,19.246,19.7586,20.168,19.909,20.517,22.6475,22.0192,16,11,18,24,26,17,27,22,28,13
507.118,1,0.000690729,3,15,0,-499.204,2.49917,2.49987,2.50107,2.50061,2.50119,2.49893,2.49986,2.49827,2.49982,2.5009,0.000101403,18.0094,18.8385,20.3042,21.2509,21.9936,22.4367,22.1051,22.8581,25.882,25.0676,22,18,25,18,17,20,22,26,30,17
503.174,0.986511,0.000690729,4,15,0,-498.557,2.50242,2.49962,2.49741,2.50045,2.50025,2.50053,2.50014,2.50137,2.49946,2.50034,0.000120721,19.4679,20.4651,22.293,23.6208,24.5848,25.2505,24.7697,25.8579,29.8678,28.7405,18,17,19,24,20,28,23,24,34,26
503.071,0.902719,0.000690729,3,7,0,-498.201,2.50195,2.50026,2.49777,2.50199,2.50091,2.50099,2.49971,2.50001,2.50092,2.5012,0.0001122,18.8286,19.7415,21.3659,22.5775,23.4119,23.996,23.5496,24.4892,28.0755,27.0748,28,21,26,21,21,24,28,19,23,27
