lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00326443
# Diagonal elements of inverse mass matrix:
# 1.09543e-05, 1.08571e-05, 1.08561e-05, 1.09617e-05, 1.09387e-05, 1.08919e-05, 1.07597e-05, 1.09618e-05, 1.1088e-05, 1.09197e-05, 9.90113e-06
508.44,0.993307,0.00326443,9,511,0,-504.606,2.49945,2.49957,2.50093,2.49992,2.49972,2.49949,2.50033,2.50145,2.49923,2.50113,0.000116951,19.1296,20.135,21.9516,23.1253,24.0389,24.6568,24.2314,25.2603,29.0359,28.0027,13,34,16,22,21,36,16,18,25,29
506.064,0.79678,0.00326443,8,255,0,-501.821,2.50181,2.50208,2.50009,2.49974,2.50033,2.50066,2.49994,2.49931,2.50071,2.49984,9.29638e-05,17.4778,18.2073,19.4417,20.2727,20.9225,21.3597,21.0372,21.7111,24.3301,23.5831,17,22,16,13,19,22,24,19,20,30
509.446,0.963278,0.00326443,8,255,0,-502.952,2.50088,2.50059,2.50054,2.50011,2.49901,2.4997,2.49908,2.4998,2.50033,2.50083,0.000103567,18.1915,19.0284,20.5153,21.4937,22.2235,22.7489,22.3705,23.2035,26.3152,25.4543,19,16,16,27,20,21,19,16,22,31
508.355,0.92841,0.00326443,9,511,0,-504.65,2.49928,2.50009,2.49957,2.50039,2.50071,2.50047,2.50019,2.49966,2.49978,2.49826,0.000122675,19.5538,20.6475,22.5617,23.8736,24.8768,25.5481,25.0569,26.1295,30.3143,29.0818,23,28,31,29,23,33,23,39,31,24
506.916,0.995899,0.00326443,8,511,0,-502.662,2.49876,2.50014,2.50123,2.5009,2.49927,2.49971,2.49954,2.50154,2.49877,2.50089,0.000111562,18.7225,19.6849,21.3714,22.4743,23.287,23.8733,23.4575,24.4295,27.8827,26.9439,13,20,17,28,22,24,28,23,26,18
504.471,0.994568,0.00326443,8,255,0,-500.604,2.49718,2.5002,2.5013,2.50101,2.50044,2.50016,2.50095,2.50031,2.50035,2.50144,0.000103266,18.1033,18.9962,20.4998,21.4776,22.2164,22.7183,22.3728,23.1718,26.2568,25.4153,19,20,23,20,21,19,20,18,28,14
505.455,0.999976,0.00326443,8,255,0,-501.212,2.49748,2.50053,2.50155,2.50086,2.50017,2.49982,2.50049,2.49936,2.50001,2.50136,0.000105742,18.2828,19.2058,20.7617,21.7678,22.5324,23.0522,22.6902,23.5092,26.7354,25.8642,22,20,20,21,17,22,19,23,22,27
508,0.934577,0.00326443,8,255,0,-501.43,2.50035,2.50053,2.50046,2.50055,2.5008,2.49942,2.50027,2.50092,2.49838,2.50077,9.58893e-05,17.6507,18.4092,19.737,20.6171,21.2913,21.7131,21.4089,22.1457,24.8069,24.101,17,22,17,14,20,12,18,25,24,25
509.441,0.999429,0.00326443,8,255,0,-506.364,2.50017,2.50049,2.50014,2.50096,2.49932,2.49895,2.49954,2.49961,2.49942,2.50008,9.76801e-05,17.77,18.5509,19.909,20.8289,21.4823,21.9387,21.6198,22.3645,25.1656,24.3928,21,20,19,26,17,21,26,19,26,20
505.735,0.857833,0.00326443,8,255,0,-500.073,2.50025,2.49937,2.50097,2.50073,2.49913,2.50175,2.50036,2.50038,2.49886,2.50165,9.34838e-05,17.4856,18.1988,19.5097,20.3507,20.9607,21.4502,21.1103,21.8047,24.379,23.7134,29,13,17,29,27,18,19,21,27,24
503.652,0.924972,0.00326443,9,511,0,-497.776,2.49818,2.49971,2.49959,2.49869,2.49989,2.49803,2.49873,2.49864,2.5002,2.49927,0.000126181,19.7988,20.9531,22.9634,24.2955,25.3684,26.0307,25.5412,26.6788,31.1277,29.8455,26,17,27,15,22,26,17,24,33,28
508.875,0.992677,0.00326443,8,511,0,-501.465,2.50016,2.5001,2.4998,2.50076,2.5008,2.49857,2.499,2.49895,2.4999,2.50032,0.000108728,18.5445,19.4458,21.039,22.1248,22.9414,23.442,23.0576,23.9403,27.3325,26.3916,13,19,16,19,24,23,27,12,22,25
506.14,0.952505,0.00326443,8,255,0,-503.005,2.4998,2.50035,2.50023,2.50087,2.50123,2.49776,2.49964,2.49842,2.50014,2.49963,9.8884e-05,17.8463,18.6445,20.0317,20.965,21.6745,22.0724,21.7754,22.5058,25.4102,24.5915,24,15,26,27,17,15,25,15,21,31
508.304,0.995022,0.00326443,8,255,0,-503.603,2.50091,2.50079,2.5009,2.49971,2.50133,2.49872,2.50014,2.49972,2.49987,2.49917,0.000112092,18.8013,19.7427,21.4214,22.5128,23.407,23.9262,23.5447,24.4655,28.0236,26.999,16,21,29,24,20,26,34,25,20,32
508.495,0.856062,0.00326443,8,255,0,-502.084,2.49954,2.49957,2.49979,2.49916,2.50065,2.50035,2.49921,2.49956,2.50097,2.49957,0.000125597,19.7809,20.8976,22.9006,24.2292,25.3016,25.9994,25.4659,26.6062,31.0169,29.7309,21,29,22,20,37,28,22,34,30,26
506.231,0.942855,0.00326443,8,255,0,-501.858,2.49912,2.50062,2.49987,2.50105,2.50041,2.50059,2.49861,2.50186,2.50001,2.49915,0.000123121,19.5845,20.698,22.6191,23.9478,24.9341,25.6202,25.0829,26.2597,30.422,29.2,16,18,23,30,24,30,27,25,25,30
505.39,0.999999,0.00326443,8,255,0,-500.76,2.49874,2.50053,2.50009,2.50103,2.49988,2.50096,2.49814,2.50106,2.50074,2.49833,9.93744e-05,17.8611,18.6872,20.0784,21.0248,21.7072,22.2087,21.8055,22.6344,25.518,24.6453,6,22,22,14,25,24,18,17,24,17
