# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:32:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/hjl2_xu3.json
# init = 2 (Default)
# random
#   seed = 86277
# output
#   file = /home/lab5/output/code4-20230416113233_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000523242
# Diagonal elements of inverse mass matrix:
# 0.523398, 0.523612, 0.511311, 0.186701, 0.267271, 0.341536, 0.0930743, 0.080885, 3.60513, 1.41546, 1.78289e-05
505.018,0.850892,0.000523242,4,31,0,-501.53,2.50264,2.49899,2.50057,2.50024,2.50071,2.49993,2.49931,2.50105,2.49838,2.50043,0.000109383,18.6378,19.479,21.1245,22.1929,23.0269,23.5668,23.1538,24.0887,27.4241,26.5178,18,21,22,22,13,36,31,27,31,29
507.612,0.999164,0.000523242,3,15,0,-502.058,2.49891,2.50009,2.50081,2.49988,2.50202,2.50015,2.49954,2.50107,2.5003,2.49924,0.000109398,18.5694,19.5016,21.1312,22.1867,23.0591,23.5741,23.1609,24.0914,27.4799,26.4889,13,28,20,24,17,19,31,13,30,28
505.545,0.652933,0.000523242,4,15,0,-500.558,2.50003,2.50188,2.50059,2.49983,2.50208,2.50007,2.50001,2.50102,2.49973,2.49832,0.000110846,18.6945,19.6586,21.2809,22.3622,23.2553,23.779,23.3701,24.3083,27.7613,26.7385,15,15,31,17,22,18,21,29,26,28
505.006,0.997134,0.000523242,4,31,0,-499.41,2.50031,2.49912,2.4979,2.49984,2.49774,2.49996,2.50117,2.49906,2.49971,2.50004,0.000116103,19.0833,20.0528,21.7922,23.0162,23.8733,24.5425,24.1311,25.0674,28.8672,27.8041,19,22,22,16,30,29,18,20,45,26
504.252,0.981579,0.000523242,4,15,0,-500.286,2.49962,2.50244,2.49924,2.49997,2.50235,2.50027,2.49913,2.50091,2.49974,2.49929,0.000101932,18.0544,18.9301,20.321,21.2991,22.0869,22.5385,22.1578,22.9941,25.9821,25.1216,20,24,21,16,25,23,16,28,35,17
503.956,1,0.000523242,4,15,0,-499.951,2.50034,2.49823,2.4997,2.50036,2.49763,2.49971,2.49771,2.49987,2.50013,2.49928,0.000115272,19.0228,19.9634,21.7404,22.9235,23.7557,24.4137,23.9308,24.9582,28.7015,27.6193,19,22,30,20,25,31,25,28,33,31
503.904,0.922184,0.000523242,4,15,0,-497.075,2.4995,2.50047,2.49918,2.49884,2.50109,2.49797,2.49788,2.49906,2.50107,2.50069,0.000116576,19.1028,20.1208,21.872,23.0529,24.0196,24.5638,24.119,25.1413,29.0083,27.9161,12,22,24,25,25,21,23,23,35,24
507.752,0.992996,0.000523242,4,15,0,-500.434,2.50053,2.49943,2.50069,2.49977,2.50013,2.50119,2.49829,2.50028,2.49956,2.50139,0.00010557,18.3264,19.1706,20.726,21.7236,22.5088,23.0598,22.6175,23.5056,26.6893,25.8336,13,19,23,21,18,23,21,22,24,29
507.512,0.99749,0.000523242,4,15,0,-504.777,2.49944,2.50061,2.49943,2.50173,2.50096,2.49891,2.49906,2.49996,2.50007,2.50108,0.000104864,18.2568,19.1351,20.6267,21.6822,22.4353,22.9096,22.5413,23.3951,26.5631,25.6964,21,20,21,17,14,24,26,23,29,27
504.93,0.965659,0.000523242,4,15,0,-501.514,2.50085,2.49935,2.50055,2.49879,2.49816,2.50101,2.49948,2.50198,2.49992,2.50016,0.000122859,19.5986,20.6485,22.6048,23.8594,24.8403,25.5906,25.0662,26.2203,30.3602,29.1752,22,15,24,31,26,32,28,24,32,32
508.049,0.786138,0.000523242,4,15,0,-498.596,2.49945,2.50061,2.49896,2.50078,2.50144,2.49932,2.50053,2.49904,2.49994,2.50101,0.000106424,18.3671,19.2639,20.7792,21.8476,22.6508,23.1358,22.7823,23.6017,26.8695,25.981,13,24,20,17,16,34,16,22,27,25
508.908,0.97166,0.000523242,4,15,0,-505.343,2.50051,2.50001,2.49983,2.50039,2.50136,2.49895,2.50066,2.49919,2.49933,2.50073,0.000109056,18.5746,19.4716,21.0743,22.1565,22.9981,23.4972,23.1406,23.995,27.3837,26.4641,13,28,21,26,22,18,22,22,14,22
506.076,0.975732,0.000523242,4,15,0,-501.572,2.49949,2.49939,2.49934,2.49831,2.49999,2.49946,2.50169,2.4984,2.50094,2.4993,0.000111368,18.722,19.6538,21.3102,22.3924,23.2775,23.8395,23.4812,24.3235,27.9031,26.8642,14,26,22,33,16,21,24,31,37,29
506.148,0.948997,0.000523242,4,31,0,-500.614,2.49889,2.49941,2.49967,2.49825,2.49964,2.49924,2.50186,2.49862,2.49981,2.50017,0.000110643,18.6585,19.593,21.2396,22.3022,23.1712,23.7302,23.3853,24.2193,27.7216,26.7494,24,12,22,22,23,27,18,22,32,24
505.795,0.583647,0.000523242,4,15,0,-500.033,2.50104,2.50073,2.50033,2.501,2.49975,2.50085,2.50095,2.49963,2.49736,2.50035,0.000111927,18.7917,19.7275,21.3914,22.5216,23.3476,23.9531,23.541,24.4382,27.9189,26.9992,17,23,17,23,31,23,24,25,33,33
507.292,0.917128,0.000523242,4,31,0,-498.983,2.49881,2.49941,2.4997,2.49997,2.49993,2.49948,2.49811,2.49868,2.49957,2.49928,0.000100573,17.9451,18.7628,20.1919,21.1409,21.8601,22.3368,21.959,22.7496,25.7164,24.8798,19,19,26,24,17,22,24,23,33,28
