# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.0032902
# Diagonal elements of inverse mass matrix:
# 1.10386e-05, 9.90109e-06
503.681,0.840947,0.0032902,6,119,0,-499.765,1.90035,0.000204514,14.7373,16.1151,18.6984,20.5177,21.9637,22.9697,22.2485,23.8799,30.5846,28.612,14,17,16,22,8,26,23,15,30,26
503.404,0.930692,0.0032902,1,3,0,-503.265,1.90035,0.000213661,15.2674,16.7616,19.5782,21.5725,23.1633,24.2729,23.4772,25.2786,32.7364,30.5338,12,15,24,17,17,31,24,40,34,38
502.434,0.745326,0.0032902,2,3,0,-501.232,1.90036,0.000222568,15.802,17.4162,20.4751,22.6521,24.3948,25.6133,24.7392,26.7196,34.9775,32.5295,12,12,16,25,27,26,32,36,39,38
500.411,0.602238,0.0032902,1,1,0,-500.322,1.90036,0.000232868,16.4435,18.205,21.5633,23.9678,25.9004,27.2555,26.2832,28.4885,37.7608,35.0003,11,21,20,19,30,30,21,23,27,39
502.403,1,0.0032902,1,1,0,-500.861,1.90036,0.000222769,15.8144,17.4314,20.4959,22.6773,24.4235,25.6446,24.7687,26.7533,35.0301,32.5763,17,24,23,23,28,23,30,24,43,21
502.128,0.932064,0.0032902,5,55,0,-501.039,1.90024,0.000185432,13.6886,14.8441,16.9863,18.4783,19.6552,20.4699,19.8862,21.2039,26.5375,24.9808,15,15,25,18,17,17,20,18,30,24
503.509,0.99744,0.0032902,6,75,0,-501.873,1.90041,0.000211514,15.1422,16.6086,19.3693,21.3216,22.8775,23.9621,23.1844,24.9447,32.2203,30.0734,20,22,16,19,21,29,29,26,39,26
503.381,0.904225,0.0032902,2,7,0,-502.785,1.90041,0.000197135,14.3241,15.6129,18.0187,19.7058,21.0428,21.9711,21.3058,22.8097,28.9543,27.1521,12,13,21,25,24,22,22,26,23,24
503.298,0.989028,0.0032902,7,163,0,-502.804,1.89974,0.000195561,14.2277,15.4971,17.8647,19.5233,20.837,21.7488,21.0954,22.5722,28.5983,26.832,14,15,20,16,18,14,16,30,33,25
503.369,0.997313,0.0032902,2,3,0,-503.199,1.89974,0.000214463,15.3055,16.8093,19.6455,21.6546,23.2576,24.376,23.574,25.3898,32.9124,30.6899,11,13,16,23,24,33,23,25,33,33
502.857,0.967318,0.0032902,7,203,0,-502.519,1.9008,0.000217067,15.4766,17.0166,19.9254,21.989,23.6373,24.7881,23.9628,25.8318,33.591,31.2961,15,15,22,19,27,27,24,28,44,27
502.133,0.914796,0.0032902,7,155,0,-501.278,1.89997,0.000185351,13.6807,14.8349,16.9749,18.4651,19.6407,20.4544,19.8714,21.1876,26.5145,24.9598,14,15,18,16,10,26,23,19,21,19
503.734,0.953385,0.0032902,2,3,0,-501.614,1.89998,0.000206499,14.8453,16.2472,18.879,20.7345,22.2104,23.2379,22.5013,24.1678,31.0278,29.0078,14,16,18,26,17,22,25,19,37,30
503.734,0.715774,0.0032902,2,3,0,-501.303,1.89998,0.000206499,14.8453,16.2472,18.879,20.7345,22.2104,23.2379,22.5013,24.1678,31.0278,29.0078,17,16,20,23,15,35,25,27,31,28
503.64,0.99134,0.0032902,7,175,0,-503.611,1.90019,0.000200944,14.5332,15.8671,18.3629,20.1169,21.5091,22.4768,21.7831,23.3515,29.779,27.8908,18,15,19,14,22,24,29,25,28,31
502.065,0.853108,0.0032902,2,3,0,-501.99,1.90018,0.000225182,15.9596,17.61,20.7423,22.975,24.7641,26.0159,25.1179,27.1532,35.6577,33.1338,19,21,18,21,19,24,22,33,33,38
503.202,0.855197,0.0032902,2,3,0,-500.387,1.9002,0.000216616,15.4403,16.9734,19.8683,21.9215,23.5612,24.7058,23.8849,25.7439,33.4584,31.1771,21,17,15,15,29,24,26,29,38,28
501.127,0.821357,0.0032902,2,3,0,-500.987,1.9002,0.000229983,16.2587,17.9777,21.2494,23.5881,25.4655,26.781,25.8372,27.9772,36.9538,34.2845,17,15,17,23,32,20,20,23,34,38
501.035,0.999961,0.0032902,6,111,0,-499.724,1.89943,0.000180142,13.4009,14.4984,16.5271,17.9356,19.0445,19.8108,19.2618,20.5006,25.4936,24.0396,11,7,20,19,28,16,14,16,25,29
500.768,0.968407,0.0032902,2,3,0,-500.643,1.89944,0.000231056,16.3138,18.0471,21.3481,23.7092,25.6054,26.9344,25.9809,28.1432,37.2214,34.5207,14,18,19,17,17,25,23,29,39,32
502.779,1,0.0032902,1,1,0,-501.252,1.89944,0.000219327,15.5912,17.1595,20.1258,22.233,23.9176,25.0944,24.2503,26.1623,34.1139,31.7599,19,17,15,23,17,25,27,27,36,45
