# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/lzzwn10c.json
# init = 2 (Default)
# random
#   seed = 88327
# output
#   file = /home/lab5/output/code4-20230416113046_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 1.08146e-08
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.05577e-05
-9.44675e+07,1,1.08146e-08,5,31,0,9.45673e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210875,713.009,6049.72,6452.55,42685,77405.8,965026,679413,557994,4.60516e+07,1.81342e+07,710,6032,6471,42824,77469,966743,678832,557720,4.60617e+07,1.81317e+07
-9.44668e+07,1,1.08146e-08,2,3,0,9.44675e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210875,713.005,6049.68,6452.5,42684.7,77405.2,965017,679408,557989,4.60511e+07,1.8134e+07,736,6087,6275,42587,77439,962411,678848,557203,4.60454e+07,1.81369e+07
-9.44641e+07,1,1.08146e-08,2,3,0,9.44668e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210874,712.99,6049.54,6452.32,42683.4,77402.7,964985,679385,557970,4.60492e+07,1.81333e+07,746,6106,6440,42963,77632,965509,680738,557299,4.60537e+07,1.81356e+07
-9.44634e+07,1,1.08146e-08,3,7,0,9.44641e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210874,712.986,6049.5,6452.28,42683.1,77402.1,964977,679380,557965,4.60488e+07,1.81331e+07,694,6155,6351,42624,77673,964003,678739,557283,4.6052e+07,1.81417e+07
-9.44628e+07,1,1.08146e-08,1,1,0,9.44635e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210874,712.982,6049.47,6452.23,42682.8,77401.4,964969,679375,557960,4.60483e+07,1.81329e+07,686,5983,6461,42779,77000,966274,678711,557768,4.605e+07,1.81381e+07
-9.44621e+07,1,1.08146e-08,1,1,0,9.44628e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210874,712.979,6049.43,6452.19,42682.5,77400.8,964962,679369,557956,4.60479e+07,1.81328e+07,717,5971,6535,42685,77762,966675,680218,557873,4.60628e+07,1.81358e+07
-9.44614e+07,1,1.08146e-08,2,3,0,9.44622e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210874,712.975,6049.39,6452.14,42682.1,77400.2,964953,679364,557951,4.60474e+07,1.81326e+07,762,5988,6450,42909,77222,964795,678876,559145,4.60518e+07,1.81403e+07
-9.44607e+07,1,1.08146e-08,2,3,0,9.44614e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210874,712.971,6049.36,6452.1,42681.8,77399.5,964945,679358,557946,4.60469e+07,1.81324e+07,721,6022,6403,42795,77548,965327,679419,559371,4.60475e+07,1.81344e+07
-9.4458e+07,1,1.08146e-08,2,3,0,9.44607e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210873,712.955,6049.21,6451.91,42680.4,77397,964911,679335,557926,4.60449e+07,1.81317e+07,688,5791,6574,42670,77285,964372,678878,556959,4.60413e+07,1.81304e+07
-9.44552e+07,1,1.08146e-08,2,3,0,9.4458e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210872,712.939,6049.06,6451.72,42679.1,77394.4,964878,679312,557906,4.60429e+07,1.81309e+07,735,6141,6264,42265,77319,964150,678107,556244,4.60607e+07,1.81355e+07
-9.44544e+07,1,1.08146e-08,2,3,0,9.44552e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210872,712.935,6049.02,6451.68,42678.7,77393.7,964869,679306,557901,4.60424e+07,1.81307e+07,754,6016,6476,42501,76768,964054,679311,556978,4.60496e+07,1.81298e+07
-9.44538e+07,1,1.08146e-08,1,1,0,9.44544e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210872,712.931,6048.98,6451.63,42678.4,77393.1,964861,679301,557896,4.6042e+07,1.81305e+07,718,6160,6566,42725,77370,965492,679704,557143,4.60413e+07,1.81321e+07
-9.43179e+07,1,1.08146e-08,5,31,0,9.44538e+07,-1.57661,-0.359858,-1.82846,-0.896455,-1.00346,1.05782,1.03586,0.109352,1.97093,1.72642,0.00210844,712.159,6041.69,6442.54,42612.9,77267,963230,678182,556923,4.59461e+07,1.80944e+07,679,6032,6494,42603,77344,962967,677787,556626,4.59476e+07,1.80968e+07
