# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:26:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/lftp9qwk.json
# init = 2 (Default)
# random
#   seed = 52033
# output
#   file = /home/lab5/output/code2-20230416112658_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00353077
# Diagonal elements of inverse mass matrix:
# 1.10855e-05, 9.90112e-06
503.624,0.998889,0.00353077,7,183,0,-503.297,1.89997,0.000210752,15.091,16.5469,19.2867,21.2232,22.7662,23.8416,23.0705,24.8156,32.024,29.8976,7,17,26,27,18,14,27,19,35,32
503.599,0.986831,0.00353077,6,91,0,-503.439,1.90002,0.000211315,15.1247,16.5879,19.3424,21.2899,22.842,23.924,23.1482,24.904,32.1599,30.0191,12,18,25,22,20,27,14,16,29,36
502.513,0.858701,0.00353077,2,3,0,-502.398,1.90001,0.000222487,15.7916,17.4041,20.4597,22.6343,24.3749,25.5919,24.7189,26.697,34.9444,32.4996,16,20,20,19,19,30,25,28,36,35
503.179,0.988598,0.00353077,6,111,0,-501.237,1.89906,0.000210695,15.0741,16.5279,19.2638,21.1975,22.7381,23.8119,23.0419,24.7845,31.9815,29.8585,21,19,23,16,21,17,22,26,39,24
503.59,0.999918,0.00353077,6,107,0,-502.723,1.89966,0.000200989,14.528,15.8618,18.3574,20.1112,21.5033,22.471,21.7774,23.3457,29.7732,27.8849,20,13,16,19,25,17,18,24,25,22
503.428,0.937869,0.00353077,2,3,0,-503.118,1.89965,0.000197793,14.3497,15.6452,18.0647,19.762,21.1074,22.0418,21.3721,22.8859,29.0742,27.2586,13,22,18,20,20,27,19,23,29,22
503.5,0.960701,0.00353077,2,3,0,-503.019,1.89965,0.000199078,14.421,15.7318,18.1817,19.9015,21.2656,22.2132,21.534,23.0695,29.3531,27.5086,25,12,22,13,24,27,18,23,24,25
503.57,0.994132,0.00353077,5,51,0,-503.344,1.89975,0.00019985,14.4655,15.7857,18.2541,19.9878,21.3633,22.3191,21.634,23.1829,29.5248,27.6626,17,14,19,21,25,15,23,32,29,24
503.005,0.932785,0.00353077,6,103,0,-502.586,1.89997,0.000191984,14.0357,15.2641,17.5504,19.1487,20.4129,21.2894,20.6613,22.0804,27.8544,26.1645,14,16,13,27,16,23,18,18,34,20
503.005,0.634454,0.00353077,1,3,0,-500.552,1.89997,0.000191984,14.0357,15.2641,17.5504,19.1487,20.4129,21.2894,20.6613,22.0804,27.8544,26.1645,9,18,21,19,18,30,24,28,24,24
503.391,0.899708,0.00353077,1,3,0,-502.081,1.89997,0.000214628,15.3188,16.8251,19.6663,21.6791,23.2853,24.4059,23.6023,25.4217,32.9603,30.7329,18,14,21,32,16,25,21,26,42,31
501.949,0.843608,0.00353077,7,155,0,-500.712,1.89893,0.000222478,15.774,17.3846,20.4366,22.6086,24.3472,25.5628,24.6908,26.6665,34.9042,32.4623,13,16,24,17,21,32,27,29,29,27
501.636,0.778508,0.00353077,2,3,0,-499.596,1.89895,0.000185979,13.6999,14.8598,17.0111,18.5099,19.6924,20.5111,19.9245,21.2488,26.6113,25.0458,14,8,13,24,29,21,20,14,21,30
502.904,0.924806,0.00353077,2,3,0,-500.86,1.89896,0.000197448,14.3206,15.6111,18.0208,19.7109,21.0504,21.9806,21.3139,22.8209,28.9795,27.1729,10,11,19,19,22,20,20,21,32,42
502.948,0.939874,0.00353077,2,3,0,-502.301,1.89897,0.000213236,15.2213,16.7079,19.5095,21.4927,23.0743,24.1774,23.3864,25.1771,32.5882,30.3998,9,11,17,20,27,28,21,21,30,31
502.953,0.838009,0.00353077,6,107,0,-499.355,1.8992,0.000195036,14.1912,15.4538,17.808,19.4567,20.7623,21.6683,21.019,22.4864,28.4715,26.7176,20,21,19,14,13,18,29,18,21,31
503.372,0.957493,0.00353077,5,51,0,-502.28,1.89928,0.000200769,14.5102,15.8408,18.3302,20.0795,21.4678,22.4327,21.741,23.305,29.7134,27.8309,11,15,18,20,25,15,20,19,37,28
502.855,0.84516,0.00353077,1,3,0,-502.396,1.89928,0.00021771,15.4916,17.0378,19.9596,22.0332,23.6899,24.8467,24.017,25.8961,33.7008,31.3918,11,22,26,15,18,25,26,27,44,27
502.339,0.942053,0.00353077,7,167,0,-501.056,1.9006,0.000187813,13.8201,15.0022,17.197,18.7277,19.9363,20.7734,20.1736,21.5281,27.021,25.4162,14,13,15,20,20,20,21,29,30,18
503.525,0.993963,0.00353077,6,123,0,-501.512,1.89958,0.000200168,14.4809,15.8047,18.2804,20.0194,21.3993,22.3583,21.6709,23.225,29.5899,27.7207,11,15,18,25,19,26,24,17,31,28
503.681,0.99943,0.00353077,7,151,0,-503.306,1.89985,0.000202252,14.6018,15.9512,18.4778,20.2548,21.6659,22.6472,21.9438,23.5344,30.0597,28.1417,11,16,20,24,21,22,21,23,26,33
503.459,0.971886,0.00353077,7,171,0,-503.311,1.90043,0.000198504,14.4003,15.7052,18.1434,19.8544,21.2111,22.1536,21.4781,23.0051,29.2507,27.4178,21,19,21,29,26,20,24,26,33,25
503.705,0.985095,0.00353077,7,163,0,-503.189,1.8998,0.000203975,14.6987,16.069,18.6376,20.446,21.883,22.8827,22.1661,23.787,30.4458,28.4871,13,11,15,17,16,26,21,17,38,26
503.354,0.958278,0.00353077,7,139,0,-503.217,1.90041,0.000214043,15.2908,16.7901,19.6171,21.6191,23.2162,24.3304,23.5314,25.3403,32.8315,30.6186,17,12,15,24,24,22,28,19,43,20
503.66,0.994974,0.00353077,2,3,0,-503.311,1.90041,0.000205575,14.7989,16.1899,18.7997,20.6388,22.1011,23.1188,22.3892,24.0397,30.8289,28.8306,13,16,13,19,17,21,24,25,34,32
503.188,0.999112,0.00353077,7,247,0,-502.98,1.90106,0.000206144,14.841,16.2401,18.8657,20.7166,22.1887,23.2134,22.4787,24.1406,30.9796,28.9661,19,9,13,29,20,19,15,28,32,26
503.071,0.966878,0.00353077,2,3,0,-503.004,1.90107,0.000210629,15.1005,16.5564,19.296,21.2323,22.775,23.8502,23.0792,24.824,32.03,29.9044,17,19,14,18,35,22,29,26,23,34
503.175,1,0.00353077,1,3,0,-503.091,1.90107,0.000206974,14.8888,16.2982,18.9447,20.8112,22.2961,23.33,22.5888,24.2657,31.1715,29.1376,20,18,22,20,26,27,12,18,31,29
503.12,0.708749,0.00353077,2,3,0,-501.017,1.90106,0.000201121,14.5559,15.8931,18.3954,20.1541,21.5501,22.5205,21.8249,23.3978,29.8444,27.9504,17,21,18,18,16,22,31,16,25,31
503.539,0.999951,0.00353077,7,147,0,-502.602,1.90063,0.000203553,14.6869,16.0532,18.6135,20.4157,21.8475,22.8434,22.1294,23.7442,30.3756,28.4253,12,9,18,26,19,18,21,16,28,26
503.571,0.999952,0.00353077,5,51,0,-503.514,1.90057,0.000203482,14.6819,16.0473,18.6057,20.4064,21.8371,22.8322,22.1188,23.7322,30.3576,28.4091,25,12,17,19,17,21,18,20,34,23
503.658,0.991329,0.00353077,7,147,0,-503.284,1.90033,0.000208243,14.9509,16.3753,19.0519,20.941,22.4447,23.492,22.7411,24.4401,31.4438,29.38,15,11,18,13,25,24,28,23,21,32
502.81,0.933388,0.00353077,7,183,0,-501.071,1.89911,0.00021681,15.4352,16.9692,19.8662,21.9212,23.5624,24.7081,23.8864,25.7472,33.4706,31.1866,12,14,11,24,22,27,31,27,34,43
501.98,0.945469,0.00353077,7,163,0,-500.833,1.9011,0.000221911,15.7737,17.38,20.4227,22.5875,24.3198,25.5309,24.6622,26.6304,34.833,32.4021,14,13,27,20,28,23,35,36,33,38
503.207,0.955747,0.00353077,6,67,0,-501.078,1.90092,0.000199867,14.4834,15.8053,18.2771,20.0131,21.3905,22.3475,21.6615,23.2125,29.5632,27.6983,17,15,13,18,29,23,29,27,30,27
501.859,0.693654,0.00353077,2,3,0,-501.011,1.90093,0.000186147,13.736,14.9,17.0592,18.5636,19.7507,20.5725,19.9837,21.3131,26.6973,25.1253,16,16,22,18,17,23,22,31,28,38
503.294,0.999212,0.00353077,2,7,0,-501.821,1.90091,0.000208524,14.9759,16.4047,19.09,20.9856,22.4946,23.5457,22.7921,24.4973,31.528,29.456,15,14,22,14,23,32,30,22,40,29
503.294,0.544796,0.00353077,1,3,0,-501.044,1.90091,0.000208524,14.9759,16.4047,19.09,20.9856,22.4946,23.5457,22.7921,24.4973,31.528,29.456,17,11,19,28,19,26,24,28,28,29
501.927,0.824199,0.00353077,7,139,0,-500.831,1.89938,0.000185416,13.676,14.8302,16.9703,18.4607,19.6365,20.4502,19.8672,21.1835,26.5114,24.9564,13,21,27,23,20,24,21,15,33,21
502.187,1,0.00353077,1,1,0,-501.725,1.89938,0.000187156,13.7682,14.9416,17.1194,18.6376,19.8362,20.6661,20.0714,21.4142,26.8566,25.267,14,15,13,19,19,24,27,18,21,29
502.511,0.998603,0.00353077,7,135,0,-501.038,1.89848,0.000202527,14.5973,15.9481,18.478,20.2575,21.6708,22.6537,21.9491,23.5424,30.0799,28.1581,12,24,13,17,22,23,25,24,31,24
502.142,0.921849,0.00353077,2,3,0,-501.887,1.89848,0.000195625,14.2133,15.4818,17.8479,19.5056,20.8185,21.7298,21.0767,22.5527,28.5758,26.8103,24,12,21,20,27,21,18,29,21,24
502.476,0.946153,0.00353077,6,67,0,-501.226,1.89896,0.000192422,14.0453,15.2774,17.5713,19.1754,20.4443,21.3242,20.6936,22.1183,27.917,26.2195,18,21,16,21,21,24,17,40,30,28
503.08,0.962758,0.00353077,2,3,0,-502.162,1.89896,0.000200763,14.5052,15.8353,18.3237,20.0723,21.4601,22.4247,21.7332,23.2966,29.7025,27.8207,17,10,21,16,12,26,25,24,29,34
503.69,0.995418,0.00353077,7,175,0,-501.629,1.90023,0.000207942,14.9321,16.3526,19.0213,20.9045,22.4033,23.4471,22.6987,24.392,31.3705,29.3144,12,19,18,27,32,22,23,21,33,25
502.601,0.735921,0.00353077,1,3,0,-502.036,1.90024,0.000188739,13.8646,15.0566,17.271,18.8161,20.0367,20.8822,20.2764,21.6447,27.1977,25.5747,13,15,22,20,20,22,19,16,25,30
502.968,0.790521,0.00353077,3,11,0,-499.824,1.90028,0.000218686,15.5655,17.1265,20.0777,22.1734,23.8484,25.0183,24.1792,26.0797,33.9798,31.6417,21,22,19,15,22,27,25,35,39,18
503.715,0.956933,0.00353077,6,123,0,-501.615,1.90008,0.000203211,14.6594,16.0208,18.5714,20.3663,21.7921,22.7839,22.0729,23.6807,30.2818,28.3408,15,9,19,28,14,24,20,22,21,29
503.575,0.983238,0.00353077,7,203,0,-502.908,1.90048,0.000201737,14.582,15.9259,18.4417,20.2105,21.6148,22.5912,21.8913,23.4739,29.9638,28.0566,5,12,26,13,20,25,25,28,30,33
503.618,0.993278,0.00353077,7,139,0,-503.422,1.90021,0.000210438,15.0765,16.5287,19.2611,21.192,22.7304,23.8024,23.0337,24.7734,31.9573,29.8385,18,13,18,20,26,20,17,23,31,40
501.385,0.734433,0.00353077,3,11,0,-501.036,1.90025,0.000181087,13.4608,14.5693,16.6194,18.0435,19.165,19.9403,19.3849,20.6383,25.6942,24.2213,5,9,16,24,18,23,15,28,24,24
503.67,0.988963,0.00353077,2,3,0,-501.5,1.90026,0.000208542,14.9672,16.3953,19.0793,20.974,22.4823,23.5329,22.7796,24.484,31.5116,29.4405,13,13,16,14,17,26,20,25,35,28
501.946,0.843733,0.00353077,7,195,0,-500.833,1.90085,0.000223792,15.8847,17.5167,20.6116,22.8158,24.5811,25.8158,24.9301,26.9372,35.3146,32.8299,17,19,17,30,24,17,27,32,37,32
501.741,0.972693,0.00353077,6,79,0,-500.349,1.90122,0.000187384,13.8057,14.9838,17.1706,18.6952,19.899,20.7326,20.1353,21.484,26.9516,25.3545,10,8,19,17,18,18,16,21,23,29
502.925,0.996188,0.00353077,2,7,0,-501.785,1.90123,0.000209558,15.0406,16.483,19.1956,21.1115,22.6374,23.7005,22.9382,24.6632,31.7813,29.6826,22,19,16,19,32,24,18,24,29,25
503.533,0.975806,0.00353077,7,167,0,-500.358,1.90032,0.000199187,14.4368,15.7497,18.2038,19.9267,21.2933,22.2427,21.5622,23.1006,29.3965,27.5483,13,14,19,14,18,25,19,16,40,21
503.452,0.999533,0.00353077,6,123,0,-502.409,1.90069,0.000209108,15.0064,16.4423,19.1419,21.0482,22.566,23.6235,22.8653,24.5809,31.658,29.5718,16,20,16,22,32,28,13,21,29,27
503.736,0.922534,0.00353077,7,191,0,-502.103,1.89999,0.000204771,14.7468,16.1272,18.716,20.5394,21.9888,22.9973,22.2743,23.9097,30.6323,28.6542,17,14,12,26,19,17,20,38,33,37
503.348,0.999997,0.00353077,7,191,0,-502.918,1.89914,0.000206396,14.8269,16.2263,18.8533,20.7053,22.1784,23.2039,22.4687,24.1319,30.9779,28.9621,9,14,8,22,28,19,27,29,41,32
503.405,0.998066,0.00353077,5,47,0,-503.316,1.89921,0.000206726,14.8469,16.2506,18.886,20.7443,22.2227,23.2519,22.514,24.1833,31.0563,29.0323,8,10,15,17,18,21,21,23,15,30
503.628,0.996583,0.00353077,6,107,0,-503.203,1.89962,0.000202732,14.6256,15.9805,18.5182,20.3036,21.7216,22.7077,22.0008,23.5995,30.1604,28.2315,13,20,15,33,15,30,18,30,26,29
503.526,0.983277,0.00353077,7,167,0,-503.042,1.90064,0.000203313,14.6734,16.0368,18.5913,20.389,21.8172,22.8106,22.0985,23.709,30.3217,28.3771,10,19,10,21,18,21,19,21,28,41
503.49,0.991215,0.00353077,7,171,0,-502.545,1.89932,0.000206608,14.8417,16.2441,18.8768,20.7332,22.2099,23.2379,22.5008,24.1682,31.0325,29.0112,13,14,17,16,20,14,17,24,39,30
503.654,0.999428,0.00353077,7,229,0,-503.004,1.8996,0.00020529,14.7706,16.157,18.7576,20.5898,22.0466,23.0604,22.3336,23.9777,30.7387,28.7489,8,23,16,17,19,24,17,29,31,30
503.694,0.985602,0.00353077,6,87,0,-503.471,1.89972,0.000204822,14.7457,16.1264,18.7157,20.5396,21.9893,22.9982,22.2749,23.9108,30.6356,28.6568,12,12,23,32,24,23,26,27,24,41
502.255,0.97418,0.00353077,7,219,0,-501.17,1.90162,0.000212208,15.2012,16.6784,19.4605,21.4287,22.9977,24.0917,23.3072,25.0829,32.426,30.2586,18,16,18,15,26,23,24,25,42,20
502.785,0.979737,0.00353077,6,75,0,-501.833,1.90112,0.000214418,15.324,16.8293,19.6682,21.6791,23.2836,24.403,23.6002,25.4177,32.9467,30.7224,12,21,11,24,31,25,26,18,30,22
502.814,0.99787,0.00353077,5,39,0,-502.53,1.90108,0.000214666,15.338,16.8465,19.6918,21.7076,23.3161,24.4384,23.6336,25.4558,33.006,30.7752,16,14,21,25,23,31,16,33,31,32
503.667,0.987538,0.00353077,6,119,0,-501.881,1.90017,0.000201638,14.5719,15.9142,18.4268,20.1932,21.5957,22.5707,21.8718,23.4522,29.9325,28.0282,19,8,20,18,25,20,26,28,28,27
501.162,0.712231,0.00353077,2,3,0,-500.309,1.90015,0.000229865,16.2504,17.9676,21.2356,23.5715,25.4467,26.7605,25.8179,27.9551,36.9194,34.2539,25,18,23,28,24,25,34,22,35,33
503.609,1,0.00353077,2,3,0,-501.136,1.90017,0.000200099,14.4855,15.8092,18.2847,20.0236,21.4033,22.362,21.6748,23.2286,29.592,27.7233,15,12,15,23,19,21,26,26,35,26
503.27,0.996348,0.00353077,7,215,0,-503.147,1.89918,0.00021099,15.093,16.5508,19.2946,21.2343,22.7798,23.8571,23.0847,24.8329,32.0555,29.9247,17,15,16,24,26,29,21,21,42,21
503.14,0.931516,0.00353077,1,3,0,-502.783,1.89918,0.000197825,14.3447,15.6399,18.0591,19.756,21.1013,22.0356,21.366,22.8796,29.0673,27.2519,14,11,18,27,28,22,24,28,21,33
501.997,0.822526,0.00353077,1,3,0,-501.954,1.89918,0.000186916,13.7526,14.9231,17.0953,18.6093,19.8044,20.6319,20.039,21.3778,26.8032,25.2187,16,22,20,24,24,18,24,14,25,28
502.043,0.996023,0.00353077,6,79,0,-501.196,1.89895,0.000188823,13.8513,15.0427,17.2561,18.8007,20.0208,20.866,20.2603,21.6282,27.1798,25.5572,15,21,18,24,25,22,16,30,31,27
503.112,0.974278,0.00353077,7,163,0,-499.846,1.90093,0.000212487,15.2072,16.6869,19.4744,21.4467,23.0192,24.1157,23.3294,25.1093,32.471,30.2978,26,17,15,16,27,28,24,27,33,39
503.707,0.976904,0.00353077,7,211,0,-502.783,1.89979,0.000204396,14.7224,16.0979,18.6769,20.493,21.9364,22.9406,22.2207,23.8491,30.5408,28.5721,17,16,12,22,16,26,20,24,27,32
503.203,0.888455,0.00353077,1,3,0,-503.117,1.89979,0.000194284,14.1584,15.413,17.7512,19.3881,20.6839,21.583,20.9387,22.3946,28.3295,26.5908,16,21,24,16,30,23,24,33,39,25
503.263,0.999022,0.00353077,7,183,0,-502.746,1.90073,0.000198044,14.3791,15.679,18.107,19.8105,21.161,22.099,21.4267,22.9464,29.1599,27.3367,17,18,16,28,18,23,27,17,24,29
503.332,0.916799,0.00353077,2,3,0,-502.427,1.90075,0.000211161,15.1267,16.589,19.3415,21.2876,22.8383,23.9192,23.1442,24.8984,32.1467,30.0082,13,13,16,14,25,28,24,27,29,24
503.234,0.874098,0.00353077,2,3,0,-502.357,1.90076,0.000197915,14.3724,15.6708,18.0958,19.7971,21.1457,22.0824,21.4111,22.9286,29.1327,27.3124,15,23,20,18,24,26,20,24,30,26
503.7,0.970825,0.00353077,7,199,0,-502.523,1.89976,0.000204332,14.7183,16.093,18.6703,20.4852,21.9276,22.9311,22.2117,23.8389,30.5254,28.5583,14,20,25,28,32,18,25,20,33,28
503.594,0.863828,0.00353077,7,147,0,-502.384,1.90027,0.0002107,15.0926,16.5482,19.2875,21.2236,22.7662,23.8413,23.0704,24.8152,32.0213,29.8957,12,15,23,19,29,24,19,29,28,31
503.654,0.999655,0.00353077,5,63,0,-503.502,1.90037,0.000203114,14.6582,16.0187,18.5677,20.3613,21.7861,22.7771,22.0667,23.6733,30.2687,28.3294,9,20,29,18,17,16,15,17,31,35
503.669,0.89952,0.00353077,2,3,0,-502.929,1.90036,0.000207149,14.8882,16.2989,18.9479,20.8163,22.3029,23.338,22.5959,24.2749,31.1898,29.1531,11,25,18,21,32,27,34,24,26,35
503.615,0.787039,0.00353077,2,7,0,-501.951,1.90033,0.00020119,14.5491,15.8861,18.3883,20.147,21.543,22.5134,21.8178,23.3906,29.8378,27.9436,10,17,15,20,32,20,22,25,24,38
503.449,0.997148,0.00353077,7,155,0,-503.177,1.90061,0.000200143,14.4944,15.8192,18.2968,20.0372,21.4182,22.3778,21.6899,23.2452,29.6147,27.7441,17,17,26,21,24,22,21,22,31,24
501.193,0.688777,0.00353077,2,3,0,-500.23,1.90062,0.000180825,13.4522,14.5583,16.6037,18.0242,19.1429,19.9162,19.3622,20.6123,25.6537,24.1851,13,20,19,23,24,25,23,19,26,32
503.089,0.995498,0.00353077,6,107,0,-500.047,1.90026,0.000193045,14.0975,15.3383,17.6494,19.266,20.5452,21.4324,20.7966,22.2331,28.0831,26.3702,16,17,8,17,26,35,16,13,22,26
503.707,0.995205,0.00353077,2,3,0,-502.999,1.90027,0.000205459,14.7901,16.1794,18.7859,20.6226,22.0829,23.0993,22.3706,24.0188,30.7978,28.8025,9,15,20,20,36,24,27,30,37,26
503.729,0.999391,0.00353077,7,181,0,-503.004,1.90013,0.000206472,14.846,16.2478,18.8792,20.7346,22.2103,23.2377,22.5011,24.1674,31.0263,29.0067,12,13,19,30,24,19,28,35,26,36
502.843,0.992254,0.00353077,7,131,0,-502.705,1.90135,0.000205408,14.8032,16.1935,18.8016,20.6393,22.1004,23.1173,22.3882,24.0373,30.8196,28.8234,13,13,12,15,15,22,24,26,27,31
502.508,0.948616,0.00353077,7,199,0,-500.622,1.89871,0.000215144,15.3299,16.8411,19.6924,21.7129,23.3256,24.4509,23.6439,25.4711,33.0449,30.8067,21,12,23,16,27,24,22,21,39,34
502.13,0.866178,0.00353077,4,27,0,-500.815,1.8986,0.000193396,14.0932,15.336,17.6512,19.2711,20.553,21.4422,20.8049,22.2447,28.1097,26.3922,19,19,23,17,23,14,23,26,23,27
