# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/wpkq61od.json
# init = 2 (Default)
# random
#   seed = 2224
# output
#   file = /home/lab5/output/code2-20230416104041_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.000619321
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07306e-05
-3.78358e+06,0.998976,0.000619321,2,3,0,3.78359e+06,-0.851001,0.000627759,4.82608,6.34943,10.0216,13.3264,16.4248,18.8454,17.0874,21.2328,45.3829,36.984,3,10,12,13,23,17,20,17,47,41
-3.78357e+06,0.995993,0.000619321,1,1,0,3.78358e+06,-0.850997,0.000625618,4.78634,6.29126,9.91437,13.171,16.2217,18.6036,16.8738,20.9518,44.6665,36.4256,3,11,5,17,13,22,11,19,44,33
-3.78355e+06,0.995466,0.000619321,2,3,0,3.78357e+06,-0.850991,0.000631397,4.89442,6.44959,10.2067,13.5949,16.776,19.2638,17.4568,21.7191,46.6272,37.953,6,6,14,10,15,23,19,17,55,39
-3.78351e+06,0.98554,0.000619321,2,3,0,3.78356e+06,-0.850975,0.000645376,5.16607,6.84927,10.9499,14.6777,18.1967,20.9592,18.9518,23.6935,51.7335,41.9179,0,4,10,10,11,17,18,14,56,49
-3.78345e+06,0.984961,0.000619321,3,7,0,3.78351e+06,-0.850954,0.000652231,5.30481,7.05431,11.334,15.24,18.937,21.8446,19.7313,24.7266,54.4388,44.0115,6,5,15,17,18,23,12,21,68,45
-3.78337e+06,0.984722,0.000619321,2,3,0,3.78346e+06,-0.850924,0.000654522,5.35212,7.12436,11.4657,15.433,19.1915,22.1493,19.9994,25.0824,55.3754,44.7353,1,11,12,15,17,20,22,22,52,35
-3.78306e+06,1,0.000619321,4,15,0,3.78337e+06,-0.850812,0.000624038,4.75809,6.24981,9.83775,13.0598,16.0763,18.4306,16.7209,20.7506,44.1531,36.0255,0,8,9,15,9,16,16,25,43,41
-3.78305e+06,1,0.000619321,1,1,0,3.78306e+06,-0.850808,0.000627707,4.82603,6.34922,10.0209,13.3252,16.423,18.8431,17.0854,21.2299,45.3739,36.9773,5,5,12,11,19,21,18,20,44,32
-3.78304e+06,0.999845,0.000619321,2,3,0,3.78305e+06,-0.850803,0.000627406,4.82044,6.34103,10.0058,13.3032,16.3943,18.809,17.0553,21.1903,45.2726,36.8984,6,8,16,22,17,20,19,24,45,39
-3.78303e+06,0.998804,0.000619321,1,1,0,3.78304e+06,-0.8508,0.000626715,4.8076,6.32224,9.97114,13.253,16.3286,18.7308,16.9862,21.0994,45.0409,36.7178,2,4,13,13,17,19,11,21,54,49
