# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:24:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/swep1uh1.json
# init = 2 (Default)
# random
#   seed = 7856
# output
#   file = /home/lab5/output/code2-20230416112439_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00346553
# Diagonal elements of inverse mass matrix:
# 1.05765e-05, 9.90111e-06
503.057,0.99707,0.00346553,7,195,0,-499.754,1.90118,0.000206718,14.8757,16.282,18.9224,20.7843,22.2654,23.2965,22.5573,24.2297,31.1156,29.0878,13,17,21,18,21,20,19,20,32,34
503.146,0.955073,0.00346553,5,55,0,-502.548,1.9011,0.000204683,14.7581,16.139,18.7285,20.5523,22.002,23.0106,22.2875,23.9232,30.6463,28.6681,13,20,19,24,19,21,28,28,31,22
502.829,0.882567,0.00346553,5,63,0,-501.362,1.90132,0.00020157,14.5849,15.9279,18.4417,20.209,21.612,22.5874,21.8882,23.4693,29.9519,28.047,20,10,9,24,17,20,16,32,31,28
503.196,0.999993,0.00346553,6,71,0,-502.828,1.90106,0.000205781,14.8201,16.2146,18.8312,20.6753,22.1418,23.1624,22.4307,24.086,30.8959,28.8913,14,13,21,15,24,24,35,23,20,23
503.388,0.950739,0.00346553,6,75,0,-502.587,1.90082,0.000202643,14.6381,15.9935,18.5321,20.3179,21.7363,22.7226,22.0156,23.6146,30.1765,28.2474,16,16,24,19,18,18,18,25,36,23
502.358,0.999646,0.00346553,6,115,0,-501.694,1.90168,0.000206241,14.8557,16.2568,18.8865,20.7404,22.2148,23.2412,22.5054,24.17,31.021,29.0039,13,14,11,26,17,23,23,18,26,34
501.924,0.923114,0.00346553,2,3,0,-501.728,1.90167,0.000215561,15.4002,16.9215,19.7924,21.8273,23.4517,24.5854,23.7724,25.6132,33.2461,30.99,17,18,13,20,21,23,32,26,31,31
502.43,0.999852,0.00346553,5,35,0,-501.889,1.90154,0.000211354,15.1499,16.6158,19.3755,21.3268,22.8819,23.9659,23.1886,24.9479,32.2181,30.073,13,10,17,24,26,21,26,22,32,31
502.908,0.991682,0.00346553,6,71,0,-501.99,1.90125,0.000209426,15.0332,16.474,19.1832,21.0967,22.6204,23.6821,22.9209,24.6434,31.7507,29.6553,16,15,19,18,25,18,23,28,41,25
502.914,0.9992,0.00346553,2,3,0,-502.885,1.90125,0.00020126,14.5664,15.9055,18.4116,20.1732,21.5716,22.5436,21.8468,23.4224,29.8808,27.9832,16,17,14,21,27,19,23,20,29,26
502.977,0.996857,0.00346553,1,3,0,-502.888,1.90125,0.000206244,14.8495,16.2501,18.8787,20.7318,22.2057,23.2317,22.4961,24.1601,31.0084,28.9921,15,16,23,21,21,28,26,28,37,17
502.952,0.996795,0.00346553,3,15,0,-502.926,1.90126,0.000203415,14.6883,16.0538,18.6124,20.4131,21.8438,22.8388,22.1255,23.7388,30.3636,28.4154,10,10,23,24,26,20,18,20,27,26
503.728,0.980908,0.00346553,7,151,0,-502.7,1.89992,0.00020429,14.7183,16.0927,18.6694,20.4838,21.9258,22.929,22.2098,23.8365,30.5208,28.5544,22,12,21,19,24,21,31,18,30,34
503.516,0.97993,0.00346553,7,167,0,-502.157,1.90065,0.000203091,14.661,16.0216,18.5707,20.3644,21.7893,22.7803,22.0698,23.6765,30.2719,28.3326,11,24,15,9,15,19,12,25,23,30
503.507,0.992394,0.00346553,7,195,0,-503.196,1.89945,0.00020135,14.5453,15.8832,18.3869,20.147,21.5441,22.5154,21.8192,23.3934,29.8471,27.9509,15,10,19,18,24,24,15,24,31,28
503.598,0.999873,0.00346553,5,59,0,-503.455,1.8996,0.000202017,14.5849,15.931,18.4513,20.2236,21.6309,22.6094,21.908,23.4941,29.9997,28.0877,5,16,13,16,24,14,24,31,35,35
503.522,0.977057,0.00346553,7,155,0,-503.107,1.90004,0.000198198,14.3777,15.6785,18.1085,19.8135,21.1654,22.1043,21.4313,22.9525,29.1732,27.3478,18,14,15,22,27,21,21,25,35,21
503.489,0.979499,0.00346553,7,179,0,-503.041,1.90058,0.000210073,15.0608,16.5089,19.2329,21.1575,22.6905,23.7588,22.9928,24.7263,31.8825,29.7721,11,13,17,24,24,16,25,23,40,33
503.663,0.82045,0.00346553,5,35,0,-501.917,1.90035,0.000203265,14.6665,16.0289,18.5815,20.3779,21.8049,22.7975,22.086,23.6952,30.3023,28.3594,7,20,21,19,20,8,18,15,24,46
503.633,0.989571,0.00346553,2,3,0,-503.575,1.90035,0.00020198,14.5939,15.9406,18.4619,20.2348,21.6426,22.6215,21.9198,23.5065,30.0142,28.1016,12,18,16,18,26,22,24,15,31,24
502.261,0.765516,0.00346553,2,3,0,-501.833,1.90036,0.000186519,13.7479,14.9154,17.0814,18.5909,19.7822,20.6069,20.016,21.3503,26.7559,25.1775,11,18,25,15,17,16,26,17,33,21
503.637,0.99918,0.00346553,4,27,0,-502.169,1.90045,0.000204156,14.7185,16.092,18.6668,20.4796,21.9203,22.9226,22.2041,23.8293,30.5066,28.5423,11,19,10,28,21,16,24,25,33,26
503.726,0.999272,0.00346553,7,235,0,-503.561,1.90018,0.000205567,14.7949,16.1855,18.7945,20.633,22.0949,23.1123,22.3829,24.0329,30.8199,28.8222,15,23,20,23,28,22,21,20,42,32
502.833,0.838616,0.00346553,3,11,0,-502.27,1.90021,0.000219969,15.6418,17.22,20.2062,22.3283,24.0252,25.2109,24.3605,26.2869,34.303,31.9293,16,13,30,23,20,21,22,25,40,36
500.792,0.996965,0.00346553,7,147,0,-499.638,1.90215,0.000192316,14.0845,15.3193,17.6181,19.2255,20.4971,21.3788,20.7469,22.1744,27.9842,26.2836,15,15,14,22,17,21,19,22,27,22
501.421,1,0.00346553,2,3,0,-500.89,1.90215,0.000208499,14.9929,16.4232,19.1112,21.0086,22.5191,23.5711,22.8168,24.5236,31.561,29.487,12,20,23,22,32,30,19,26,35,23
501.477,0.966452,0.00346553,3,15,0,-501.079,1.90211,0.000209185,15.0322,16.4711,19.1765,21.0869,22.6082,23.668,22.9081,24.6276,31.7211,29.63,14,15,21,20,21,29,17,26,31,29
501.264,0.989973,0.00346553,5,55,0,-500.725,1.90222,0.00020165,14.6025,15.9477,18.4657,20.236,21.6415,22.6186,21.9182,23.5021,29.9966,28.0881,15,12,17,24,22,31,15,14,28,35
500.089,0.930523,0.00346553,5,47,0,-499.92,1.90245,0.000191972,14.0699,15.3012,17.5929,19.195,20.4621,21.3407,20.7111,22.1335,27.921,26.2272,14,16,18,21,23,19,21,30,21,29
500.465,0.984902,0.00346553,5,43,0,-499.208,1.90258,0.00020514,14.806,16.1946,18.7992,20.6342,22.093,23.1082,22.3804,24.0267,30.796,28.8038,17,15,17,21,20,26,16,18,29,25
500.949,0.901569,0.00346553,6,71,0,-499.128,1.90223,0.00021428,15.3327,16.8379,19.6762,21.6866,23.2906,24.4096,23.6072,25.4239,32.9493,30.7262,11,14,27,23,30,16,23,19,35,25
502.399,0.989709,0.00346553,6,87,0,-499.949,1.90162,0.000208835,15.0045,16.4383,19.1334,21.0363,22.5512,23.6066,22.8499,24.5621,31.6233,29.542,10,12,18,17,29,22,20,18,25,30
502.23,0.912204,0.00346553,2,3,0,-501.973,1.90162,0.000197789,14.3777,15.6757,18.0998,19.8003,21.1483,22.0845,21.4135,22.9302,29.1303,27.3113,13,16,21,24,20,18,28,22,27,25
500.75,0.877857,0.00346553,5,51,0,-499.848,1.90187,0.000222542,15.8243,17.4405,20.5033,22.683,24.4279,25.6479,24.7728,26.7556,35.0235,32.5726,15,15,24,27,24,30,20,30,36,33
502.416,0.963865,0.00346553,6,67,0,-500.011,1.90148,0.000212957,15.2432,16.7299,19.5313,21.5139,23.095,24.1976,23.4069,25.1967,32.6026,30.416,21,25,21,24,25,30,28,27,26,23
501.887,0.809042,0.00346553,2,3,0,-500.654,1.90147,0.000218993,15.6027,17.1696,20.1328,22.2373,23.9196,25.0947,24.2519,26.1609,34.0983,31.7488,19,14,16,29,20,27,21,22,30,25
501.519,1,0.00346553,5,59,0,-500.902,1.90172,0.000218667,15.587,17.1499,20.1049,22.2032,23.8803,25.0517,24.2116,26.1145,34.0243,31.6833,17,14,21,26,22,27,28,22,41,44
501.519,0.706257,0.00346553,1,1,0,-500.543,1.90172,0.000218667,15.587,17.1499,20.1049,22.2032,23.8803,25.0517,24.2116,26.1145,34.0243,31.6833,18,13,19,26,24,26,29,28,32,24
501.363,0.852481,0.00346553,2,3,0,-499.795,1.90175,0.000190481,13.9794,15.1928,17.4493,19.0255,20.2714,21.1349,20.5161,21.9138,27.594,25.9326,12,14,14,18,23,27,20,22,33,30
501.313,0.996988,0.00346553,2,3,0,-501.081,1.90177,0.000219729,15.6518,17.2292,20.2134,22.3339,24.0293,25.2139,24.3643,26.2888,34.2956,31.9248,15,19,29,21,31,23,22,16,37,25
502.606,0.976897,0.00346553,6,75,0,-500.49,1.90146,0.000210123,15.0769,16.5268,19.2545,21.1817,22.7169,23.7867,23.0197,24.7556,31.9221,29.8087,14,6,21,15,20,17,16,25,31,30
502.231,1,0.00346553,6,67,0,-502.138,1.90172,0.000201299,14.5754,15.9156,18.4238,20.1869,21.5864,22.5594,21.8619,23.4389,29.9033,28.0039,13,16,17,18,21,22,21,23,23,33
502.107,0.927539,0.00346553,2,3,0,-501.86,1.90171,0.000212024,15.1919,16.6668,19.4444,21.4091,22.9753,24.0673,23.2843,25.0566,32.3847,30.2219,16,17,22,28,22,25,24,18,38,23
502.253,0.979715,0.00346553,2,3,0,-501.948,1.90171,0.00020857,14.9906,16.4211,19.1097,21.0077,22.5186,23.571,22.8164,24.5239,31.564,29.4892,14,21,20,15,26,27,14,15,37,25
502.241,0.977978,0.00346553,6,67,0,-501.685,1.9016,0.000213028,15.2491,16.7369,19.5404,21.5247,23.1071,24.2106,23.4193,25.2107,32.6234,30.4347,15,18,19,21,17,25,30,22,39,35
502.193,0.995007,0.00346553,2,3,0,-502.115,1.9016,0.000196762,14.3205,15.6063,18.0063,19.6888,21.0221,21.9477,21.2843,22.7838,28.9083,27.1122,17,25,24,10,22,23,12,23,18,35
500.606,0.932118,0.00346553,6,67,0,-499.986,1.90216,0.000190742,13.9992,15.2161,17.4793,19.0605,20.3104,21.1768,20.556,21.9583,27.6588,25.9913,23,16,21,12,22,19,23,22,26,20
499.052,0.904792,0.00346553,2,3,0,-498.83,1.90217,0.000180554,13.459,14.564,16.6069,18.0255,19.1425,19.9146,19.3615,20.6096,25.642,24.1762,13,12,14,22,16,18,12,20,37,24
499.455,0.963543,0.00346553,2,3,0,-498.172,1.90215,0.000226807,16.0917,17.7683,20.9535,23.2261,25.0482,26.3238,25.4087,27.483,36.1617,33.5844,18,18,17,17,28,31,19,32,38,21
501.434,0.982829,0.00346553,2,3,0,-499.074,1.90216,0.000205043,14.7943,16.1812,18.7823,20.6147,22.0714,23.0851,22.3583,24.0022,30.7609,28.772,13,8,20,20,21,20,18,26,31,25
500.757,0.900369,0.00346553,2,3,0,-500.525,1.90217,0.000217681,15.5346,17.085,20.0144,22.0934,23.7544,24.9143,24.0824,25.9663,33.791,31.4761,19,16,20,31,24,30,22,20,41,30
501.033,0.918597,0.00346553,4,23,0,-499.743,1.90208,0.000193248,14.1342,15.3797,17.6996,19.3226,20.6069,21.4978,20.8594,22.3018,28.1768,26.4564,12,13,20,13,23,22,16,26,30,32
501.263,1,0.00346553,2,3,0,-501.005,1.90209,0.000214061,15.3177,16.8197,19.6519,21.6577,23.2578,24.3741,23.5736,25.3859,32.8913,30.6742,18,18,23,14,24,28,22,29,28,29
501.06,0.99887,0.00346553,5,39,0,-500.805,1.90221,0.000197048,14.3451,15.6351,18.0432,19.7318,21.0699,21.9991,21.3331,22.8383,28.9876,27.184,19,8,10,18,26,27,20,23,36,19
500.14,0.933204,0.00346553,2,3,0,-500.132,1.90222,0.000221812,15.7853,17.392,20.4354,22.6004,24.333,25.5442,24.6754,26.6437,34.8463,32.4155,18,17,30,18,28,21,29,26,38,25
501.32,1,0.00346553,2,3,0,-500.172,1.90221,0.000203607,14.7132,16.0824,18.6481,20.4541,21.889,22.8871,22.1716,23.7899,30.436,28.4813,14,17,16,17,10,20,18,22,33,30
499.679,0.736351,0.00346553,3,11,0,-498.67,1.90217,0.00022529,15.9981,17.6533,20.7949,23.0344,24.8289,26.0847,25.1839,27.2255,35.7573,33.2252,15,17,19,18,24,22,32,30,26,31
500.081,1,0.00346553,2,3,0,-499.39,1.90218,0.000186994,13.7982,14.9731,17.1535,18.6733,19.8731,20.7038,20.1086,21.4526,26.8995,25.3087,17,17,19,23,25,25,21,25,31,28
501.136,0.998835,0.00346553,4,19,0,-499.783,1.90229,0.000203308,14.6974,16.0629,18.6216,20.4222,21.8527,22.8476,22.1344,23.7475,30.3707,28.423,13,13,17,17,15,25,16,28,25,34
500.786,0.954874,0.00346553,4,19,0,-500.616,1.90234,0.000197168,14.3536,15.6452,18.0565,19.7473,21.0874,22.0179,21.351,22.8584,29.0173,27.2108,14,13,17,18,20,17,28,32,25,19
500.654,0.941514,0.00346553,6,83,0,-498.239,1.90211,0.000219788,15.6606,17.2393,20.2262,22.3485,24.0456,25.2313,24.3808,26.3072,34.322,31.9488,16,18,15,18,24,26,23,30,27,33
500.545,0.988225,0.00346553,2,3,0,-500.241,1.90212,0.000189485,13.9308,15.1334,17.3686,18.9289,20.1618,21.016,20.4039,21.7864,27.4006,25.7592,14,13,18,20,18,18,25,19,28,20
501.46,0.997706,0.00346553,2,7,0,-500.625,1.90213,0.000208474,14.9912,16.4211,19.1084,21.0053,22.5153,23.5671,22.813,24.5193,31.5544,29.4812,9,16,22,18,21,19,24,24,33,23
501.558,0.988373,0.00346553,4,19,0,-501.316,1.90208,0.00020133,14.5824,15.9235,18.4334,20.1977,21.5982,22.5718,21.8739,23.452,29.9211,28.0204,14,11,12,25,22,25,18,22,34,39
499.111,0.526006,0.00346553,2,3,0,-498.103,1.90208,0.000229252,16.2433,17.9549,21.2112,23.5379,25.4051,26.7132,25.7747,27.9025,36.8226,34.1709,16,18,25,29,27,16,24,28,34,33
501.574,0.991851,0.00346553,2,3,0,-498.731,1.90209,0.0002041,14.7395,16.1146,18.6922,20.507,21.9493,22.9526,22.2333,23.8602,30.5441,28.5779,21,12,15,19,23,19,16,25,21,30
502.41,0.998677,0.00346553,6,111,0,-500.268,1.90164,0.000207267,14.9141,16.3281,18.9835,20.8565,22.3469,23.3846,22.6406,24.3239,31.2573,29.2151,20,17,27,22,23,27,28,38,25,33
502.966,0.986436,0.00346553,6,79,0,-502.09,1.90119,0.000200804,14.5399,15.8735,18.3684,20.1217,21.5132,22.4804,21.7871,23.3546,29.778,27.8911,15,12,17,19,18,20,26,27,28,17
502.969,0.975147,0.00346553,4,23,0,-502.647,1.90121,0.000209178,15.0182,16.4557,19.1584,21.067,22.5868,23.6456,22.8864,24.6042,31.6907,29.6017,11,15,20,26,33,27,19,22,28,34
501.97,0.810434,0.00346553,1,3,0,-501.895,1.90121,0.000221145,15.7287,17.3247,20.3464,22.4952,24.2143,25.4159,24.5541,26.5066,34.639,32.2296,10,23,11,23,30,26,29,24,24,36
503.027,0.994863,0.00346553,2,3,0,-501.891,1.90121,0.000204651,14.7579,16.1385,18.7274,20.5508,22.0002,23.0086,22.2856,23.9209,30.6422,28.6646,16,19,10,26,13,27,20,23,32,27
502.292,0.997805,0.00346553,8,267,0,-502.234,1.89832,0.000207298,14.8666,16.2762,18.9236,20.7911,22.277,23.3116,22.5698,24.2481,31.1611,29.1248,12,18,16,17,15,13,20,33,28,35
502.26,0.996039,0.00346553,4,23,0,-502.201,1.8983,0.000207057,14.8524,16.259,18.9003,20.7632,22.2453,23.2772,22.5374,24.2112,31.1046,29.0743,18,15,26,19,25,23,17,34,29,36
502.271,0.853232,0.00346553,2,3,0,-501.181,1.89831,0.000203754,14.6643,16.0299,18.5892,20.3909,21.8224,22.8182,22.1043,23.7189,30.3505,28.4,17,19,15,13,18,21,32,22,26,25
502.282,0.978964,0.00346553,2,7,0,-502.125,1.89832,0.000207884,14.9002,16.3172,18.9793,20.8578,22.3529,23.394,22.6476,24.3366,31.2969,29.2462,23,19,19,23,15,23,31,20,22,18
503.435,0.999542,0.00346553,6,119,0,-501.271,1.89925,0.000204283,14.708,16.0814,18.6562,20.4692,21.9101,22.9126,22.194,23.8194,30.4987,28.5338,16,14,22,21,20,29,19,15,28,22
503.602,0.986598,0.00346553,6,95,0,-503.163,1.89961,0.00020194,14.5807,15.9259,18.4444,20.2153,21.6215,22.5991,21.8983,23.4831,29.9829,28.0726,17,20,16,17,29,17,13,19,44,29
502.731,0.946159,0.00346553,7,227,0,-501.669,1.90144,0.000204918,14.7764,16.1607,18.7568,20.5856,22.0393,23.0509,22.3257,23.9661,30.7101,28.7256,9,21,15,22,27,32,27,23,29,29
502.989,0.980017,0.00346553,6,79,0,-502.385,1.9011,0.000211658,15.1611,16.6303,19.3967,21.3531,22.9124,23.9995,23.22,24.9843,32.2769,30.1249,19,20,16,27,17,21,25,30,30,30
502.354,0.892327,0.00346553,7,195,0,-500.303,1.89836,0.000207504,14.879,16.2912,18.9439,20.8153,22.3045,23.3415,22.598,24.2801,31.21,29.1686,14,15,22,31,26,32,26,24,31,35
499.411,0.946944,0.00346553,6,99,0,-497.814,1.89711,0.000201103,14.4974,15.8291,18.3211,20.0726,21.4628,22.4292,21.7365,23.3028,29.7227,27.8366,11,14,18,14,22,25,23,19,28,34
499.244,0.961029,0.00346553,3,15,0,-498.773,1.89706,0.000200301,14.4519,15.7739,18.2465,19.9836,21.362,22.3199,21.6332,23.1857,29.5446,27.677,18,14,14,19,17,28,22,24,30,31
499.126,0.989496,0.00346553,2,3,0,-499.086,1.89707,0.000213917,15.2324,16.7251,19.5393,21.5321,23.1218,24.2308,23.4356,25.236,32.6913,30.4892,11,13,29,20,28,29,34,24,37,35
499.097,0.908001,0.00346553,3,7,0,-498.346,1.89706,0.000213833,15.2273,16.7188,19.5308,21.5219,23.1103,24.2183,23.4237,25.2225,32.6705,30.4706,16,14,20,20,21,28,20,24,39,33
499.046,0.99565,0.00346553,3,15,0,-498.818,1.89704,0.00019814,14.3314,15.6276,18.0489,19.7478,21.0947,22.0302,21.3597,22.8754,29.073,27.2545,14,19,12,18,14,25,30,18,30,26
497.344,0.741442,0.00346553,1,3,0,-497.256,1.89703,0.00018374,13.5559,14.6892,16.7885,18.249,19.4004,20.197,19.6263,20.9145,26.1218,24.6031,19,10,18,18,22,25,17,22,30,23
503.366,0.989296,0.00346553,7,231,0,-496.759,1.8993,0.000210918,15.0907,16.5477,19.29,21.2285,22.7731,23.8496,23.0777,24.8248,32.0422,29.9131,15,14,19,22,19,34,19,18,29,20
502.306,0.876698,0.00346553,2,3,0,-502.175,1.89931,0.000188355,13.8312,15.0178,17.2217,18.7592,19.9735,20.8146,20.2119,21.573,27.0951,25.4814,15,12,25,17,25,24,16,22,31,34
502.984,0.99894,0.00346553,7,131,0,-501.862,1.89963,0.000192538,14.061,15.2953,17.5933,19.2004,20.4718,21.3534,20.7216,22.149,27.9597,26.2587,14,10,14,23,18,18,26,25,35,26
503.089,0.999054,0.00346553,7,199,0,-502.211,1.90043,0.000193595,14.1298,15.3772,17.7012,19.3274,20.6144,21.5072,20.8674,22.313,28.2028,26.4779,22,10,17,17,17,12,27,18,31,24
503.344,0.998692,0.00346553,6,127,0,-502.646,1.90013,0.00021513,15.3509,16.8641,19.719,21.7421,23.3569,24.4836,23.6756,25.5051,33.0885,30.8474,13,10,16,24,18,18,25,29,31,34
503.192,0.849941,0.00346553,2,3,0,-502.034,1.90012,0.000216843,15.4527,16.9887,19.8895,21.9472,23.5906,24.7379,23.9151,25.7784,33.5124,31.2252,27,16,11,22,28,22,36,35,30,27
503.443,0.999815,0.00346553,7,223,0,-502.418,1.90078,0.000205901,14.823,16.2186,18.8375,20.6833,22.1512,23.1729,22.4404,24.0974,30.9151,28.9081,16,20,18,23,16,23,17,19,32,33
502.631,0.857494,0.00346553,5,63,0,-501.447,1.90113,0.000194258,14.1759,15.4318,17.7726,19.4112,20.7084,21.6084,20.9634,22.4208,28.3618,26.6214,19,13,23,15,19,24,21,23,24,27
