# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:21:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/sikel5ni.json
# init = 2 (Default)
# random
#   seed = 28044
# output
#   file = /home/lab5/output/code2-20230416112144_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00364036
# Diagonal elements of inverse mass matrix:
# 1.12016e-05, 9.90113e-06
502.135,0.787307,0.00364036,6,71,0,-501.295,1.90013,0.000185378,13.6843,14.839,16.9799,18.4708,19.6469,20.4609,19.8777,21.1944,26.5239,24.9685,13,17,22,13,19,21,27,22,15,19
503.69,0.958778,0.00364036,2,3,0,-501.712,1.90012,0.000202256,14.6061,15.9558,18.4832,20.2608,21.6724,22.6539,21.9503,23.5414,30.0689,28.1503,19,20,17,16,16,18,17,31,28,31
503.536,0.960052,0.00364036,6,91,0,-503.277,1.90026,0.000211906,15.163,16.6342,19.4047,21.3643,22.9263,24.0153,23.2344,25.002,32.3095,30.1528,12,12,22,27,22,26,38,23,29,29
502.196,0.785253,0.00364036,7,155,0,-500.314,1.89876,0.00019201,14.0201,15.2473,17.5314,19.1283,20.3913,21.267,20.6394,22.0572,27.826,26.1376,12,9,22,13,18,20,24,22,25,27
499.735,0.974591,0.00364036,6,91,0,-498.594,1.89756,0.000221155,15.6721,17.2623,20.2733,22.4145,24.1275,25.3248,24.466,26.4116,34.5153,32.1144,17,18,20,27,24,26,25,31,43,27
500.927,0.999474,0.00364036,5,35,0,-499.81,1.89768,0.000201685,14.5383,15.8778,18.3852,20.1481,21.5478,22.5209,21.8233,23.4006,29.8684,27.9678,12,17,19,19,27,23,19,29,39,28
503.386,0.986882,0.00364036,7,235,0,-500.361,1.89921,0.000208358,14.9409,16.3652,19.0417,20.9309,22.4347,23.4821,22.7311,24.4304,31.4356,29.3712,15,18,14,22,29,24,23,27,23,29
503.307,0.951892,0.00364036,7,211,0,-502.259,1.89976,0.000195611,14.2307,15.5007,17.8694,19.529,20.8434,21.7557,21.1019,22.5795,28.6093,26.8419,12,14,27,14,18,24,19,23,25,25
502.074,0.769618,0.00364036,3,15,0,-500.974,1.8998,0.000185147,13.6675,14.8193,16.9545,18.4412,19.614,20.4256,19.8441,21.157,26.4696,24.9192,16,17,14,20,22,22,23,23,25,27
503.643,0.970102,0.00364036,6,79,0,-501.682,1.9001,0.000200739,14.5204,15.8517,18.3424,20.0926,21.4816,22.4471,21.755,23.3197,29.7311,27.8478,7,16,11,24,20,20,19,32,38,35
503.718,0.99952,0.00364036,7,135,0,-503.548,1.89981,0.000205742,14.7995,16.1918,18.8042,20.6453,22.1093,23.1283,22.3978,24.0503,30.8488,28.8475,13,23,23,16,19,27,25,25,37,27
503.367,0.955903,0.00364036,7,167,0,-502.709,1.90048,0.000213378,15.2528,16.7434,19.5531,21.542,23.1284,24.2348,23.4414,25.2375,32.672,30.4766,13,8,23,23,26,24,16,22,33,33
502.247,0.72346,0.00364036,1,1,0,-502.243,1.90048,0.000223446,15.8577,17.4843,20.5682,22.7643,24.5227,25.7526,24.8703,26.8694,35.211,32.7373,18,20,29,22,27,28,29,23,35,38
502.964,0.986056,0.00364036,6,111,0,-501.86,1.90003,0.000191586,14.015,15.2389,17.5163,19.1081,20.3669,21.2396,20.6142,22.027,27.7737,26.0921,17,10,15,13,15,30,21,18,21,30
502.22,0.83408,0.00364036,1,1,0,-502.112,1.90003,0.000185902,13.7106,14.8709,17.0229,18.522,19.7048,20.5236,19.9369,21.2615,26.6247,25.059,10,14,16,9,16,26,18,21,26,25
502.294,0.997756,0.00364036,5,51,0,-501.879,1.90022,0.000223747,15.872,17.5023,20.594,22.7959,24.5592,25.7926,24.9079,26.9127,35.2806,32.7988,19,14,17,22,21,25,27,34,22,34
501.363,0.997025,0.00364036,7,191,0,-499.948,1.89856,0.000223356,15.8218,17.444,20.5195,22.7094,24.4629,25.6892,24.8095,26.8029,35.12,32.6537,19,21,27,23,25,26,21,31,30,24
502.217,0.866822,0.00364036,1,3,0,-500.201,1.89856,0.000195023,14.1814,15.443,17.7954,19.4429,20.7474,21.6527,21.0039,22.4701,28.4504,26.6979,12,12,19,17,29,19,24,21,28,19
501.874,0.917205,0.00364036,1,1,0,-501.803,1.89856,0.000191519,13.9908,15.2122,17.4848,19.0731,20.3291,21.1999,20.5759,21.9856,27.7192,26.0415,13,15,26,16,21,28,14,19,21,31
501.874,0.928875,0.00364036,1,1,0,-501.479,1.89856,0.000191519,13.9908,15.2122,17.4848,19.0731,20.3291,21.1999,20.5759,21.9856,27.7192,26.0415,17,18,19,25,20,24,20,17,25,19
501.846,0.997568,0.00364036,2,3,0,-501.643,1.89856,0.000191256,13.9766,15.195,17.4617,19.0457,20.2981,21.1664,20.5442,21.9497,27.6651,25.9929,15,19,14,20,20,25,20,15,20,19
502.795,0.992117,0.00364036,7,215,0,-500.928,1.90012,0.000190145,13.9384,15.146,17.3914,18.9594,20.1987,21.0576,20.4421,21.8322,27.4801,25.8284,7,16,21,15,19,21,17,24,29,27
503.301,0.99447,0.00364036,5,59,0,-502.581,1.90028,0.000215266,15.3614,16.8766,19.7356,21.7618,23.379,24.5076,23.6982,25.5307,33.1272,30.8821,11,25,18,17,23,25,25,20,39,33
502.866,0.812066,0.00364036,2,3,0,-501.732,1.9003,0.000191028,13.9886,15.2064,17.4719,19.0549,20.3064,21.1739,20.5522,21.9566,27.6661,25.9958,16,16,24,28,17,16,17,18,31,33
503.019,0.999224,0.00364036,6,127,0,-502.432,1.89982,0.00019232,14.0518,15.2838,17.5773,19.1811,20.4496,21.3293,20.6989,22.1231,27.9197,26.223,9,9,16,25,22,24,25,17,22,26
503.162,1,0.00364036,1,1,0,-502.937,1.89982,0.000193764,14.1304,15.379,17.7054,19.3335,20.6221,21.516,20.8753,22.3228,28.221,26.4935,18,13,13,21,17,23,19,25,30,20
503.153,0.962732,0.00364036,6,115,0,-502.575,1.90001,0.000193433,14.115,15.3601,17.6793,19.3021,20.5863,21.4772,20.8387,22.2812,28.157,26.4363,19,16,10,20,17,20,17,28,24,27
503.38,0.953854,0.00364036,6,111,0,-502.043,1.90067,0.000211339,15.1359,16.6004,19.3573,21.3066,22.8601,23.9431,23.1665,24.924,32.1867,30.0438,20,16,13,21,26,30,22,30,34,35
503.372,0.610796,0.00364036,2,3,0,-500.166,1.90064,0.000198927,14.4269,15.7372,18.1859,19.9048,21.268,22.215,21.5362,23.0707,29.3492,27.5063,7,11,24,19,20,21,20,26,31,24
502.737,0.892438,0.00364036,1,3,0,-502.732,1.90064,0.000191207,14.003,15.2233,17.4936,19.0801,20.3345,21.204,20.5809,21.9885,27.7124,26.0377,12,19,20,13,21,22,18,23,25,20
503.55,0.986647,0.00364036,2,3,0,-502.608,1.90063,0.00020547,14.796,16.1861,18.7938,20.6313,22.0924,23.1092,22.3802,24.0292,30.8115,28.8152,9,18,23,11,27,19,21,28,36,24
502.466,0.771604,0.00364036,2,3,0,-502.218,1.90063,0.000221419,15.7362,17.335,20.3625,22.5159,24.2388,25.4431,24.5793,26.5363,34.6893,32.2735,16,17,14,25,20,35,27,22,30,32
503.393,0.996503,0.00364036,6,67,0,-502.189,1.90077,0.000209221,15.0141,16.4516,19.1542,21.0628,22.5826,23.6414,22.8822,24.6001,31.6871,29.5979,13,19,14,31,23,30,20,29,23,37
503.451,0.999978,0.00364036,5,63,0,-503.279,1.90071,0.000202101,14.606,15.9547,18.4798,20.2556,21.6657,22.6462,21.9434,23.5327,30.0522,28.136,16,11,18,22,30,27,19,25,30,35
502.563,0.88281,0.00364036,5,55,0,-501.791,1.90096,0.000191866,14.0432,15.2715,17.5574,19.1553,20.4191,21.2954,20.6674,22.086,27.8575,26.1685,13,11,25,17,17,27,21,28,35,21
502.609,1,0.00364036,2,3,0,-502.38,1.90096,0.000192272,14.0652,15.2981,17.5932,19.1979,20.4673,21.3475,20.7167,22.1418,27.9416,26.2439,19,11,22,16,22,18,21,21,31,25
503.036,0.999496,0.00364036,5,47,0,-502.243,1.90117,0.000208276,14.9654,16.3914,19.0711,20.9625,22.4679,23.5165,22.7647,24.4658,31.478,29.4116,14,15,21,18,24,30,25,24,27,30
502.778,0.911406,0.00364036,4,31,0,-502.087,1.90122,0.000197719,14.3681,15.6648,18.0863,19.7849,21.1314,22.0665,21.3963,22.9113,29.1038,27.2871,18,15,21,19,19,23,11,23,36,36
503.732,0.997842,0.00364036,7,135,0,-501.323,1.90007,0.000206652,14.8555,16.2595,18.8953,20.7539,22.2323,23.2616,22.5237,24.1931,31.0661,29.0422,19,17,18,26,21,21,30,31,29,25
503.033,0.825601,0.00364036,2,3,0,-502.874,1.90007,0.000192236,14.0508,15.2822,17.5744,19.1771,20.4449,21.324,20.694,22.1172,27.9093,26.214,14,21,14,29,25,23,19,27,26,24
503.405,0.899789,0.00364036,2,3,0,-502.205,1.90007,0.000214412,15.3075,16.8111,19.6469,21.6555,23.2583,24.3764,23.5746,25.39,32.9106,30.6887,10,20,19,22,27,28,26,19,19,34
503.728,0.99969,0.00364036,3,15,0,-503.437,1.90008,0.000204079,14.7087,16.0808,18.6527,20.4635,21.9025,22.9036,22.1859,23.8091,30.478,28.5163,14,16,20,24,28,30,18,17,32,27
501.584,0.984242,0.00364036,7,135,0,-499.933,1.90204,0.00021033,15.0977,16.5512,19.2858,21.2181,22.7575,23.8303,23.0611,24.8019,31.9899,29.87,12,19,17,18,27,25,28,19,34,34
