# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:22:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/xdtvvd3o.json
# init = 2 (Default)
# random
#   seed = 61061
# output
#   file = /home/lab5/output/code2-20230416112222_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.000917276
# Diagonal elements of inverse mass matrix:
# 1.39695, 3.17964e-05
502.416,0.984619,0.000917276,2,7,0,-502.298,1.89902,0.000191327,13.9867,15.2065,17.4758,19.0616,20.3156,21.1849,20.562,21.9692,27.6921,26.0176,11,14,17,17,16,18,12,23,29,21
503.671,0.895959,0.000917276,2,7,0,-501.521,1.89965,0.00020521,14.7667,16.1521,18.7509,20.5818,22.0374,23.0504,22.3242,23.9669,30.7219,28.7339,20,20,21,37,21,17,26,33,31,26
503.642,0.997941,0.000917276,2,3,0,-503.604,1.9003,0.000209173,15.0043,16.4404,19.1406,21.0474,22.5657,23.6234,22.865,24.5812,31.6609,29.5739,19,18,17,25,20,27,18,24,26,34
503.311,0.982663,0.000917276,2,7,0,-503.177,1.89964,0.000196142,14.2583,15.5344,17.9152,19.5837,20.9055,21.8231,21.1655,22.6517,28.7192,26.9403,13,19,20,14,23,21,18,24,29,21
503.003,0.995824,0.000917276,2,3,0,-502.859,1.89976,0.000192304,14.0501,15.2818,17.5748,19.1782,20.4465,21.326,20.6957,22.1196,27.9146,26.2184,17,14,14,18,24,18,28,22,19,22
503.473,0.85225,0.000917276,2,7,0,-502.093,1.90073,0.000207211,14.8974,16.3093,18.9609,20.8312,22.3193,23.3555,22.6126,24.2933,31.2159,29.1769,12,15,21,23,17,26,19,31,29,26
502.302,0.957975,0.000917276,2,3,0,-501.907,1.89927,0.000222123,15.7577,17.364,20.4071,22.5723,24.3052,25.5168,24.6478,26.6167,34.8241,32.3916,14,13,28,29,21,24,38,18,43,38
500.215,0.649352,0.000917276,3,7,0,-499.015,1.90267,0.000203255,14.6999,16.0653,18.6236,20.4239,21.8542,22.8489,22.1358,23.7486,30.3702,28.4231,18,13,16,18,15,27,15,13,33,24
503.683,0.94505,0.000917276,1,3,0,-500.445,1.89975,0.000203363,14.6632,16.026,18.5794,20.3765,21.8042,22.7972,22.0853,23.6953,30.306,28.362,18,14,23,18,24,22,16,18,35,23
503.139,0.976709,0.000917276,2,7,0,-502.948,1.90008,0.000193296,14.1086,15.3522,17.6685,19.2891,20.5715,21.4611,20.8236,22.2639,28.1305,26.4126,15,6,19,11,22,21,11,18,22,29
503.166,0.966412,0.000917276,2,3,0,-502.661,1.90016,0.000193651,14.129,15.3768,17.7014,19.3281,20.6155,21.5086,20.8686,22.3148,28.2069,26.4812,12,15,12,21,20,12,28,23,29,23
503.326,0.990681,0.000917276,2,3,0,-503.074,1.8997,0.000196084,14.2559,15.5314,17.911,19.5786,20.8997,21.8167,21.1594,22.6448,28.7085,26.9308,6,13,18,18,17,19,24,18,22,25
503.624,0.992003,0.000917276,2,7,0,-502.734,1.90023,0.000210199,15.0627,16.5119,19.2381,21.1645,22.699,23.7683,23.0016,24.7368,31.9008,29.7881,14,12,14,20,35,24,25,31,42,29
