# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:50:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/cy5gjyf_.json
# init = 2 (Default)
# random
#   seed = 59305
# output
#   file = /home/lab5/output/code4-20230416105019_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 3.06928e-22
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.04543e-05
-8.00275e+34,1,3.06928e-22,1,1,0,8.00284e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45038e+17,1.17668e+20,7.51561e+22,5.82908e+24,3.84543e+26,1.27961e+27,2.89053e+26,9.41151e+27,7.97833e+34,2.44194e+32,0,0,0,0,0,0,0,0,0,0
-8.00242e+34,1,3.06928e-22,2,3,0,8.00275e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45034e+17,1.17666e+20,7.5154e+22,5.8289e+24,3.8453e+26,1.27956e+27,2.89044e+26,9.41117e+27,7.978e+34,2.44185e+32,0,0,0,0,0,0,0,0,0,0
-8.00107e+34,1,3.06928e-22,3,7,0,8.00242e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45022e+17,1.17654e+20,7.51454e+22,5.82818e+24,3.8448e+26,1.27939e+27,2.89005e+26,9.40985e+27,7.97666e+34,2.44145e+32,0,0,0,0,0,0,0,0,0,0
-8.00099e+34,1,3.06928e-22,1,1,0,8.00107e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45021e+17,1.17653e+20,7.51449e+22,5.82813e+24,3.84477e+26,1.27938e+27,2.89003e+26,9.40977e+27,7.97657e+34,2.44143e+32,0,0,0,0,0,0,0,0,0,0
-8.0009e+34,1,3.06928e-22,1,1,0,8.00099e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.4502e+17,1.17653e+20,7.51444e+22,5.82809e+24,3.84473e+26,1.27937e+27,2.89001e+26,9.40968e+27,7.97649e+34,2.44141e+32,0,0,0,0,0,0,0,0,0,0
-8.00082e+34,1,3.06928e-22,1,1,0,8.0009e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45019e+17,1.17652e+20,7.51438e+22,5.82804e+24,3.8447e+26,1.27936e+27,2.88998e+26,9.4096e+27,7.9764e+34,2.44138e+32,0,0,0,0,0,0,0,0,0,0
-8.00074e+34,1,3.06928e-22,1,1,0,8.00082e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45019e+17,1.17651e+20,7.51433e+22,5.828e+24,3.84467e+26,1.27935e+27,2.88996e+26,9.40952e+27,7.97632e+34,2.44136e+32,0,0,0,0,0,0,0,0,0,0
-8.0004e+34,1,3.06928e-22,2,3,0,8.00074e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105684,1.45015e+17,1.17648e+20,7.51412e+22,5.82782e+24,3.84454e+26,1.2793e+27,2.88986e+26,9.40919e+27,7.97599e+34,2.44126e+32,0,0,0,0,0,0,0,0,0,0
-7.91498e+34,1,3.06928e-22,6,63,0,8.0004e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.010567,1.44209e+17,1.1692e+20,7.45976e+22,5.78186e+24,3.81239e+26,1.2682e+27,2.86543e+26,9.32499e+27,7.89081e+34,2.41633e+32,0,0,0,0,0,0,0,0,0,0
-7.91489e+34,1,3.06928e-22,1,1,0,7.91498e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.010567,1.44208e+17,1.16919e+20,7.4597e+22,5.78182e+24,3.81236e+26,1.26819e+27,2.86541e+26,9.32491e+27,7.89073e+34,2.4163e+32,0,0,0,0,0,0,0,0,0,0
-7.90963e+34,1,3.06928e-22,4,15,0,7.91489e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105669,1.44158e+17,1.16874e+20,7.45635e+22,5.77898e+24,3.81038e+26,1.26751e+27,2.8639e+26,9.31972e+27,7.88549e+34,2.41477e+32,0,0,0,0,0,0,0,0,0,0
-7.90955e+34,1,3.06928e-22,1,1,0,7.90963e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105669,1.44157e+17,1.16874e+20,7.4563e+22,5.77894e+24,3.81035e+26,1.2675e+27,2.86388e+26,9.31964e+27,7.8854e+34,2.41474e+32,0,0,0,0,0,0,0,0,0,0
-7.90922e+34,1,3.06928e-22,2,3,0,7.90955e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105669,1.44154e+17,1.16871e+20,7.45609e+22,5.77876e+24,3.81023e+26,1.26746e+27,2.86379e+26,9.31932e+27,7.88508e+34,2.41465e+32,0,0,0,0,0,0,0,0,0,0
-7.90914e+34,1,3.06928e-22,1,1,0,7.90922e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105669,1.44153e+17,1.1687e+20,7.45603e+22,5.77872e+24,3.8102e+26,1.26744e+27,2.86376e+26,9.31924e+27,7.88499e+34,2.41462e+32,0,0,0,0,0,0,0,0,0,0
-7.88816e+34,1,3.06928e-22,5,31,0,7.90914e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105665,1.43954e+17,1.16691e+20,7.44265e+22,5.76741e+24,3.80229e+26,1.26471e+27,2.85775e+26,9.29853e+27,7.86407e+34,2.4085e+32,0,0,0,0,0,0,0,0,0,0
-7.88685e+34,1,3.06928e-22,3,7,0,7.88816e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105665,1.43942e+17,1.16679e+20,7.44181e+22,5.7667e+24,3.80179e+26,1.26454e+27,2.85738e+26,9.29724e+27,7.86277e+34,2.40811e+32,0,0,0,0,0,0,0,0,0,0
-7.80383e+34,1,3.06928e-22,6,63,0,7.88685e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105651,1.43152e+17,1.15967e+20,7.38874e+22,5.72187e+24,3.77045e+26,1.25373e+27,2.83357e+26,9.21522e+27,7.77999e+34,2.38387e+32,0,0,0,0,0,0,0,0,0,0
-7.80375e+34,1,3.06928e-22,1,1,0,7.80383e+34,-1.31011,0.770113,-0.453691,-0.900715,-0.230809,-1.34304,-1.18207,-1.35567,1.80941,-0.534381,0.0105651,1.43152e+17,1.15966e+20,7.38868e+22,5.72183e+24,3.77042e+26,1.25372e+27,2.83354e+26,9.21514e+27,7.77991e+34,2.38384e+32,0,0,0,0,0,0,0,0,0,0
