# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000867298
# Diagonal elements of inverse mass matrix:
# 1.66476, 3.11471e-05
503.707,0.996928,0.000867298,2,7,0,-503.424,1.89981,0.000207103,14.8775,16.2868,18.9332,20.7998,22.2849,23.3189,22.5775,24.2548,31.1623,29.1278,13,13,12,17,18,22,19,17,36,22
502.396,0.7224,0.000867298,2,3,0,-502.283,1.8984,0.000208931,14.9619,16.3922,19.0811,20.9797,22.4913,23.5443,22.7893,24.4978,31.5442,29.4672,21,18,27,30,23,22,16,26,36,20
503.191,1,0.000867298,2,3,0,-502.578,1.89901,0.000208742,14.96,16.3888,19.0745,20.9706,22.4802,23.5317,22.7777,24.4837,31.5189,29.4454,13,15,17,18,26,27,18,26,31,32
502.473,0.999735,0.000867298,2,3,0,-502.338,1.90081,0.000220362,15.675,17.2596,20.2584,22.39,24.0948,25.2861,24.4316,26.3673,34.4242,32.038,4,12,13,19,21,31,27,32,36,32
503.48,0.977659,0.000867298,2,3,0,-502.4,1.89994,0.000213363,15.2437,16.7333,19.5411,21.5286,23.1139,24.2196,23.4267,25.2216,32.6508,30.4569,9,11,26,18,18,31,22,11,25,24
503.235,0.959678,0.000867298,2,3,0,-503.131,1.90054,0.000214809,15.3381,16.8477,19.6953,21.7128,23.3229,24.4462,23.6406,25.4646,33.0232,30.7897,13,15,22,16,28,25,23,29,20,32
503.391,0.964596,0.000867298,3,7,0,-502.967,1.89919,0.000207224,14.8753,16.2852,18.9331,20.8008,22.2868,23.3216,22.5797,24.2581,31.1711,29.1349,7,14,20,30,34,27,27,20,26,34
503.528,1,0.000867298,2,7,0,-503.33,1.90061,0.00020252,14.6281,15.9818,18.5168,20.3001,21.7163,22.7012,21.9952,23.5917,30.1427,28.2169,15,18,24,24,26,21,18,19,29,31
502.899,0.80999,0.000867298,2,7,0,-501.885,1.89873,0.000207806,14.9019,16.3185,18.9798,20.8576,22.3521,23.3928,22.6466,24.3349,31.2918,29.2422,17,25,22,15,25,24,19,22,29,36
501.969,0.88706,0.000867298,2,5,0,-501.547,1.89814,0.000203964,14.6737,16.0416,18.6057,20.4109,21.8454,22.8433,22.1279,23.7459,30.3928,28.4376,19,17,21,21,16,26,17,22,31,35
503.578,0.955165,0.000867298,2,3,0,-501.592,1.90033,0.000200223,14.4948,15.8202,18.2991,20.0404,21.4222,22.3824,21.6941,23.2503,29.6241,27.7522,11,14,16,23,31,19,27,23,37,26
503.129,0.870945,0.000867298,1,3,0,-502.914,1.899,0.000200874,14.512,15.8435,18.3346,20.0853,21.4748,22.4406,21.7483,23.3136,29.7282,27.8438,10,14,23,19,27,24,22,29,32,24
501.98,0.971808,0.000867298,2,3,0,-501.704,1.90118,0.000188876,13.8851,15.0797,17.2993,18.8482,20.0717,20.9194,20.312,21.6837,27.2513,25.624,19,16,13,25,21,20,21,21,30,30
502.817,0.852838,0.000867298,3,7,0,-501.185,1.8995,0.000219246,15.5871,17.1544,20.1186,22.2243,23.9075,25.0834,24.24,26.1504,34.095,31.7432,15,14,20,24,26,26,33,20,39,35
502.977,1,0.000867298,1,1,0,-502.823,1.89963,0.000218349,15.5353,17.0906,20.0308,22.1182,23.7863,24.9514,24.1158,26.0083,33.873,31.5457,22,18,35,22,28,22,28,39,30,25
502.784,0.995354,0.000867298,2,3,0,-502.676,1.9004,0.0002199,15.6406,17.2182,20.203,22.3241,24.0202,25.2052,24.3552,26.2806,34.292,31.9197,14,17,15,25,24,18,22,26,35,30
503.7,0.959587,0.000867298,2,7,0,-501.849,1.9002,0.000203174,14.6591,16.0202,18.5702,20.3646,21.7901,22.7815,22.0708,23.6781,30.2771,28.3367,13,12,18,19,14,23,19,17,22,23
503.465,0.944699,0.000867298,2,5,0,-502.667,1.90064,0.000209705,15.0403,16.4837,19.1985,21.1161,22.6434,23.7075,22.9445,24.6712,31.7972,29.6961,17,22,20,24,26,26,13,26,22,28
503.109,0.833436,0.000867298,2,3,0,-502.019,1.9001,0.000217701,15.5036,17.051,19.9749,22.05,23.7079,24.8656,24.0353,25.9157,33.7259,31.4153,18,13,25,17,28,29,27,19,26,30
502.736,0.950016,0.000867298,2,3,0,-502.281,1.90013,0.000220823,15.6923,17.2821,20.2916,22.4314,24.143,25.3393,24.4813,26.4251,34.519,32.1213,17,16,13,18,26,26,18,24,36,27
502.547,0.84446,0.000867298,2,3,0,-501.912,1.89888,0.000217042,15.4453,16.982,19.8846,21.9437,23.5884,24.7367,23.9132,25.7781,33.5201,31.2303,14,10,17,14,27,30,22,35,29,38
