# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:42:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/yvy7vqyh.json
# init = 2 (Default)
# random
#   seed = 45430
# output
#   file = /home/lab5/output/code2-20230416104223_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00321359
# Diagonal elements of inverse mass matrix:
# 1.07168e-05, 9.90111e-06
503.434,0.995569,0.00321359,6,119,0,-503.254,1.90009,0.000213997,15.2833,16.7816,19.6064,21.6069,23.2028,24.3161,23.5177,25.3251,32.81,30.5991,12,19,15,27,21,18,33,23,23,39
503.434,0.557531,0.00321359,2,3,0,-499.235,1.90009,0.000213997,15.2833,16.7816,19.6064,21.6069,23.2028,24.3161,23.5177,25.3251,32.81,30.5991,12,25,19,29,27,28,24,24,35,33
503.703,1,0.00321359,2,3,0,-503.486,1.90009,0.000202643,14.6274,15.9819,18.5186,20.3031,21.7205,22.7061,21.9995,23.5974,30.1545,28.2268,16,19,21,23,28,18,20,28,22,23
503.061,0.951878,0.00321359,7,207,0,-502.332,1.89932,0.000215768,15.3763,16.8967,19.7664,21.8007,23.4247,24.5582,23.7453,25.5859,33.219,30.9626,17,9,14,18,23,24,22,28,37,31
503.24,0.985885,0.00321359,2,3,0,-502.802,1.89933,0.000197575,14.333,15.6255,18.0391,19.7319,21.0738,22.0057,21.3378,22.8474,29.0177,27.2076,13,19,9,13,20,21,27,21,24,28
503.427,0.973372,0.00321359,2,3,0,-502.935,1.89932,0.000209815,15.0268,16.4698,19.1837,21.1009,22.628,23.692,22.929,24.6555,31.7812,29.6801,9,21,24,25,12,19,14,37,29,27
503.464,0.980037,0.00321359,2,7,0,-503.295,1.89932,0.000202706,14.6198,15.974,18.5103,20.2946,21.7118,22.6974,21.9909,23.5886,30.1456,28.2179,17,14,19,22,19,26,27,21,28,30
503.372,0.991466,0.00321359,5,35,0,-503.304,1.89927,0.00020108,14.5274,15.8617,18.3585,20.1134,21.5063,22.4745,21.7805,23.3498,29.7817,27.8921,11,15,23,23,21,25,17,29,30,29
503.602,0.99734,0.00321359,7,239,0,-501.986,1.90013,0.000199832,14.4701,15.7905,18.2595,19.9936,21.3693,22.3253,21.64,23.1892,29.5323,27.6697,12,8,16,22,18,20,26,25,24,37
503.66,0.9652,0.00321359,2,7,0,-503.341,1.90013,0.000209659,15.03,16.4721,19.1843,21.1001,22.6258,23.6889,22.9267,24.6516,31.7703,29.6714,18,18,19,19,24,22,12,21,35,34
503.401,0.995525,0.00321359,7,159,0,-503.318,1.90065,0.00021119,15.1269,16.5894,19.3424,21.2887,22.8398,23.921,23.1457,24.9003,32.1503,30.0113,21,16,16,21,18,26,26,25,33,24
503.401,0.564571,0.00321359,1,3,0,-500.617,1.90065,0.00021119,15.1269,16.5894,19.3424,21.2887,22.8398,23.921,23.1457,24.9003,32.1503,30.0113,17,16,20,24,22,25,34,25,24,27
503.35,0.964419,0.00321359,7,175,0,-502.217,1.89956,0.000197176,14.3142,15.6023,18.0071,19.6935,21.0299,21.9579,21.2928,22.7961,28.9386,27.1369,17,15,20,12,31,19,24,20,26,33
502.59,0.857739,0.00321359,4,31,0,-501.287,1.89946,0.00018982,13.9117,15.1149,17.3516,18.9132,20.1473,21.0025,20.3897,21.7738,27.3958,25.7519,3,17,16,9,14,17,19,17,23,25
