# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:26:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/lftp9qwk.json
# init = 2 (Default)
# random
#   seed = 52033
# output
#   file = /home/lab5/output/code2-20230416112658_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00403208
# Diagonal elements of inverse mass matrix:
# 1.12613e-05, 9.90112e-06
503.704,0.999991,0.00403208,5,59,0,-503.677,1.90027,0.000206139,14.829,16.2269,18.8504,20.6997,22.1705,23.1943,22.4603,24.1208,30.954,28.9422,8,5,17,16,17,24,27,25,26,34
503.476,0.999273,0.00403208,6,103,0,-502.975,1.90074,0.000205714,14.8116,16.2048,18.8189,20.6612,22.1262,23.1458,22.4148,24.0684,30.8708,28.8684,18,13,9,29,16,29,27,22,23,24
503.719,0.973286,0.00403208,7,195,0,-503.054,1.90022,0.000205623,14.7987,16.19,18.8005,20.6401,22.1029,23.1209,22.3911,24.0421,30.8338,28.8346,17,13,14,26,25,33,25,18,39,29
503.373,0.985433,0.00403208,7,167,0,-502.757,1.89927,0.000210175,15.0469,16.4944,19.2175,21.1415,22.6742,23.7422,22.9764,24.7095,31.8648,29.7546,17,20,14,17,28,25,20,22,25,32
503.384,1,0.00403208,1,1,0,-503.352,1.89927,0.000209873,15.0294,16.473,19.1883,21.1066,22.6344,23.699,22.9357,24.6631,31.7933,29.6908,19,17,18,11,18,22,17,26,32,21
503.636,0.999603,0.00403208,7,155,0,-503.255,1.89981,0.000209978,15.0436,16.4894,19.2088,21.1301,22.6605,23.7268,22.9622,24.6926,31.8353,29.729,21,20,16,18,14,30,27,35,28,38
503.559,0.998739,0.00403208,6,103,0,-503.333,1.89962,0.000210466,15.0691,16.5208,19.2522,21.1825,22.7204,23.7921,23.0236,24.7628,31.9447,29.8264,23,14,18,20,20,24,16,24,26,33
503.499,0.999989,0.00403208,7,187,0,-501.22,1.90062,0.000201665,14.58,15.9233,18.4376,20.2053,21.6088,22.5846,21.8851,23.4667,29.952,28.0462,14,20,21,17,14,16,19,17,25,31
502.991,0.960863,0.00403208,7,171,0,-501.646,1.89887,0.000210493,15.0595,16.5105,19.2406,21.17,22.7072,23.7784,23.0103,24.7487,31.9275,29.8101,14,15,19,29,26,23,20,28,28,33
501.864,0.566501,0.00403208,6,91,0,-497.935,1.90011,0.00018369,13.595,14.7313,16.836,18.3002,19.4546,20.2531,19.681,20.9725,26.1926,24.6701,9,8,21,11,19,25,14,27,26,17
499.738,0.729786,0.00403208,6,107,0,-497.531,1.90068,0.000174092,13.1076,14.1437,16.0521,17.3723,18.4091,19.1246,18.6122,19.7677,24.4029,23.0565,17,8,21,10,19,17,15,14,29,17
502.984,0.784081,0.00403208,2,3,0,-498.755,1.90069,0.000216621,15.4483,16.9821,19.8786,21.933,23.5735,24.7188,23.8975,25.7574,33.4762,31.1937,10,15,18,24,27,20,17,30,29,32
502.826,0.998782,0.00403208,7,167,0,-502.406,1.89913,0.000194243,14.1469,15.4002,17.736,19.3711,20.6655,21.5635,20.9199,22.3742,28.3023,26.5657,13,14,19,21,18,25,15,33,22,33
502.578,0.998828,0.00403208,5,55,0,-502.092,1.89883,0.000195091,14.1889,15.4517,17.8062,19.4553,20.7612,21.6674,21.0179,22.4856,28.4724,26.718,18,13,19,23,19,25,19,23,29,20
502.127,0.746725,0.00403208,4,31,0,-500.165,1.89875,0.000191502,13.9925,15.2138,17.4864,19.0748,20.3308,21.2016,20.5776,21.9872,27.7207,26.043,14,17,15,18,25,20,29,23,38,20
