# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 10:58:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/1eo8mrs8.json
# init = 2 (Default)
# random
#   seed = 63435
# output
#   file = /home/lab5/output/code4-20230416105829_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000617928
# Diagonal elements of inverse mass matrix:
# 0.00442187, 0.558161, 0.608633, 2.37915, 0.0654713, 0.199349, 0.012124, 0.432517, 0.0607415, 3.1935e-05, 1.02388e-05
502.73,0.956411,0.000617928,8,319,0,-494.082,1.99903,2.00012,2.00012,1.9996,1.99978,1.99986,2.00004,1.99999,2.00056,2.00107,0.000178362,14.7029,15.9121,18.1151,19.6328,20.8379,21.6697,21.0789,22.4198,27.8358,26.277,12,15,21,15,22,19,29,28,25,34
500.147,0.850689,0.000617928,5,31,0,-498.474,1.99898,1.99998,1.99997,1.99868,1.99835,2.0007,2.00024,1.9997,2.00021,2.00108,0.00017563,14.5478,15.724,17.8652,19.3231,20.4802,21.3335,20.7473,22.0353,27.2667,25.7717,20,12,12,18,16,23,19,20,30,29
496.117,0.866558,0.000617928,5,47,0,-489.663,2.00075,1.99724,2.00079,1.9986,2.0019,2.00049,2.00059,2.0002,1.99983,2.00114,0.000182351,14.9568,16.1408,18.4944,20.0468,21.3721,22.2116,21.5908,22.9881,28.6526,27.0345,14,18,23,22,14,27,23,24,40,19
498.023,1,0.000617928,5,31,0,-493.304,2.00021,2.00194,1.99932,2.00141,1.99804,2.0004,1.99955,2.00013,2.00044,2.00115,0.000177323,14.6612,15.8699,18.0064,19.5567,20.6765,21.5461,20.9404,22.2782,27.6185,26.0857,20,9,32,19,19,23,23,18,32,25
498.724,0.97142,0.000617928,6,79,0,-494.246,2.00047,1.99852,1.99974,1.99818,1.99849,1.99993,2.00027,2.00014,2.00053,2.00103,0.000201052,16.0728,17.5147,20.2961,22.2012,23.7457,24.8505,24.0914,25.8236,32.9485,30.8737,13,13,18,23,25,23,23,23,36,31
499.829,0.995556,0.000617928,4,23,0,-496.616,2.00059,2.00204,2.00059,1.99964,1.99947,1.99989,2.00046,1.99903,2.00058,2.00102,0.000199352,15.9696,17.4485,20.1406,22.0274,23.5353,24.5959,23.8563,25.5235,32.5365,30.5029,13,15,25,26,21,24,26,26,33,39
499.768,0.959354,0.000617928,5,47,0,-494.122,1.99984,1.99983,1.99826,2.00078,2.00118,2.00022,2.00059,2.0014,1.99968,2.00104,0.000194964,15.6895,17.0846,19.6553,21.5284,22.9817,23.9611,23.252,24.8949,31.4642,29.5668,6,25,17,20,18,31,25,20,28,42
500.038,0.966698,0.000617928,7,175,0,-496.488,2.00102,1.99983,1.99901,1.99898,1.99909,2.00082,1.9999,1.99855,2.00017,2.00123,0.000179884,14.819,16.0119,18.234,19.7851,21.0087,21.8908,21.2653,22.6004,28.1416,26.5669,19,18,15,15,20,25,14,17,44,31
499.843,0.994636,0.000617928,6,63,0,-497.127,2.00106,1.99848,1.99955,2.00091,2.00036,2.00084,1.99974,2.00145,2.00012,2.00118,0.000182085,14.9461,16.1424,18.4469,20.0638,21.3063,22.1838,21.5386,22.9786,28.6043,26.9843,10,16,26,19,19,22,24,23,25,20
492.621,0.989387,0.000617928,5,31,0,-489.072,2.00156,2.00109,1.99852,2,2.0013,1.99841,2.0029,2.00154,1.99985,2.00115,0.000173625,14.4729,15.6063,17.6606,19.1372,20.3027,21.0288,20.5589,21.8022,26.8538,25.409,13,15,12,17,22,28,25,28,24,25
