# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:24:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/swep1uh1.json
# init = 2 (Default)
# random
#   seed = 7856
# output
#   file = /home/lab5/output/code2-20230416112439_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00373827
# Diagonal elements of inverse mass matrix:
# 1.08983e-05, 9.9011e-06
502.32,0.998505,0.00373827,7,251,0,-500.987,1.90166,0.000209249,15.0291,16.4682,19.174,21.0848,22.6064,23.6665,22.9064,24.6263,31.7219,29.6301,8,8,26,23,16,29,28,23,43,28
503.1,0.969451,0.00373827,6,99,0,-500.93,1.90087,0.000197201,14.3344,15.6245,18.033,19.7219,21.0605,21.99,21.3238,22.8295,28.9818,27.1772,12,19,16,14,22,18,22,19,30,21
501.943,0.621785,0.00373827,2,3,0,-500.26,1.90089,0.000186487,13.7535,14.9213,17.0878,18.5976,19.7891,20.614,20.023,21.3575,26.7639,25.1852,15,15,15,21,13,29,16,20,28,25
502.852,1,0.00373827,1,1,0,-502.157,1.90089,0.000194194,14.1691,15.4241,17.7628,19.4,20.696,21.5951,20.9507,22.4068,28.3418,26.6032,12,10,14,25,19,27,20,15,35,24
502.554,0.869284,0.00373827,2,3,0,-501.486,1.90091,0.000219035,15.5964,17.163,20.1257,22.2299,23.9119,25.0869,24.2442,26.153,34.0897,31.7404,18,19,18,26,20,32,30,20,37,47
502.554,0.504071,0.00373827,1,1,0,-500.967,1.90091,0.000219035,15.5964,17.163,20.1257,22.2299,23.9119,25.0869,24.2442,26.153,34.0897,31.7404,13,14,18,25,25,19,31,17,43,22
503.33,0.91547,0.00373827,2,3,0,-502.095,1.90092,0.000205605,14.8081,16.2002,18.8121,20.6527,22.1162,23.1348,22.4045,24.0564,30.8515,28.8514,17,11,15,12,24,25,22,24,24,29
503.322,0.950218,0.00373827,2,3,0,-503.06,1.90092,0.000206913,14.883,16.2915,18.9361,20.8011,22.2849,23.3179,22.5773,24.2529,31.1527,29.1206,19,19,20,24,21,29,21,19,38,36
503.676,0.999444,0.00373827,7,159,0,-502.719,1.89967,0.000205107,14.7611,16.1452,18.7415,20.5705,22.0245,23.0364,22.311,23.9519,30.6988,28.7133,11,18,19,25,22,21,16,22,32,42
501.839,0.820174,0.00373827,7,167,0,-499.354,1.9019,0.000199605,14.483,15.803,18.271,20.004,21.3789,22.3341,21.6494,23.1974,29.5346,27.674,14,13,14,20,18,24,22,23,22,31
501.44,0.926985,0.00373827,4,31,0,-501.003,1.90179,0.000191693,14.0454,15.2727,17.5566,19.153,20.4155,21.2908,20.6635,22.0805,27.8447,26.1579,11,12,16,19,23,18,24,27,29,32
500.552,0.796185,0.00373827,1,1,0,-500.49,1.90179,0.00018497,13.6854,14.8375,16.9731,18.46,19.6328,20.4445,19.863,21.1757,26.4874,24.9374,17,12,18,21,21,15,20,22,27,28
503.091,0.966494,0.00373827,7,131,0,-500.176,1.89923,0.000196445,14.2692,15.5482,17.9352,19.6082,20.9338,21.8541,21.1945,22.6852,28.7722,26.9874,9,14,15,28,25,21,20,22,38,26
503.379,0.895546,0.00373827,2,3,0,-502.266,1.89922,0.00020894,14.9746,16.4063,19.0976,20.9979,22.5109,23.5649,22.8092,24.5192,31.572,29.4931,14,24,17,18,8,17,25,31,33,35
503.292,0.959948,0.00373827,5,35,0,-503.008,1.89914,0.000201702,14.5606,15.9022,18.4137,20.1796,21.5815,22.5562,21.8575,23.4374,29.916,28.0121,13,7,16,26,23,27,14,17,28,30
502.191,0.734031,0.00373827,2,3,0,-501.787,1.89913,0.00022213,15.7559,17.3621,20.4049,22.57,24.3028,25.5143,24.6453,26.6142,34.821,32.3886,22,16,21,28,31,16,15,39,21,36
502.997,0.59732,0.00373827,2,3,0,-499.226,1.89911,0.000214538,15.3003,16.8041,19.6405,21.6497,23.253,24.3716,23.5694,25.3856,32.9098,30.6868,9,20,16,16,25,25,12,26,33,33
503.528,0.999756,0.00373827,7,191,0,-502.246,1.90063,0.000202971,14.6538,16.013,18.5591,20.3505,21.7736,22.7633,22.0538,23.6582,30.2443,28.3078,13,17,24,19,24,20,28,18,29,32
503.176,0.903141,0.00373827,1,3,0,-503.023,1.90063,0.000214887,15.3441,16.8549,19.7048,21.7241,23.3356,24.46,23.6536,25.4793,33.0453,30.8096,18,13,20,20,20,26,30,30,28,27
