# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:42:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/yvy7vqyh.json
# init = 2 (Default)
# random
#   seed = 45430
# output
#   file = /home/lab5/output/code2-20230416104223_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00365251
# Diagonal elements of inverse mass matrix:
# 1.09372e-05, 9.90112e-06
501.807,0.963965,0.00365251,2,3,0,-501.775,1.89831,0.000216394,15.398,16.9252,19.8087,21.8536,23.4865,24.6263,23.8089,25.6599,33.3403,31.0694,19,16,21,30,24,16,20,24,29,31
502.524,0.964999,0.00365251,7,171,0,-498.68,1.90108,0.000192649,14.0875,15.3248,17.6287,19.24,20.5148,21.3988,20.7653,22.1966,28.0235,26.3177,16,15,22,21,14,31,22,27,28,23
502.606,1,0.00365251,2,3,0,-502.379,1.9011,0.000216748,15.4622,16.9983,19.8994,21.9572,23.6006,24.7478,23.925,25.7883,33.5214,31.2346,12,20,25,26,30,24,22,26,46,16
502.837,0.816138,0.00365251,2,3,0,-501.198,1.90111,0.000213888,15.2924,16.7907,19.6156,21.6159,23.2116,24.3248,23.5265,25.3337,32.8167,30.6064,21,24,20,22,30,29,23,20,39,42
502.795,0.573447,0.00365251,2,3,0,-499.418,1.90112,0.000196206,14.2829,15.5616,17.9474,19.6195,20.9442,21.8638,21.2047,22.6942,28.7754,26.9924,16,14,30,24,22,20,24,19,26,17
503.067,0.865035,0.00365251,2,3,0,-501.712,1.90111,0.000209485,15.0346,16.4759,19.1862,21.1006,22.6251,23.6872,22.9256,24.649,31.7602,29.6637,13,18,21,23,22,24,23,32,34,32
502.948,0.978629,0.00365251,6,87,0,-502.294,1.90106,0.000197524,14.3549,15.6491,18.0656,19.7605,21.104,22.0369,21.3683,22.8797,29.0568,27.2447,13,10,12,16,21,17,14,16,25,31
503.174,0.982774,0.00365251,2,3,0,-502.825,1.90106,0.000203084,14.6666,16.0277,18.5777,20.372,21.7973,22.7886,22.078,23.6851,30.2828,28.3428,15,15,15,23,18,28,25,17,35,19
503.718,0.992364,0.00365251,7,191,0,-502.632,1.89982,0.000204751,14.7431,16.1231,18.7109,20.5337,21.9825,22.9907,22.2679,23.9027,30.6227,28.6454,21,22,16,33,28,24,18,15,32,30
503.706,0.919215,0.00365251,7,179,0,-501.966,1.90027,0.000205525,14.7939,16.1841,18.7923,20.6302,22.0915,23.1086,22.3795,24.0288,30.8131,28.8162,16,22,14,26,22,25,25,32,34,32
502.599,0.859096,0.00365251,6,107,0,-502.307,1.89997,0.000188588,13.8528,15.0428,17.2533,18.7956,20.0138,20.8577,20.253,21.6186,27.1601,25.5406,15,9,18,13,20,14,22,25,26,29
502.416,0.933819,0.00365251,2,3,0,-501.553,1.89995,0.000223128,15.8297,17.451,20.5244,22.7124,24.4643,25.6894,24.8106,26.8019,35.1091,32.6459,12,15,22,24,28,24,29,31,31,36
503.627,0.998978,0.00365251,6,99,0,-502.187,1.89972,0.000201533,14.5594,15.8998,18.4087,20.1724,21.5727,22.5461,21.8483,23.4262,29.8955,27.9945,12,14,26,16,17,24,23,25,33,27
503.168,0.911226,0.00365251,1,3,0,-503.149,1.89971,0.00019413,14.1489,15.4016,17.7361,19.3702,20.6638,21.5613,20.9181,22.3714,28.2948,26.5597,11,19,18,19,20,22,15,15,24,36
502.086,0.764391,0.00365251,1,1,0,-502.042,1.89972,0.000185371,13.6782,14.8324,16.9722,18.4624,19.6379,20.4516,19.8686,21.1847,26.5115,24.9569,17,11,25,20,16,12,22,15,29,34
503.605,0.920822,0.00365251,1,3,0,-501.708,1.89972,0.000210195,15.0549,16.5033,19.2281,21.1534,22.6871,23.7558,22.9895,24.7238,31.8839,29.7723,11,13,14,21,20,18,24,27,37,22
503.649,0.888491,0.00365251,6,111,0,-502.409,1.89987,0.000201141,14.5396,15.8755,18.3752,20.1322,21.5269,22.4963,21.8014,23.3727,29.8131,27.9209,20,22,15,20,16,15,19,39,31,27
503.61,0.999656,0.00365251,7,207,0,-503.371,1.9003,0.000210071,15.0565,16.5041,19.2273,21.1513,22.6839,23.7519,22.9861,24.7191,31.873,29.7633,13,21,21,21,28,25,29,33,35,29
503.298,0.999908,0.00365251,7,211,0,-502.467,1.8991,0.000207757,14.9045,16.321,18.982,20.8596,22.3538,23.3944,22.6483,24.3363,31.2918,29.2426,15,13,24,20,21,25,21,27,35,29
503.505,0.950987,0.00365251,6,95,0,-502.362,1.89954,0.000210956,15.0965,16.5544,19.2983,21.238,22.7835,23.8608,23.0884,24.8366,32.0589,29.9283,8,26,20,26,20,22,22,25,39,32
503.422,0.962014,0.00365251,2,3,0,-503.2,1.89953,0.000198613,14.3934,15.6985,18.1371,19.8485,21.2056,22.1483,21.4726,23.0001,29.2483,27.4145,13,17,12,28,31,20,21,19,27,29
503.047,0.86785,0.00365251,1,3,0,-502.488,1.89953,0.000217251,15.4679,17.0084,19.9185,21.9832,23.6325,24.7841,23.9582,25.8285,33.5942,31.2972,13,13,20,22,13,24,22,20,39,28
503.269,0.999335,0.00365251,7,171,0,-502.734,1.90046,0.00019585,14.2539,15.5276,17.9036,19.5684,20.8872,21.8025,21.1465,22.6291,28.6805,26.9065,19,23,12,15,12,31,24,25,28,26
503.168,0.94667,0.00365251,2,3,0,-502.675,1.90048,0.00021596,15.4056,16.9303,19.8084,21.849,23.4781,24.6152,23.7997,25.6462,33.305,31.0409,11,17,19,30,18,21,28,22,38,32
502.823,0.941028,0.00365251,4,23,0,-502.442,1.90052,0.000219109,15.5947,17.1618,20.1253,22.2302,23.9128,25.0883,24.2452,26.1547,34.095,31.7446,13,14,14,28,24,31,25,26,36,26
501.048,0.993286,0.00365251,6,107,0,-498.555,1.90233,0.000207208,14.9211,16.3352,18.991,20.8642,22.3547,23.3925,22.6484,24.3318,31.2652,29.223,18,10,19,16,22,22,25,21,40,35
501.24,0.992873,0.00365251,4,31,0,-500.77,1.90225,0.000205806,14.8393,16.2358,18.8561,20.7029,22.1715,23.1937,22.4608,24.1186,30.9387,28.931,23,13,23,21,26,20,26,22,36,26
501.18,0.986213,0.00365251,3,11,0,-501.133,1.90226,0.00020871,15.0068,16.4399,19.1335,21.0352,22.5491,23.6037,22.8476,24.5585,31.6139,29.5345,10,18,16,17,18,18,15,22,32,28
498.615,0.703198,0.00365251,3,11,0,-498.108,1.90227,0.00022965,16.2713,17.989,21.2577,23.5937,25.4687,26.7824,25.8399,27.9769,36.9386,34.2741,23,23,20,22,25,26,34,26,33,35
499.306,1,0.00365251,2,3,0,-498.375,1.90225,0.000182938,13.5846,14.7152,16.8084,18.264,19.4112,20.2046,19.6362,20.9193,26.1023,24.5912,10,14,15,19,27,18,12,15,38,25
500.787,1,0.00365251,2,3,0,-499.624,1.90224,0.000215859,15.4267,16.9528,19.8333,21.8754,23.5057,24.6435,23.8275,25.6753,33.3386,31.0732,10,17,25,24,24,22,25,31,36,29
500.799,0.726902,0.00365251,6,71,0,-497.539,1.90107,0.000180624,13.4478,14.5523,16.5944,18.0125,19.1292,19.9011,19.3481,20.5959,25.627,24.1616,24,11,21,22,21,10,21,29,30,39
503.113,0.927282,0.00365251,2,7,0,-500.031,1.90108,0.000209255,15.0207,16.459,19.1634,21.0732,22.594,23.6535,22.8938,24.6129,31.7048,29.6141,17,19,13,24,20,26,14,22,31,34
503.676,1,0.00365251,7,155,0,-502.059,1.89991,0.00020924,15.0024,16.4388,19.1397,21.047,22.5658,23.6239,22.8652,24.582,31.6645,29.5766,19,18,17,19,13,24,26,21,25,24
503.617,0.999999,0.00365251,7,183,0,-503.122,1.9005,0.000206423,14.8487,16.2505,18.8817,20.7368,22.2123,23.2395,22.5031,24.1691,31.0266,29.0074,21,15,18,29,21,22,21,33,41,28
503.534,0.994268,0.00365251,5,55,0,-503.5,1.90058,0.000202117,14.605,15.9536,18.4788,20.2547,21.6649,22.6454,21.9425,23.5319,30.0517,28.1354,10,13,18,21,25,19,19,22,34,28
503.681,0.99991,0.00365251,7,227,0,-503.418,1.89987,0.000208916,14.983,16.4152,19.1077,21.0088,22.5224,23.5768,22.8208,24.5315,31.587,29.5073,16,20,17,19,26,24,18,20,36,38
502.716,0.663448,0.00365251,2,3,0,-501.513,1.89985,0.000220965,15.6965,17.2878,20.3004,22.4425,24.1562,25.3539,24.4948,26.441,34.5456,32.1447,20,22,18,23,38,25,26,26,42,32
503.446,1,0.00365251,2,3,0,-502.871,1.89985,0.000197248,14.3223,15.6116,18.0188,19.7068,21.0447,21.9737,21.3078,22.8128,28.9622,27.1585,7,28,12,13,18,20,12,25,26,26
502.181,0.906946,0.00365251,6,75,0,-501.974,1.89919,0.000188119,13.8169,15.0008,17.1993,18.7327,19.9438,20.7826,20.1815,21.5388,27.0444,25.4357,12,14,13,15,26,18,22,20,23,28
502.781,0.987802,0.00365251,7,167,0,-501.59,1.90103,0.00019487,14.2081,15.4711,17.8257,19.4747,20.7803,21.6864,21.037,22.5043,28.4885,26.735,11,18,26,23,13,28,22,21,33,30
503.412,0.975994,0.00365251,7,191,0,-500.921,1.90024,0.000213958,15.2833,16.7812,19.6055,21.6054,23.2009,24.3139,23.5158,25.3227,32.8053,30.5951,18,22,22,19,29,25,21,28,29,37
503.495,0.999003,0.00365251,5,39,0,-503.362,1.90014,0.000197863,14.3606,15.6576,18.0799,19.7792,21.1263,22.0619,21.3913,22.9071,29.1036,27.2856,15,12,18,21,24,18,23,21,23,27
