# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/lzzwn10c.json
# init = 2 (Default)
# random
#   seed = 88327
# output
#   file = /home/lab5/output/code4-20230416113046_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00148824
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.05361e-05
-3.23526e+07,1,0.00148824,1,1,0,3.23533e+07,-0.882157,-0.103579,-1.72521,0.512568,0.033583,-0.547199,-1.3772,-1.25186,0.918714,0.45729,0.000489809,2.74554,7.4083,2.08978,24.4642,17.8381,11.1097,4.48801,6.02683,95.5324,51.3346,4,5,5,26,12,10,7,4,94,49
-3.23519e+07,0.97128,0.00148824,2,3,0,3.23526e+07,-0.882124,-0.103553,-1.72517,0.51258,0.0336107,-0.547167,-1.37717,-1.25183,0.918725,0.457308,0.000453446,2.38581,6.33609,1.74073,20.0437,14.4391,8.92156,3.62455,4.80647,72.9071,39.6442,2,12,1,19,13,11,0,7,65,43
-3.23455e+07,1,0.00148824,2,3,0,3.23519e+07,-0.881835,-0.103363,-1.72478,0.512726,0.0338166,-0.54692,-1.37684,-1.25153,0.918819,0.457468,0.000459331,2.44137,6.49972,1.79369,20.7038,14.9448,9.24629,3.75335,4.98726,76.1744,41.3442,2,6,0,26,17,6,4,2,76,49
-3.23427e+07,0.895902,0.00148824,2,3,0,3.23455e+07,-0.881704,-0.103271,-1.72463,0.512788,0.0339013,-0.546807,-1.37668,-1.25139,0.918867,0.45753,0.000443856,2.30001,6.08186,1.65969,19.0214,13.6601,8.4231,3.4276,4.53001,67.901,37.0407,5,4,1,16,11,12,6,9,46,31
-3.23399e+07,0.971634,0.00148824,2,3,0,3.23427e+07,-0.881571,-0.103181,-1.72447,0.512851,0.0339943,-0.546689,-1.37655,-1.25124,0.91892,0.457577,0.000451024,2.3649,6.27281,1.72087,19.7848,14.2428,8.79639,3.57556,4.73737,71.6208,38.9784,3,4,1,18,20,15,2,6,81,47
-3.23392e+07,1,0.00148824,1,1,0,3.23399e+07,-0.881537,-0.10316,-1.72443,0.512867,0.034007,-0.546663,-1.37652,-1.2512,0.918929,0.457584,0.00046015,2.44984,6.52399,1.80172,20.7999,15.0191,9.29451,3.77269,5.01441,76.6482,41.5905,5,10,2,27,21,8,7,5,88,47
-3.23386e+07,0.398996,0.00148824,2,3,0,3.23392e+07,-0.88151,-0.103136,-1.7244,0.512883,0.0340368,-0.546642,-1.37648,-1.25117,0.918939,0.457604,0.000489457,2.74357,7.40035,2.08778,24.4247,17.8096,11.0923,4.48194,6.0178,95.3038,51.2221,4,7,0,30,18,12,4,4,98,54
-3.23379e+07,1,0.00148824,1,1,0,3.23386e+07,-0.881477,-0.103113,-1.72436,0.512896,0.0340528,-0.546617,-1.37645,-1.25113,0.918951,0.457621,0.000455821,2.40936,6.40397,1.76306,20.3128,14.6464,9.05531,3.67816,4.88148,74.2226,40.3319,1,6,2,25,23,9,3,2,47,39
-3.23372e+07,0.996447,0.00148824,2,3,0,3.23379e+07,-0.881443,-0.103085,-1.72433,0.512904,0.0340721,-0.546587,-1.37641,-1.25109,0.918965,0.457635,0.000459075,2.43991,6.49437,1.7922,20.6785,14.9264,9.2351,3.74932,4.98151,76.0406,41.276,2,7,2,20,17,11,5,11,88,40
-3.23365e+07,0.885389,0.00148824,3,7,0,3.23372e+07,-0.88142,-0.103062,-1.72429,0.512922,0.0341006,-0.546558,-1.37636,-1.25106,0.918971,0.457656,0.000443214,2.29496,6.06635,1.65491,18.9571,13.6119,8.39261,3.41577,4.51345,67.5845,36.8766,1,5,4,20,12,11,3,4,75,43
