# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:06:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/8walc1ce.json
# init = 2 (Default)
# random
#   seed = 44886
# output
#   file = /home/lab5/output/code2-20230416100655_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00210815
# Diagonal elements of inverse mass matrix:
# 0.177666, 2.31913e-05
502.158,0.994218,0.00210815,3,7,0,-501.121,1.89932,0.000187254,13.7726,14.947,17.1267,18.6464,19.8461,20.6769,20.0817,21.4258,26.8744,25.2829,16,18,15,18,13,20,20,18,32,25
503.408,0.842386,0.00210815,2,3,0,-500.107,1.9006,0.0002116,15.1502,16.618,19.3815,21.3357,22.8934,23.9792,23.2006,24.9629,32.2471,30.0976,11,12,19,16,22,31,21,25,29,37
503.533,0.996302,0.00210815,2,3,0,-503.36,1.89977,0.000198998,14.4182,15.7282,18.1765,19.8951,21.2581,22.205,21.5263,23.0607,29.339,27.4961,11,14,16,22,30,26,22,34,28,29
502.104,0.71705,0.00210815,2,3,0,-501.227,1.89827,0.000211037,15.0821,16.5392,19.2817,21.2205,22.7654,23.8423,23.0701,24.8177,32.0377,29.9076,11,8,17,23,23,23,18,24,25,33
502.012,0.997448,0.00210815,2,7,0,-501.959,1.90183,0.000200632,14.5395,15.8718,18.3643,20.1155,21.5054,22.4714,21.7789,23.3445,29.7589,27.8747,22,17,19,25,16,29,24,26,37,26
503.184,1,0.00210815,2,3,0,-501.618,1.90031,0.000216504,15.4354,16.9671,19.8593,21.9105,23.5485,24.6919,23.8719,25.7288,33.4343,31.1559,14,19,21,24,30,26,21,25,31,23
502.627,0.827337,0.00210815,2,3,0,-501.575,1.89864,0.000212081,15.1487,16.6197,19.3903,21.3501,22.9125,24.0018,23.2207,24.9887,32.2991,30.1415,24,24,18,27,20,31,26,19,31,33
501.771,0.857737,0.00210815,2,3,0,-500.61,1.90197,0.000201115,14.5687,15.907,18.4114,20.1717,21.5688,22.5401,21.8439,23.418,29.87,27.9745,16,19,19,16,21,20,23,25,31,29
502.766,0.94522,0.00210815,2,3,0,-500.814,1.89863,0.000204284,14.699,16.0715,18.6447,20.4567,21.8967,22.8985,22.1803,23.8048,30.48,28.5163,13,17,16,12,19,26,24,21,27,25
503.723,0.978577,0.00210815,1,3,0,-502.637,1.89987,0.000206633,14.8514,16.2548,18.8896,20.7474,22.2253,23.2542,22.5165,24.1853,31.0553,29.0323,18,12,16,15,24,20,21,27,31,31
503.723,0.728788,0.00210815,1,3,0,-502.061,1.89987,0.000206633,14.8514,16.2548,18.8896,20.7474,22.2253,23.2542,22.5165,24.1853,31.0553,29.0323,21,15,18,21,19,28,32,21,28,26
503.628,0.981697,0.00210815,2,3,0,-503.596,1.90021,0.000210199,15.0625,16.5116,19.2378,21.1641,22.6986,23.7679,23.0012,24.7364,31.9003,29.7875,15,7,19,24,31,37,24,19,36,25
503.65,0.652728,0.00210815,2,3,0,-500.137,1.8996,0.000205169,14.7636,16.1485,18.746,20.5761,22.031,23.0435,22.3176,23.9595,30.711,28.724,18,10,24,21,29,21,22,27,41,34
501.845,0.601561,0.00210815,1,3,0,-500.247,1.90192,0.000200736,14.5467,15.8804,18.3755,20.1288,21.5203,22.4875,21.7942,23.3617,29.7845,27.8978,15,16,20,6,24,19,31,18,33,34
501.155,0.923833,0.00210815,3,7,0,-499.675,1.90026,0.000229783,16.2471,17.9632,21.2292,23.5635,25.4373,26.7502,25.8083,27.9439,36.9009,34.2377,15,20,21,21,26,31,20,16,41,37
503.04,1,0.00210815,2,3,0,-500.829,1.90105,0.000211563,15.1549,16.6228,19.3866,21.341,22.8987,23.9846,23.206,24.9684,32.2527,30.1032,23,16,24,21,22,23,18,18,23,45
502.109,0.831003,0.00210815,1,1,0,-502.073,1.90173,0.00021158,15.1661,16.6352,19.4013,21.3574,22.9164,24.0033,23.2239,24.9879,32.2786,30.1272,15,13,19,22,17,25,22,26,26,24
502.237,1,0.00210815,2,7,0,-502.095,1.89836,0.000200267,14.4687,15.792,18.267,20.0057,21.3854,22.3442,21.6569,23.2108,29.5753,27.7061,14,17,18,20,32,24,23,24,30,28
502.043,0.987158,0.00210815,2,3,0,-501.986,1.90176,0.00021182,15.1806,16.6529,19.4253,21.3861,22.949,24.0387,23.2573,25.0259,32.337,30.1794,14,10,27,24,27,20,17,19,24,23
501.384,0.878732,0.00210815,1,1,0,-501.188,1.90212,0.000210819,15.1276,16.5874,19.3349,21.2769,22.8243,23.9028,23.1295,24.8797,32.1092,29.9765,15,19,14,25,27,25,22,24,29,28
503.728,0.943859,0.00210815,1,3,0,-500.95,1.9001,0.000206834,14.8664,16.2727,18.9132,20.7752,22.2566,23.2879,22.5485,24.2213,31.1092,29.0807,14,17,22,16,26,19,18,13,23,32
503.578,0.906163,0.00210815,2,3,0,-502.974,1.89945,0.000205638,14.7882,16.1787,18.7875,20.626,22.0879,23.1053,22.3759,24.0259,30.8136,28.8156,14,18,17,21,21,18,25,19,35,22
503.57,0.973633,0.00210815,2,7,0,-503.265,1.90053,0.000202438,14.6223,15.9748,18.5077,20.2893,21.7042,22.688,21.9827,23.5777,30.1219,28.1982,14,17,25,22,19,27,32,29,25,32
503.207,0.933064,0.00210815,2,3,0,-502.894,1.90077,0.000197528,14.351,15.6448,18.0607,19.7552,21.0984,22.0311,21.3626,22.8736,29.0493,27.2376,20,20,26,13,24,20,25,26,33,25
502.518,0.859425,0.00210815,2,3,0,-501.596,1.89862,0.000213347,15.2225,16.71,19.5136,21.4982,23.0811,24.1851,23.3935,25.1856,32.6036,30.4131,16,19,22,27,28,27,23,19,23,20
503.476,0.81473,0.00210815,2,7,0,-500.968,1.90072,0.00020356,14.6887,16.0552,18.616,20.4184,21.8504,22.8466,22.1325,23.7475,30.38,28.4294,16,17,17,21,16,26,14,24,41,22
503.13,0.731976,0.00210815,2,3,0,-501.023,1.89921,0.000197308,14.3164,15.6056,18.0126,19.7006,21.0385,21.9675,21.3017,22.8067,28.9565,27.1526,14,22,20,22,22,22,31,27,30,25
502.912,0.987702,0.00210815,2,3,0,-502.598,1.89873,0.000205077,14.7456,16.1281,18.7211,20.5479,22.0001,23.0107,22.2862,23.925,30.6633,28.6803,13,24,14,20,19,16,22,19,38,28
503.19,1,0.00210815,1,1,0,-502.913,1.89898,0.000203802,14.6768,16.0439,18.6062,20.4099,21.8431,22.8401,22.1254,23.7419,30.3817,28.4288,15,14,15,23,24,17,24,23,35,32
503.449,1,0.00210815,1,1,0,-503.214,1.89926,0.000206431,14.8307,16.2308,18.8589,20.7119,22.1857,23.2117,22.4761,24.1402,30.9898,28.973,10,13,21,22,21,23,26,25,24,36
503.49,0.925912,0.00210815,1,3,0,-502.719,1.90046,0.000199372,14.4491,15.7645,18.2233,19.9498,21.3192,22.2707,21.5887,23.1305,29.4411,27.5884,18,17,14,24,29,13,25,16,18,21
503.645,1,0.00210815,2,3,0,-503.424,1.89965,0.000202981,14.6402,15.9981,18.542,20.3319,21.7537,22.7426,22.0337,23.6368,30.2172,28.2824,9,11,21,20,27,21,15,18,33,30
503.539,0.979921,0.00210815,2,3,0,-503.432,1.90033,0.000199364,14.4468,15.7619,18.2202,19.9463,21.3154,22.2667,21.5848,23.1263,29.4355,27.5832,16,11,10,19,22,25,23,21,33,24
503.455,0.964925,0.00210815,2,3,0,-503.149,1.90025,0.00019752,14.3431,15.6362,18.0507,19.7442,21.0865,22.0186,21.3505,22.8607,29.0326,27.222,16,19,14,26,23,17,12,24,26,24
